team_owner,position_slot,player_type,player_name,price,is_keeper
BRENDAN TUMA,1B,batter,Alec Burleson,3,FALSE
BRENDAN TUMA,2B,batter,Matt McLain,20,FALSE
BRENDAN TUMA,3B,batter,Austin Riley,36,FALSE
BRENDAN TUMA,C,batter,JT Realmuto,21,FALSE
BRENDAN TUMA,C,batter,Nick Fortes,3,FALSE
BRENDAN TUMA,INF,batter,K'Brian Hayes,16,FALSE
BRENDAN TUMA,OF,batter,Brandon Nimmo,21,FALSE
BRENDAN TUMA,OF,batter,Jack Suwinski,13,FALSE
BRENDAN TUMA,OF,batter,Sal Frelick,12,FALSE
BRENDAN TUMA,OF,batter,Mike Yazstremski,6,FALSE
BRENDAN TUMA,P,pitcher,Zach Wheeler,31,FALSE
BRENDAN TUMA,P,pitcher,Evan Phillips,20,FALSE
BRENDAN TUMA,P,pitcher,Joe Musgrove,19,FALSE
BRENDAN TUMA,P,pitcher,Hunter Harvey,7,FALSE
BRENDAN TUMA,P,pitcher,Joe Jiminez,3,FALSE
BRENDAN TUMA,P,pitcher,Orion Kerkering,3,FALSE
BRENDAN TUMA,P,pitcher,Peirce Johnson,2,FALSE
BRENDAN TUMA,P,pitcher,Riley OBrien,1,FALSE
BRENDAN TUMA,P,pitcher,Sixto Sanchez,1,FALSE
BRENDAN TUMA,SS,batter,Willy Adames,16,FALSE
BRENDAN TUMA,SW,batter,Tyler Kinley,2,FALSE
BRENDAN TUMA,SW,batter,Robbie Ray,1,FALSE
BRENDAN TUMA,UT,batter,Graham Pauley,3,FALSE
BRIAN WALTON,1B,batter,Jeimer Candelario,14,FALSE
BRIAN WALTON,2B,batter,Nolan Gorman,16,FALSE
BRIAN WALTON,3B,batter,Ryan McMahon,15,FALSE
BRIAN WALTON,C,batter,Tyler Stephenson,12,FALSE
BRIAN WALTON,C,batter,Luke Malle,2,FALSE
BRIAN WALTON,INF,batter,Eugenio Suarez,14,FALSE
BRIAN WALTON,OF,batter,Nolan Jones,26,FALSE
BRIAN WALTON,OF,batter,Christopher Morel,15,FALSE
BRIAN WALTON,OF,batter,Brendan Donovan,12,FALSE
BRIAN WALTON,OF,batter,Jackson Merrill,9,FALSE
BRIAN WALTON,P,pitcher,Tyler Glasnow,26,FALSE
BRIAN WALTON,P,pitcher,David Bednar,19,FALSE
BRIAN WALTON,P,pitcher,Michael King,17,FALSE
BRIAN WALTON,P,pitcher,Kyle Harrison,7,FALSE
BRIAN WALTON,P,pitcher,Kodai Senga,5,FALSE
BRIAN WALTON,P,pitcher,Jordan Wicks,2,FALSE
BRIAN WALTON,P,pitcher,Johnny Brito,2,FALSE
BRIAN WALTON,P,pitcher,Clayton Kershaw,2,FALSE
BRIAN WALTON,P,pitcher,Brusdar Graterol,2,FALSE
BRIAN WALTON,SS,batter,Xander Bogaerts,21,FALSE
BRIAN WALTON,SW,batter,Will Benson,10,FALSE
BRIAN WALTON,SW,batter,Mason Winn,6,FALSE
BRIAN WALTON,UT,batter,Bryce Turang,6,FALSE
DEREK CARTY,1B,batter,Josh Bell,13,FALSE
DEREK CARTY,2B,batter,Brendan Rodgers,8,FALSE
DEREK CARTY,3B,batter,Matt Chapman,17,FALSE
DEREK CARTY,C,batter,Sean Murphy,18,FALSE
DEREK CARTY,C,batter,Elias Diaz,8,FALSE
DEREK CARTY,INF,batter,Rowdy Tellez,7,FALSE
DEREK CARTY,OF,batter,Fernando Tatis,37,FALSE
DEREK CARTY,OF,batter,Teoscar Hernandez,18,FALSE
DEREK CARTY,OF,batter,Brandon Marsh,8,FALSE
DEREK CARTY,OF,batter,Brenton Doyle,5,FALSE
DEREK CARTY,P,pitcher,Spencer Strider,38,FALSE
DEREK CARTY,P,pitcher,Freddy Peralta,25,FALSE
DEREK CARTY,P,pitcher,Dylan Cease,18,FALSE
DEREK CARTY,P,pitcher,Yuki Matsui,6,FALSE
DEREK CARTY,P,pitcher,Charlie Morton,6,FALSE
DEREK CARTY,P,pitcher,Sean Manaea,5,FALSE
DEREK CARTY,P,pitcher,Lance Lynn,4,FALSE
DEREK CARTY,P,pitcher,Emmit Sheehan,4,FALSE
DEREK CARTY,P,pitcher,Wu-Suk Go,1,FALSE
DEREK CARTY,SS,batter,Jon Berti,5,FALSE
DEREK CARTY,SW,batter,Mark Vientos,3,FALSE
DEREK CARTY,SW,batter,Jason Heyward,2,FALSE
DEREK CARTY,UT,batter,Patrick Wisdom,4,FALSE
ERIK HALTERMAN,1B,batter,Wilmer Flores,8,FALSE
ERIK HALTERMAN,2B,batter,Thairo Estrada,13,FALSE
ERIK HALTERMAN,3B,batter,Jared Triolo,1,FALSE
ERIK HALTERMAN,C,batter,Will Smith,21,FALSE
ERIK HALTERMAN,C,batter,Ivan Herrera,3,FALSE
ERIK HALTERMAN,INF,batter,Francisco Lindor,31,FALSE
ERIK HALTERMAN,OF,batter,Jordan Walker,18,FALSE
ERIK HALTERMAN,OF,batter,Jorge Soler,17,FALSE
ERIK HALTERMAN,OF,batter,James Outman,15,FALSE
ERIK HALTERMAN,OF,batter,Jesus Sanchez,6,FALSE
ERIK HALTERMAN,P,pitcher,Aaron Nola,26,FALSE
ERIK HALTERMAN,P,pitcher,Bobby Miller,22,FALSE
ERIK HALTERMAN,P,pitcher,Justin Steele,18,FALSE
ERIK HALTERMAN,P,pitcher,Walker Buehler,11,FALSE
ERIK HALTERMAN,P,pitcher,Kyle Finnegan,9,FALSE
ERIK HALTERMAN,P,pitcher,Andrew Nardi,3,FALSE
ERIK HALTERMAN,P,pitcher,Ranger Suarez,2,FALSE
ERIK HALTERMAN,P,pitcher,Miles Mikolas,2,FALSE
ERIK HALTERMAN,P,pitcher,Josiah Gray,1,FALSE
ERIK HALTERMAN,SS,batter,Elly de la Cruz,26,FALSE
ERIK HALTERMAN,SW,batter,Johan Rojas,2,FALSE
ERIK HALTERMAN,SW,batter,Gavin Stone,1,FALSE
ERIK HALTERMAN,UT,batter,Sean Bouchard,4,FALSE
GREY ALBRIGHT,1B,batter,Matt Olson,38,FALSE
GREY ALBRIGHT,2B,batter,Luis Arraez,12,FALSE
GREY ALBRIGHT,3B,batter,Tyler Black,1,FALSE
GREY ALBRIGHT,C,batter,Keibert Ruiz,15,FALSE
GREY ALBRIGHT,C,batter,Christian Bethancourt,3,FALSE
GREY ALBRIGHT,INF,batter,Orlando Arcia,8,FALSE
GREY ALBRIGHT,OF,batter,Corbin Carroll,38,FALSE
GREY ALBRIGHT,OF,batter,Brian de la Cruz,12,FALSE
GREY ALBRIGHT,OF,batter,Lamont Wade,8,FALSE
GREY ALBRIGHT,OF,batter,Garrett Mitchell,3,FALSE
GREY ALBRIGHT,P,pitcher,Camilo Doval,23,FALSE
GREY ALBRIGHT,P,pitcher,Adbert Alzolay,13,FALSE
GREY ALBRIGHT,P,pitcher,AJ Minter,4,FALSE
GREY ALBRIGHT,P,pitcher,Seranthony Dominguez,3,FALSE
GREY ALBRIGHT,P,pitcher,Giovany Gallegos,3,FALSE
GREY ALBRIGHT,P,pitcher,Justin Lawrence,3,FALSE
GREY ALBRIGHT,P,pitcher,Ryan Brasier,1,FALSE
GREY ALBRIGHT,P,pitcher,Adam Ottavino,1,FALSE
GREY ALBRIGHT,P,pitcher,Taylor Rogers,1,FALSE
GREY ALBRIGHT,SS,batter,ONeil Cruz,25,FALSE
GREY ALBRIGHT,SW,batter,Edward Olivares,1,FALSE
GREY ALBRIGHT,SW,batter,Dylan Carlson,1,FALSE
GREY ALBRIGHT,UT,batter,Shohei Ohtani,41,FALSE
IAN KAHN,1B,batter,Bryce Harper,38,FALSE
IAN KAHN,2B,batter,Ozzie Albies,26,FALSE
IAN KAHN,3B,batter,Manny Machado,25,FALSE
IAN KAHN,C,batter,Gary Sanchez,7,FALSE
IAN KAHN,C,batter,Yasmani Grandal,3,FALSE
IAN KAHN,INF,batter,Gavin Lux,7,FALSE
IAN KAHN,OF,batter,TJ Friedl,13,FALSE
IAN KAHN,OF,batter,Lars Nootbaar,12,FALSE
IAN KAHN,OF,batter,Michael Taylor,3,FALSE
IAN KAHN,OF,batter,Eddie Rosario,3,FALSE
IAN KAHN,P,pitcher,Zac Gallen,22,FALSE
IAN KAHN,P,pitcher,Yu Darvish,16,FALSE
IAN KAHN,P,pitcher,Hunter Greene,14,FALSE
IAN KAHN,P,pitcher,Robert Suarez,9,FALSE
IAN KAHN,P,pitcher,Devin Williams,5,FALSE
IAN KAHN,P,pitcher,Tyler Megill,5,FALSE
IAN KAHN,P,pitcher,Max Meyer,4,FALSE
IAN KAHN,P,pitcher,Alex Cobb,3,FALSE
IAN KAHN,P,pitcher,Keaton Winn,2,FALSE
IAN KAHN,SS,batter,Ha Seong Kim,20,FALSE
IAN KAHN,SW,batter,Nick Senzel,4,FALSE
IAN KAHN,SW,batter,Jurickson Profar,2,FALSE
IAN KAHN,UT,batter,Marcell Ozuna,17,FALSE
PETER KREUTZER,1B,batter,Alec Bohm,17,FALSE
PETER KREUTZER,2B,batter,Bryson Stott,16,FALSE
PETER KREUTZER,3B,batter,Michael Busch,8,FALSE
PETER KREUTZER,C,batter,Gabriel Moreno,18,FALSE
PETER KREUTZER,C,batter,Luis Campusano,10,FALSE
PETER KREUTZER,INF,batter,Joey Meneses,8,FALSE
PETER KREUTZER,OF,batter,Ian Happ,20,FALSE
PETER KREUTZER,OF,batter,Spencer Steer,19,FALSE
PETER KREUTZER,OF,batter,Nick Castellanos,18,FALSE
PETER KREUTZER,OF,batter,Jung Hoo Lee,13,FALSE
PETER KREUTZER,P,pitcher,Max Fried,25,FALSE
PETER KREUTZER,P,pitcher,Alexis Diaz,17,FALSE
PETER KREUTZER,P,pitcher,Braxton Garrett,7,FALSE
PETER KREUTZER,P,pitcher,Trevor Rogers,6,FALSE
PETER KREUTZER,P,pitcher,Blake Snell,5,FALSE
PETER KREUTZER,P,pitcher,Abner Uribe,5,FALSE
PETER KREUTZER,P,pitcher,Jordan Montgomery,5,FALSE
PETER KREUTZER,P,pitcher,Jordan Hicks,4,FALSE
PETER KREUTZER,P,pitcher,Jameson Taillon,3,FALSE
PETER KREUTZER,SS,batter,Dansby Swanson,20,FALSE
PETER KREUTZER,SW,batter,Brett Baty,5,FALSE
PETER KREUTZER,SW,batter,Luis Matos,1,FALSE
PETER KREUTZER,UT,batter,Jake Fraley,9,FALSE
PHIL HERTZ,1B,batter,Pete Alonso,29,FALSE
PHIL HERTZ,2B,batter,Jake Cronenworth,11,FALSE
PHIL HERTZ,3B,batter,Jake Burger,18,FALSE
PHIL HERTZ,C,batter,Francisco Alvarez,18,FALSE
