"scenario_id","dgp_type","n_teams","pitcher_pool","n_reps","failure_rate","identity_max_error_max","boundary_mean_C","boundary_sd_C","boundary_mean_1B","boundary_sd_1B","boundary_mean_OF","boundary_sd_OF","boundary_mean_SP","boundary_sd_SP","boundary_mean_RP","boundary_sd_RP","boundary_exceedance_C","boundary_exceedance_1B","boundary_exceedance_OF","boundary_exceedance_SP","boundary_exceedance_RP","band_mean_max_err_max","band_mean_violation_rate","rank_rho_all_mean","rank_rho_hr_r_k_mean","top_minus_boundary_mean","ac_sim1_pass","ac_sim2_pass","ac_sim3_pass","ac_sim4_pass","ac_sim5_pass"
"S1","null",10,"combined",200,0,8.88178419700125e-16,0.0339963179600276,0.652910264522082,-0.0355714319154607,0.565236546899806,-0.0284283609696047,0.347669514121286,-0.000903206433413139,0.01331725987761,0.0503650029620962,0.0782342377693883,0.41,0.355,0.18,0,0,1.11022302462516e-16,0,0.662752477722338,0.622378199259894,2.87861858808848,TRUE,TRUE,TRUE,TRUE,NA
"S2","null_split",10,"split",200,0,6.66133814775094e-16,-0.0467657497429883,0.61929118189339,0.168182677982945,0.573836660469229,-0.0977964035693152,0.362805882897482,-0.000621855773172982,0.025035499157956,0.372561604787791,0.28560195463929,0.39,0.345,0.175,0,0.325,1.11022302462516e-16,0,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA
"S3","null_large",15,"combined",200,0,6.66133814775094e-16,0.0629954408206901,0.563759564098806,0.0947513360038364,0.574110231347704,-0.114832774705077,0.325677965765838,-0.000625791954285622,0.00831847427902699,0.0479435084560005,0.0651463010103051,0.365,0.41,0.14,0,0,5.55111512312578e-17,0,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA
"S4","sv_regime_break",10,"combined",200,0,4.44089209850063e-16,0.0483989336166016,0.650343663065843,0.0581819205243553,0.679670979179364,-0.0676119110513935,0.311508273591506,-0.000601631525942401,0.0135843440549014,0.0650582481259129,0.0812983890682769,0.375,0.35,0.125,0,0,1.11022302462516e-16,0,NA,NA,2.97117395355534,TRUE,TRUE,NA,TRUE,TRUE
