year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2016,mixed,Zach Steinhorn,Edwin Encarnacion,339,FA,1B,33,act,"1B,CI",active
2016,mixed,Zach Steinhorn,Jose Altuve,3776,Hou,2B,31,act,"2B,MI",active
2016,mixed,Zach Steinhorn,Elvis Andrus,1543,FA,SS,10,act,"MI,SS",active
2016,mixed,Zach Steinhorn,Todd Frazier,1979,Pit,3B,27,act,"CI,3B",active
2016,mixed,Zach Steinhorn,Matt Kemp,799,FA,OF,16,act,OF,active
2016,mixed,Zach Steinhorn,Justin Upton,39,FA,OF,30,act,OF,active
2016,mixed,Zach Steinhorn,Travis Jankowski,4479,NYM,OF,152,act,OF,active
2016,mixed,Zach Steinhorn,Curtis Granderson,517,Mia,OF,15,act,OF,active
2016,mixed,Zach Steinhorn,Carlos Beltran,956,Hou,OF,2,act,OF,active
2016,mixed,Zach Steinhorn,Jason Castro,2343,Hou,C,2,act,C,active
2016,mixed,Zach Steinhorn,Yasmani Grandal,3311,Bos,C,12,act,C,active
2016,mixed,Zach Steinhorn,Khris Davis,4217,FA,UT,5,act,OF,active
2016,mixed,Zach Steinhorn,Brandon Moss,187,FA,CI,2,act,"1B,CI,OF",active
2016,mixed,Zach Steinhorn,Trea Turner,4555,Phi,MI,0,act,"SS,MI,2B",active
2016,mixed,Zach Steinhorn,Jose Quintana,3839,Col,P,9,act,P,active
2016,mixed,Zach Steinhorn,Jon Lester,160,StL,P,21,act,P,active
2016,mixed,Zach Steinhorn,Ervin Santana,725,FA,P,12,act,P,active
2016,mixed,Zach Steinhorn,Aaron Sanchez,3641,KC,P,1,act,P,active
2016,mixed,Zach Steinhorn,Robert Gsellman,5504,Was,P,31,act,P,active
2016,mixed,Zach Steinhorn,Jharel Cotton,5403,FA,P,16,act,P,active
2016,mixed,Zach Steinhorn,Julio Teheran,2098,ChC,P,6,act,P,active
2016,mixed,Zach Steinhorn,Justin Verlander,504,Det,P,11,act,P,active
2016,mixed,Zach Steinhorn,Zack Britton,3134,NYY,P,17,act,P,active
2016,mixed,Zach Steinhorn,Brandon Drury,4055,KC,UT,0,res,"CI,3B",reserved
2016,mixed,Zach Steinhorn,Tony Watson,3418,SF,P,90,res,P,reserved
2016,mixed,Zach Steinhorn,Brad Brach,3465,FA,P,3,res,P,reserved
2016,mixed,Zach Steinhorn,James Shields,1457,FA,P,8,res,P,reserved
2016,mixed,Zach Steinhorn,Brandon Finnegan,4971,FA,P,0,res,P,reserved
2016,mixed,Zach Steinhorn,Chad Kuhl,5552,Atl,P,11,res,P,reserved
2016,mixed,Bret Sayre,Chris Carter,2028,FA,1B,6,act,"1B,CI",active
2016,mixed,Bret Sayre,Ben Zobrist,1470,FA,2B,10,act,"2B,MI,OF",active
2016,mixed,Bret Sayre,Alex Bregman,4907,ChC,SS,5,act,"3B,SS,CI,MI",active
2016,mixed,Bret Sayre,Yuli Gurriel,2160,SD,3B,2,act,1B,active
2016,mixed,Bret Sayre,Andrew McCutchen,1222,Tex,OF,38,act,OF,active
2016,mixed,Bret Sayre,Lorenzo Cain,2002,Mil,OF,23,act,OF,active
2016,mixed,Bret Sayre,Rajai Davis,1311,FA,OF,0,act,OF,active
2016,mixed,Bret Sayre,Mike Trout,2844,LAA,OF,46,act,OF,active
2016,mixed,Bret Sayre,David Dahl,4049,Phi,OF,92,act,OF,active
2016,mixed,Bret Sayre,Brian McCann,73,FA,C,18,act,C,active
2016,mixed,Bret Sayre,Travis D'Arnaud,2621,LAA,C,10,act,C,active
2016,mixed,Bret Sayre,David Ortiz,190,Bos,UT,17,act,UT,active
2016,mixed,Bret Sayre,Mike Napoli,733,Cle,CI,5,act,"1B,CI",active
2016,mixed,Bret Sayre,Danny Espinosa,2765,NYM,MI,32,act,"2B,MI,CI,3B",active
2016,mixed,Bret Sayre,Hisashi Iwakuma,2630,Sea,P,6,act,P,active
2016,mixed,Bret Sayre,Carlos Martinez,3606,FA,P,9,act,P,active
2016,mixed,Bret Sayre,Francisco Liriano,880,Tor,P,8,act,P,active
2016,mixed,Bret Sayre,Adam Ottavino,1424,FA,P,5,act,P,active
2016,mixed,Bret Sayre,James Paxton,3577,Bos,P,229,act,P,active
2016,mixed,Bret Sayre,Craig Kimbrel,2633,NYM,P,20,act,P,active
2016,mixed,Bret Sayre,Kevin Gausman,4053,Tor,P,4,act,P,active
2016,mixed,Bret Sayre,Roberto Osuna,4172,FA,P,2,act,P,active
2016,mixed,Bret Sayre,Danny Salazar,3850,FA,P,17,act,P,active
2016,mixed,Bret Sayre,Danny Valencia,2398,FA,3B,7,res,"3B,OF,CI",reserved
2016,mixed,Bret Sayre,Pablo Sandoval,2182,SF,3B,0,dis,"CI,3B",reserved
2016,mixed,Bret Sayre,Steven Matz,4541,TB,P,6,dis,P,reserved
2016,mixed,Bret Sayre,Brandon McCarthy,1505,Atl,P,242,dis,P,reserved
2016,mixed,Bret Sayre,Luis Cessa,5422,Pit,P,0,res,P,reserved
2016,mixed,Bret Sayre,Zack Wheeler,2831,Phi,P,0,dis,P,reserved
2016,mixed,Bret Sayre,Alex Reyes,4797,LAD,P,41,res,P,reserved
2016,mixed,Bret Sayre,Martin Perez,2676,Atl,P,0,res,P,reserved
2016,mixed,Bret Sayre,Jordan Zimmermann,2067,Mil,P,8,res,P,reserved
2016,mixed,Tim Heaney,Jose Abreu,4038,FA,1B,38,act,"1B,CI",active
2016,mixed,Tim Heaney,Robinson Cano,1008,FA,2B,28,act,"2B,MI",active
2016,mixed,Tim Heaney,Brandon Crawford,3051,FA,SS,7,act,"SS,MI",active
2016,mixed,Tim Heaney,Jose Reyes,952,NYM,3B,1,act,"UT,SS,MI",active
2016,mixed,Tim Heaney,Gregory Polanco,4166,Tor,OF,17,act,OF,active
2016,mixed,Tim Heaney,J.D. Martinez,3567,FA,OF,26,act,OF,active
2016,mixed,Tim Heaney,Byron Buxton,4014,Min,OF,8,act,OF,active
2016,mixed,Tim Heaney,Jason Heyward,1968,SD,OF,21,act,OF,active
2016,mixed,Tim Heaney,Leonys Martin,3737,FA,OF,1,act,OF,active
2016,mixed,Tim Heaney,Dioner Navarro,1462,FA,C,1,act,C,active
2016,mixed,Tim Heaney,J.T. Realmuto,4028,Phi,C,5,act,C,active
2016,mixed,Tim Heaney,Dansby Swanson,5276,ChC,UT,60,act,"SS,MI",active
2016,mixed,Tim Heaney,Carlos Santana,2181,Ari,CI,16,act,"1B,CI",active
2016,mixed,Tim Heaney,Ian Kinsler,1520,SD,MI,12,act,"2B,MI",active
2016,mixed,Tim Heaney,Mike Leake,2714,FA,P,5,act,P,active
2016,mixed,Tim Heaney,Tyler Glasnow,4597,LAD,P,1,act,P,active
2016,mixed,Tim Heaney,Archie Bradley,3684,FA,P,86,act,P,active
2016,mixed,Tim Heaney,Mauricio Cabrera,4509,Ari,P,0,act,P,active
2016,mixed,Tim Heaney,Anthony DeSclafani,4732,Ari,P,36,act,P,active
2016,mixed,Tim Heaney,Edwin Jackson,1446,Ari,P,0,act,P,active
2016,mixed,Tim Heaney,Michael Wacha,4080,KC,P,9,act,P,active
2016,mixed,Tim Heaney,Drew Smyly,3904,FA,P,9,act,P,active
2016,mixed,Tim Heaney,Jameson Taillon,3202,ChC,P,36,act,P,active
2016,mixed,Tim Heaney,Nicholas Castellanos,3217,SD,3B,3,dis,"UT,3B,CI",reserved
2016,mixed,Tim Heaney,Billy Burns,4652,NYY,OF,6,res,OF,reserved
2016,mixed,Tim Heaney,Andrew Benintendi,5386,CWS,OF,62,dis,OF,reserved
2016,mixed,Tim Heaney,Jhonny Peralta,404,FA,UT,0,res,"SS,MI",reserved
2016,mixed,Tim Heaney,Tyson Ross,2330,FA,P,15,dis,P,reserved
2016,mixed,Tim Heaney,Nick Tropeano,4462,FA,P,67,dis,P,reserved
2016,mixed,Tim Heaney,Zach Eflin,4105,Bal,P,6,dis,P,reserved
2016,mixed,Tim Heaney,Jon Gray,4445,FA,P,0,res,P,reserved
2016,mixed,Tim Heaney,Cam Bedrosian,3326,Phi,P,1,res,P,reserved
2016,mixed,Tim Heaney,Tyler Skaggs,3352,LAA,P,0,res,P,reserved
2016,mixed,Al Melchior,Tommy Joseph,3178,Bos,1B,6,act,1B,active
2016,mixed,Al Melchior,Jonathan Schoop,4005,FA,2B,6,act,"2B,MI",active
2016,mixed,Al Melchior,Aledmys Diaz,4500,FA,SS,94,act,SS,active
2016,mixed,Al Melchior,Matt Carpenter,3510,StL,3B,25,act,"CI,3B",active
2016,mixed,Al Melchior,Dexter Fowler,484,Tor,OF,14,act,OF,active
2016,mixed,Al Melchior,Manuel Margot,4858,Det,OF,32,act,OF,active
2016,mixed,Al Melchior,Jay Bruce,371,NYY,OF,6,act,"UT,OF",active
2016,mixed,Al Melchior,Roman Quinn,4018,FA,OF,31,act,OF,active
2016,mixed,Al Melchior,Christian Yelich,3314,Mil,OF,21,act,OF,active
2016,mixed,Al Melchior,Willson Contreras,5435,Bos,C,101,act,"1B,CI",active
2016,mixed,Al Melchior,Welington Castillo,2434,Was,C,8,act,C,active
2016,mixed,Al Melchior,T.J. Rivera,5655,FA,UT,38,act,3B,active
2016,mixed,Al Melchior,Marwin Gonzalez,3884,FA,CI,44,act,"OF,SS,3B,2B,1B,CI,MI",active
2016,mixed,Al Melchior,Ryan Schimpf,4322,FA,MI,56,act,OF,active
2016,mixed,Al Melchior,Corey Kluber,3382,Bos,P,26,act,P,active
2016,mixed,Al Melchior,Robbie Ray,3685,SF,P,34,act,P,active
2016,mixed,Al Melchior,Rick Porcello,496,NYM,P,1,act,P,active
2016,mixed,Al Melchior,Tyler Anderson,3678,FA,P,50,act,P,active
2016,mixed,Al Melchior,Wily Peralta,3181,Pit,P,35,act,P,active
2016,mixed,Al Melchior,Joe Musgrove,5406,SD,P,86,act,P,active
2016,mixed,Al Melchior,Daniel Norris,3725,FA,P,21,act,P,active
2016,mixed,Al Melchior,Josh Collmenter,3371,FA,P,19,act,P,active
2016,mixed,Al Melchior,Matt Wisler,4486,Tor,P,0,act,P,active
2016,mixed,Al Melchior,Seth Smith,465,FA,OF,15,res,OF,reserved
2016,mixed,Al Melchior,Christian Bethancourt,3224,ChC,OF,0,dis,C,reserved
2016,mixed,Al Melchior,John Jaso,1461,FA,CI,0,res,UT,reserved
2016,mixed,Al Melchior,Cory Spangenberg,3756,StL,MI,1,dis,"3B,MI,2B,CI",reserved
2016,mixed,Al Melchior,A.J. Griffin,3734,FA,P,0,res,P,reserved
2016,mixed,Al Melchior,Aaron Nola,4916,Phi,P,1,dis,P,reserved
2016,mixed,Al Melchior,Dallas Keuchel,4149,Mil,P,21,res,P,reserved
2016,mixed,Al Melchior,Steven Wright,4247,Pit,P,6,res,P,reserved
2016,mixed,Al Melchior,Reynaldo Lopez,5047,Atl,P,51,res,P,reserved
2016,mixed,Nando DiFino,C.J. Cron,3696,FA,1B,0,act,"1B,CI",active
2016,mixed,Nando DiFino,Dee Gordon,2693,FA,2B,22,act,"UT,2B,MI",active
2016,mixed,Nando DiFino,Addison Russell,4162,FA,SS,11,act,"2B,SS,MI",active
2016,mixed,Nando DiFino,Josh Harrison,3747,Cin,3B,6,act,"3B,CI,MI,OF,2B",active
2016,mixed,Nando DiFino,Kevin Pillar,4578,FA,OF,10,act,OF,active
2016,mixed,Nando DiFino,Avisail Garcia,3485,FA,OF,130,act,OF,active
2016,mixed,Nando DiFino,Carlos Gomez,902,FA,OF,26,act,OF,active
2016,mixed,Nando DiFino,Corey Dickerson,3661,FA,OF,9,act,OF,active
2016,mixed,Nando DiFino,Randal Grichuk,2843,NYY,OF,75,act,OF,active
2016,mixed,Nando DiFino,Evan Gattis,3959,FA,C,0,act,UT,active
2016,mixed,Nando DiFino,Francisco Cervelli,1004,FA,C,6,act,C,active
2016,mixed,Nando DiFino,Justin Morneau,898,Min,UT,1,act,"1B,CI",active
2016,mixed,Nando DiFino,Mark Trumbo,2262,FA,CI,10,act,"OF,1B,CI",active
