year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2022,nl,Ian Kahn,Freddie Freeman,2466,LAD,1B,35,act,active,"1B,SW,CI",612,0,159,117,21,100,13,102,84,0.407,0.511,0,0,159,0,0,0,0
2022,nl,Ian Kahn,Gavin Lux,6141,LAD,MI,7,act,active,"OF,2B,SS,MI,SW",417,0,128,66,6,42,7,93,47,0.349,0.403,1,0,0,102,0,9,28
2022,nl,Ian Kahn,Jurickson Profar,3198,Col,CI,3,act,active,"OF,1B,CI,SW",565,0,149,82,15,58,5,103,71,0.331,0.393,6,0,0,0,0,0,146
2022,nl,Ian Kahn,Christopher Morel,7389,ChC,2B,31,act,active,"OF,SS,2B,3B",337,0,97,49,12,39,9,122,32,0.302,0.409,2,0,0,33,18,13,58
2022,nl,Ian Kahn,Ji-Hwan Bae,6556,Pit,SS,67,act,active,OF,22,0,7,4,0,4,1,4,1,0.48,0.5,0,0,0,4,0,0,6
2022,nl,Ian Kahn,Manny Machado,3216,SD,3B,33,act,active,"3B,SW,CI",578,0,150,100,32,102,9,133,63,0.366,0.531,15,0,0,0,134,0,0
2022,nl,Ian Kahn,Michael Harris,7463,Atl,OF,271,act,active,OF,290,0,80,53,14,45,16,77,16,0.339,0.514,0,0,0,0,0,0,114
2022,nl,Ian Kahn,Victor Robles,5309,Was,OF,3,act,active,"OF,SW",300,0,108,35,4,30,10,88,14,0.271,0.3,2,0,0,0,0,0,128
2022,nl,Ian Kahn,Mookie Betts,4670,LAD,OF,37,act,active,"UT,OF,SW,2B",569,0,141,115,35,82,12,104,53,0.336,0.529,1,0,0,7,0,0,136
2022,nl,Ian Kahn,Corbin Carroll,7007,Ari,OF,8,act,active,OF,104,0,32,13,4,14,2,31,8,0.33,0.5,2,0,0,0,0,0,29
2022,nl,Ian Kahn,Austin Romine,2402,FA,C,5,act,active,"C,SW",47,0,19,2,2,4,0,22,0,0.083,0.191,1,50,0,0,0,0,0
2022,nl,Ian Kahn,Travis D'Arnaud,2621,Atl,C,11,act,active,"C,SW",378,0,101,58,17,55,0,86,17,0.314,0.463,5,99,0,0,0,0,0
2022,nl,Ian Kahn,Luis Garcia,6213,Was,UT,11,act,active,"2B,SS,MI,SW",288,0,73,23,5,26,2,67,9,0.279,0.385,0,0,0,33,0,59,0
2022,nl,Ian Kahn,Kyle Farmer,4111,Min,SW,0,act,active,"UT,SS,SW,3B,MI",486,0,135,55,14,74,4,88,32,0.314,0.393,10,0,2,0,36,98,0
2022,nl,Ian Kahn,Rowdy Tellez,4892,Mil,CI,9,trd,previously_active,,433,0,126,52,28,76,1,98,53,0.319,0.471,9,0,139,0,0,0,0
2022,nl,Ian Kahn,LaMonte Wade,5773,SF,CI,8,rel,previously_active,,173,0,61,20,7,22,0,44,20,0.284,0.353,10,0,22,0,0,0,45
2022,nl,Ian Kahn,Robinson Cano,1008,FA,MI,1,rel,previously_active,,41,0,12,3,1,3,0,11,2,0.233,0.268,8,0,0,20,0,0,0
2022,nl,Ian Kahn,Kevin Newman,5393,Cin,2B,0,rel,previously_active,,221,0,60,25,2,18,6,37,10,0.299,0.357,3,0,0,42,0,33,0
2022,nl,Ian Kahn,Sergio Alcantara,4665,ChC,2B,3,rel,previously_active,,3,0,3,0,0,0,0,1,0,0.0,0.0,3,0,0,25,41,28,0
2022,nl,Ian Kahn,Travis Demeritte,4839,FA,OF,84,rel,previously_active,,59,0,16,3,1,3,0,23,3,0.19,0.203,0,0,0,0,0,0,26
2022,nl,Ian Kahn,Yoshitomo Tsutsugo,6952,FA,OF,7,rel,previously_active,,113,0,35,8,2,15,0,31,18,0.281,0.257,15,0,35,0,0,0,0
2022,nl,Ian Kahn,Clint Frazier,4439,CWS,OF,4,rel,previously_active,,14,0,5,0,0,0,0,2,1,0.2,0.214,8,0,0,0,0,0,7
2022,nl,Ian Kahn,Jason Delay,6747,Pit,C,13,rel,previously_active,,6,0,2,0,0,0,0,2,0,0.0,0.0,0,57,0,0,0,0,0
2022,nl,Ian Kahn,James McCann,3906,Bal,C,8,rel,previously_active,,51,0,16,6,0,3,1,14,4,0.255,0.235,0,60,3,0,0,0,0
2022,nl,Ian Kahn,Tomas Nido,5883,NYM,C,26,rel,previously_active,,21,0,8,1,0,1,0,3,1,0.227,0.238,0,96,0,0,0,0,0
2022,nl,Ian Kahn,Yadier Molina,1404,StL,C,5,rel,previously_active,,180,0,54,12,2,12,1,31,4,0.243,0.283,1,77,1,0,0,0,0
2022,nl,Ian Kahn,Brian Serven,6869,Col,C,42,rel,previously_active,,12,0,3,1,0,0,0,3,1,0.231,0.167,0,59,1,0,0,0,0
2022,nl,Ian Kahn,Eddy Alvarez,7205,Mil,UT,8,rel,previously_active,,6,0,3,0,0,0,0,4,0,0.0,0.0,2,0,0,0,5,1,6
2022,nl,Ian Kahn,Yermin Mercedes,6030,FA,UT,21,rel,previously_active,,25,0,9,3,0,1,0,5,2,0.259,0.28,15,1,4,0,0,0,8
2022,nl,Ian Kahn,Bligh Madris,7970,Hou,UT,54,rel,previously_active,,29,0,9,1,0,0,1,13,2,0.226,0.207,3,0,9,0,0,0,25
2022,nl,Ian Kahn,Alex Call,6151,Was,SW,82,res,previously_active,OF,45,0,14,5,1,2,2,14,6,0.321,0.289,3,0,0,0,0,0,42
2022,nl,Ian Kahn,Garrett Hampson,6277,Mia,SW,10,trd,previously_active,,38,0,16,9,2,8,1,10,3,0.317,0.5,3,0,0,10,7,32,36
2022,nl,Ian Kahn,Brett Baty,7037,NYM,SW,16,dis,previously_active,3B,16,0,5,1,1,1,0,2,1,0.294,0.437,0,0,0,0,11,0,0
2022,nl,Ian Kahn,Tucupita Marcano,6931,Pit,SW,54,rel,previously_active,,51,0,15,6,2,5,1,11,4,0.291,0.392,0,0,0,23,0,1,30
2022,nl,Ian Kahn,Albert Pujols,1411,StL,SW,87,rel,previously_active,,18,0,6,2,0,1,0,5,0,0.263,0.278,68,0,22,0,0,0,0
2022,nl,Ian Kahn,Brett Baty,7037,NYM,SW,16,dis,reserved,3B,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0,0
2022,nl,Ian Kahn,Alex Call,6151,Was,SW,82,res,reserved,OF,9,0,3,2,1,2,0,2,1,0.4,0.778,3,0,0,0,0,0,42
2022,nl,Ian Kahn,Jurickson Profar,3198,Col,CI,3,act,previously_reserved,"OF,1B,CI,SW",10,0,3,0,0,0,0,0,2,0.333,0.3,6,0,0,0,0,0,146
2022,nl,Ian Kahn,LaMonte Wade,5773,SF,CI,8,rel,previously_reserved,,29,0,11,7,1,3,0,5,5,0.361,0.379,10,0,22,0,0,0,45
2022,nl,Ian Kahn,Gavin Lux,6141,LAD,MI,7,act,previously_reserved,"OF,2B,SS,MI,SW",4,0,1,0,0,0,0,2,0,0.0,0.0,1,0,0,102,0,9,28
2022,nl,Ian Kahn,Kevin Newman,5393,Cin,2B,0,rel,previously_reserved,,46,0,11,5,0,3,2,11,3,0.367,0.478,3,0,0,42,0,33,0
2022,nl,Ian Kahn,Christopher Morel,7389,ChC,2B,31,act,previously_reserved,"OF,SS,2B,3B",27,0,11,3,2,5,0,11,4,0.323,0.556,2,0,0,33,18,13,58
2022,nl,Ian Kahn,Travis Demeritte,4839,FA,OF,84,rel,previously_reserved,,6,0,2,0,0,1,0,2,0,0.167,0.167,0,0,0,0,0,0,26
2022,nl,Ian Kahn,Victor Robles,5309,Was,OF,3,act,previously_reserved,"OF,SW",66,0,24,7,2,3,5,16,3,0.282,0.364,2,0,0,0,0,0,128
