year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2019,mixed,Zach Steinhorn,Carlos Santana,2181,Ari,1B,20,act,"1B,CI,3B",active
2019,mixed,Zach Steinhorn,Mike Moustakas,2004,FA,2B,11,act,"3B,CI",active
2019,mixed,Zach Steinhorn,Elvis Andrus,1543,FA,SS,9,act,"MI,SS",active
2019,mixed,Zach Steinhorn,Vladimir Guerrero Jr.,5275,Tor,3B,22,act,"1B,CI",active
2019,mixed,Zach Steinhorn,Harrison Bader,5366,SF,OF,27,act,OF,active
2019,mixed,Zach Steinhorn,Mookie Betts,4670,LAD,OF,51,act,"SS,MI,OF",active
2019,mixed,Zach Steinhorn,Brett Gardner,1038,FA,OF,1,act,OF,active
2019,mixed,Zach Steinhorn,George Springer,3575,Tor,OF,26,act,OF,active
2019,mixed,Zach Steinhorn,Nick Markakis,134,Atl,OF,153,act,OF,active
2019,mixed,Zach Steinhorn,Mitch Garver,5025,Sea,C,1,act,C,active
2019,mixed,Zach Steinhorn,Sean Murphy,5926,Atl,C,37,act,C,active
2019,mixed,Zach Steinhorn,Hunter Renfroe,4558,KC,UT,5,act,OF,active
2019,mixed,Zach Steinhorn,Albert Pujols,1411,StL,CI,62,act,"1B,CI",active
2019,mixed,Zach Steinhorn,Marcus Semien,4300,NYM,MI,9,act,"2B,MI,SS",active
2019,mixed,Zach Steinhorn,Robbie Ray,3685,SF,P,9,act,P,active
2019,mixed,Zach Steinhorn,Aaron Nola,4916,Phi,P,34,act,P,active
2019,mixed,Zach Steinhorn,Adam Wainwright,1400,StL,P,28,act,P,active
2019,mixed,Zach Steinhorn,Roberto Osuna,4172,FA,P,17,act,P,active
2019,mixed,Zach Steinhorn,Jairo Diaz,5040,FA,P,0,act,P,active
2019,mixed,Zach Steinhorn,Jeff Samardzija,275,FA,P,52,act,P,active
2019,mixed,Zach Steinhorn,Dallas Keuchel,4149,Mil,P,4,act,P,active
2019,mixed,Zach Steinhorn,Alex Colome,3154,FA,P,3,act,P,active
2019,mixed,Zach Steinhorn,Masahiro Tanaka,4450,NYY,P,15,act,P,active
2019,mixed,Zach Steinhorn,Ryon Healy,5786,FA,3B,18,dis,"CI,1B",reserved
2019,mixed,Zach Steinhorn,Josh Phegley,3029,FA,C,23,res,C,reserved
2019,mixed,Zach Steinhorn,Lourdes Gurriel,5350,Ari,UT,53,dis,"OF,SS,2B,MI",reserved
2019,mixed,Zach Steinhorn,Colin Moran,4435,Sea,UT,53,res,"CI,3B",reserved
2019,mixed,Zach Steinhorn,Kyle Gibson,2705,TB,P,2,res,P,reserved
2019,mixed,Zach Steinhorn,Felix Pena,5612,FA,P,68,dis,P,reserved
2019,mixed,Zach Steinhorn,Jose Quintana,3839,Col,P,6,res,P,reserved
2019,mixed,Zach Steinhorn,C.C. Sabathia,388,NYY,P,0,res,P,reserved
2019,mixed,Bret Sayre,Luke Voit,6139,NYM,1B,7,act,"1B,CI",active
2019,mixed,Bret Sayre,Yoan Moncada,5023,LAA,2B,16,act,"3B,MI,CI,2B",active
2019,mixed,Bret Sayre,Eduardo Escobar,3138,Tor,SS,2,act,"3B,SS,CI,MI",active
2019,mixed,Bret Sayre,D.J. LeMahieu,3275,NYY,3B,1,act,"2B,MI",active
2019,mixed,Bret Sayre,Delino DeShields,3357,FA,OF,0,act,OF,active
2019,mixed,Bret Sayre,Abraham Almonte,4385,FA,OF,0,act,OF,active
2019,mixed,Bret Sayre,Yordan Alvarez,6185,Hou,OF,1,act,OF,active
2019,mixed,Bret Sayre,Joey Wendle,4608,Atl,OF,0,act,"2B,3B,OF,CI,MI",active
2019,mixed,Bret Sayre,J.D. Martinez,3567,FA,OF,43,act,OF,active
2019,mixed,Bret Sayre,Zack Collins,5728,Cle,C,0,act,C,active
2019,mixed,Bret Sayre,Yan Gomes,3945,FA,C,0,act,C,active
2019,mixed,Bret Sayre,Ryan McMahon,4613,NYY,UT,2,act,"3B,CI,1B",active
2019,mixed,Bret Sayre,Aledmys Diaz,4500,FA,CI,0,act,"SS,3B,MI,CI",active
2019,mixed,Bret Sayre,Robinson Cano,1008,FA,MI,1,act,"2B,MI",active
2019,mixed,Bret Sayre,Gerrit Cole,2660,NYY,P,36,act,P,active
2019,mixed,Bret Sayre,Devin Smeltzer,6664,Det,P,0,act,P,active
2019,mixed,Bret Sayre,Nick Anderson,6711,Oak,P,1,act,P,active
2019,mixed,Bret Sayre,Seth Lugo,5417,KC,P,1,act,P,active
2019,mixed,Bret Sayre,Clayton Kershaw,1961,FA,P,17,act,P,active
2019,mixed,Bret Sayre,Trevor Bauer,3676,FA,P,30,act,P,active
2019,mixed,Bret Sayre,Michael Wacha,4080,KC,P,0,act,P,active
2019,mixed,Bret Sayre,Hector Neris,5009,FA,P,0,act,P,active
2019,mixed,Bret Sayre,Carlos Martinez,3606,FA,P,32,act,P,active
2019,mixed,Bret Sayre,Josh Bell,3669,Min,1B,7,res,"1B,CI",reserved
2019,mixed,Bret Sayre,Mike Trout,2844,LAA,OF,56,res,OF,reserved
2019,mixed,Bret Sayre,Josh Naylor,5389,Sea,OF,1,res,"1B,CI",reserved
2019,mixed,Bret Sayre,Austin Riley,5688,Atl,OF,384,res,"3B,CI",reserved
2019,mixed,Bret Sayre,Justin Upton,39,FA,OF,15,res,OF,reserved
2019,mixed,Bret Sayre,Francisco Mejia,4850,Mil,C,2,dis,C,reserved
2019,mixed,Bret Sayre,Franchy Cordero,4877,FA,UT,1,dis,OF,reserved
2019,mixed,Bret Sayre,Kyle Seager,3774,Sea,CI,0,res,"3B,CI",reserved
2019,mixed,Bret Sayre,Brendan Rodgers,5254,Bos,MI,232,dis,2B,reserved
2019,mixed,Bret Sayre,German Marquez,5513,SD,P,19,dis,P,reserved
2019,mixed,Bret Sayre,Lucas Giolito,4040,SD,P,47,dis,P,reserved
2019,mixed,Tim Heaney,Ryan Braun,858,Mil,1B,8,act,"OF,1B,CI",active
2019,mixed,Tim Heaney,Gleyber Torres,4619,Det,2B,20,act,"2B,MI,SS",active
2019,mixed,Tim Heaney,Carlos Correa,4010,Hou,SS,29,act,"SS,MI,3B,CI",active
2019,mixed,Tim Heaney,Howie Kendrick,739,Was,3B,12,act,"2B,MI",active
2019,mixed,Tim Heaney,Wil Myers,3153,FA,OF,16,act,"OF,3B,CI",active
2019,mixed,Tim Heaney,Ramon Laureano,5858,SD,OF,9,act,OF,active
2019,mixed,Tim Heaney,Randal Grichuk,2843,NYY,OF,1,act,OF,active
2019,mixed,Tim Heaney,Bryce Harper,2628,Phi,OF,42,act,"1B,OF,CI",active
