year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,g,w,l,sv,ip,bb,hr,so,era,whip
2020,al,Chris Liss,John Means,6692,Bal,P,4,act,active,P,4,0,3,0,20.0,3,6,17,3.6,0.9
2020,al,Chris Liss,Rafael Dolis,2938,Tor,P,177,act,active,P,20,2,1,5,20.3,11,1,30,0.44,1.033
2020,al,Chris Liss,Brad Hand,3496,Was,P,17,act,active,P,14,2,0,9,14.3,0,0,17,0.63,0.488
2020,al,Chris Liss,Yusei Kikuchi,6454,Sea,P,3,act,active,P,9,2,4,0,47.0,20,3,47,5.17,1.298
2020,al,Chris Liss,Hunter Harvey,4796,Bal,P,4,act,active,P,9,0,2,0,8.0,1,2,6,3.38,1.0
2020,al,Chris Liss,Jake Diekman,3843,Oak,P,1,act,active,P,8,2,0,0,8.3,3,1,11,1.08,0.6
2020,al,Chris Liss,Gerrit Cole,2660,NYY,P,37,act,active,P,12,7,3,0,73.0,17,14,94,2.84,0.959
2020,al,Chris Liss,Dylan Bundy,3751,LAA,P,9,act,active,P,11,6,3,0,65.7,17,5,72,3.29,1.036
2020,al,Chris Liss,Greg Holland,3343,KC,P,289,act,active,P,22,3,0,5,22.3,5,1,24,2.01,0.985
2020,al,Chris Liss,Justin Verlander,504,Hou,P,28,dis,previously_active,P,1,1,0,0,6.0,1,2,7,3.0,0.667
2020,al,Chris Liss,Dan Altavilla,5839,SD,P,3,rel,previously_active,,2,0,0,0,1.0,1,1,0,18.0,4.0
2020,al,Chris Liss,Andre Scrubb,7083,Hou,P,9,rel,previously_active,,1,0,0,0,1.3,1,0,1,6.75,1.5
2020,al,Chris Liss,Homer Bailey,313,FA,P,1,dis,previously_active,P,1,1,0,0,5.0,2,1,4,3.6,1.2
2020,al,Chris Liss,Nate Pearson,6191,Tor,P,3,dis,previously_active,P,4,0,0,0,16.3,12,5,14,6.61,1.531
2020,al,Chris Liss,Chris Devenski,5543,Ari,P,23,rel,previously_active,,2,0,1,0,2.0,1,0,4,13.5,2.5
2020,al,Chris Liss,Jonathan Hernandez,6315,Tex,P,155,rel,previously_active,,24,5,1,0,27.7,5,1,28,2.6,0.976
2020,al,Chris Liss,Adam Plutko,5607,Cle,P,23,rel,previously_active,,4,0,2,0,11.0,3,2,5,9.0,1.727
2020,al,Chris Liss,Shohei Ohtani-Pitcher,4198,LAA,P,7,rel,previously_active,,2,0,1,0,1.7,8,0,3,37.8,6.6
2020,al,Chris Liss,Clarke Schmidt,6193,NYY,P,88,res,reserved,P,3,0,1,0,6.3,5,0,7,7.11,1.895
2020,al,Chris Liss,Austin Pruitt,5836,Hou,P,0,dis,reserved,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2020,al,Chris Liss,Carl Edwards,4609,Atl,P,155,dis,reserved,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2020,al,Chris Liss,Homer Bailey,313,FA,P,1,dis,reserved,P,1,0,0,0,3.0,1,0,3,3.0,1.0
2020,al,Chris Liss,Nate Pearson,6191,Tor,P,3,dis,reserved,P,1,1,0,0,1.7,1,0,2,0.0,1.2
2020,al,Chris Liss,Justin Verlander,504,Hou,P,28,dis,reserved,P,0,0,0,0,0.0,0,0,0,0.0,0.0
2020,al,Chris Liss,Rafael Dolis,2938,Tor,P,177,act,previously_reserved,P,2,0,1,0,1.7,1,0,0,10.8,2.4
2020,al,Chris Liss,John Means,6692,Bal,P,4,act,previously_reserved,P,6,2,1,0,23.7,4,6,25,5.32,1.056
2020,al,Chris Liss,Hunter Harvey,4796,Bal,P,4,act,previously_reserved,P,1,0,0,0,0.7,1,0,0,13.5,3.0
2020,al,Chris Liss,Dan Altavilla,5839,SD,P,3,rel,previously_reserved,,1,0,0,0,1.0,0,0,2,0.0,1.0
2020,al,Chris Liss,Andre Scrubb,7083,Hou,P,9,rel,previously_reserved,,2,0,0,0,2.7,3,0,3,0.0,1.125
2020,al,Chris Liss,Greg Holland,3343,KC,P,289,act,previously_reserved,P,4,0,0,0,4.0,0,0,4,2.25,0.75
2020,al,Rick Wolf/Glenn Colton,Dylan Cease,5708,CWS,P,7,act,active,P,12,5,4,0,58.3,34,12,44,4.01,1.44
2020,al,Rick Wolf/Glenn Colton,Kyle Gibson,2705,Tex,P,4,act,active,P,10,1,5,0,52.7,24,10,46,5.98,1.576
2020,al,Rick Wolf/Glenn Colton,Lance McCullers,3814,Hou,P,10,act,active,P,11,3,3,0,55.0,20,5,56,3.93,1.164
2020,al,Rick Wolf/Glenn Colton,Trevor Rosenthal,3933,FA,P,1,act,active,P,23,1,0,11,23.7,8,2,38,1.9,0.845
2020,al,Rick Wolf/Glenn Colton,Justus Sheffield,5115,Sea,P,1,act,active,P,9,4,2,0,52.3,16,2,46,3.1,1.223
2020,al,Rick Wolf/Glenn Colton,Dean Kremer,6817,Bal,P,56,act,active,P,3,0,1,0,12.7,9,0,15,6.39,1.816
2020,al,Rick Wolf/Glenn Colton,Bryan Garcia,7101,Det,P,56,act,active,P,5,0,1,2,4.3,4,0,5,2.08,2.077
2020,al,Rick Wolf/Glenn Colton,Michael Pineda,3175,Min,P,76,act,active,P,5,2,0,0,26.7,7,0,25,3.37,1.2
2020,al,Rick Wolf/Glenn Colton,Andrew Heaney,4146,LAA,P,10,act,active,P,12,4,3,0,66.7,19,9,70,4.46,1.23
2020,al,Rick Wolf/Glenn Colton,Nick Margevicius,6798,Sea,P,76,res,previously_active,P,2,0,1,0,9.7,6,2,9,9.31,1.759
2020,al,Rick Wolf/Glenn Colton,Joe Jimenez,5304,Det,P,12,res,previously_active,,13,1,1,5,11.0,5,4,11,10.64,1.727
2020,al,Rick Wolf/Glenn Colton,Ljay Newsome,6373,Sea,P,16,res,previously_active,P,1,0,0,0,1.3,0,0,2,6.75,1.5
2020,al,Rick Wolf/Glenn Colton,Asher Wojciechowski,3671,NYY,P,0,rel,previously_active,,1,0,1,0,5.0,2,3,7,7.2,1.2
2020,al,Rick Wolf/Glenn Colton,Jimmy Cordero,5433,CWS,P,0,rel,previously_active,,2,0,0,0,1.0,0,0,0,18.0,2.0
2020,al,Rick Wolf/Glenn Colton,Zack Godley,5283,Bos,P,2,rel,previously_active,,1,0,0,0,4.7,1,2,3,9.64,1.929
2020,al,Rick Wolf/Glenn Colton,Carl Edwards,4609,Atl,P,0,rel,previously_active,,2,0,0,0,2.0,1,0,2,4.5,1.5
2020,al,Rick Wolf/Glenn Colton,Brandon Bielak,6780,Hou,P,52,rel,previously_active,,4,1,2,0,13.0,9,6,10,9.0,1.846
2020,al,Rick Wolf/Glenn Colton,Trent Thornton,6406,Tor,P,0,dis,previously_active,P,1,0,0,0,4.0,2,0,3,2.25,2.5
2020,al,Rick Wolf/Glenn Colton,Kolby Allard,5368,Tex,P,21,rel,previously_active,,4,0,3,0,10.3,9,2,13,15.68,2.516
2020,al,Rick Wolf/Glenn Colton,Ian Kennedy,990,FA,P,13,dis,previously_active,P,3,0,1,0,4.3,0,2,5,4.15,0.462
2020,al,Rick Wolf/Glenn Colton,Miguel Castro,5143,NYM,P,176,rel,previously_active,,2,0,0,0,1.7,0,2,4,21.6,4.2
2020,al,Rick Wolf/Glenn Colton,Ian Kennedy,990,FA,P,13,dis,reserved,P,12,0,1,0,9.7,5,5,10,11.17,2.379
2020,al,Rick Wolf/Glenn Colton,Trent Thornton,6406,Tor,P,0,dis,reserved,P,2,0,0,0,1.7,1,0,3,32.4,4.8
