year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2024,mixed,Scott Swanay,Andrew Vaughn,6905,CWS,1B,3,act,active,"1B,CI",501,120,132,43,14,62,1,115,34,0.293,0.375,27,0,122,0,0,0,0
2024,mixed,Scott Swanay,Jose Altuve,3776,Hou,2B,26,act,active,"2B,MI",628,185,153,94,20,65,22,119,47,0.35,0.439,5,0,0,147,0,0,0
2024,mixed,Scott Swanay,Willy Adames,5094,Mil,SS,10,act,active,"SS,MI",610,153,161,93,32,112,21,173,74,0.331,0.462,0,0,0,0,0,161,0
2024,mixed,Scott Swanay,Jonah Bride,7895,Mia,3B,20,act,active,"3B,1B,CI",72,23,19,12,5,15,0,17,6,0.354,0.569,19,0,38,3,13,0,0
2024,mixed,Scott Swanay,Corbin Carroll,7007,Ari,OF,37,act,active,OF,589,136,158,121,22,74,35,130,73,0.322,0.428,0,0,0,0,0,0,156
2024,mixed,Scott Swanay,Pavin Smith,6109,Ari,OF,5,act,active,"1B,OF",34,8,11,5,2,5,0,13,6,0.35,0.529,2,0,17,0,0,0,32
2024,mixed,Scott Swanay,TJ Friedl,6751,Cin,OF,6,act,active,OF,252,60,72,30,12,49,6,41,21,0.315,0.405,1,0,0,0,0,0,82
2024,mixed,Scott Swanay,Jorge Soler,3918,Atl,OF,128,act,active,OF,298,78,89,60,14,46,1,92,50,0.373,0.493,92,0,0,0,0,0,46
2024,mixed,Scott Swanay,Jake McCarthy,6977,Ari,OF,28,act,active,OF,210,60,55,29,5,33,11,31,7,0.329,0.4,1,0,0,0,0,0,137
2024,mixed,Scott Swanay,Victor Caratini,4876,Hou,C,10,act,active,"C,1B",19,4,5,3,1,2,0,9,1,0.25,0.368,3,58,11,0,0,0,0
2024,mixed,Scott Swanay,Ryan Jeffers,7271,Min,C,8,act,active,C,412,93,122,56,21,64,3,94,32,0.3,0.432,34,86,0,0,0,0,0
2024,mixed,Scott Swanay,Carlos Correa,4010,Min,UT,7,act,active,"SS,MI",317,98,85,55,14,54,0,61,40,0.387,0.514,1,0,0,0,0,84,0
2024,mixed,Scott Swanay,Anthony Rizzo,3156,NYY,CI,5,act,active,"1B,CI",31,10,9,4,0,4,0,8,4,0.432,0.387,0,0,92,0,0,0,0
2024,mixed,Scott Swanay,Jonathan India,6595,Cin,MI,5,act,active,"2B,MI",213,44,59,34,7,19,4,50,31,0.325,0.347,18,0,0,133,0,0,0
2024,mixed,Scott Swanay,Nick Senzel,5674,CWS,3B,10,trd,previously_active,,38,12,13,7,1,5,1,8,8,0.435,0.553,18,0,0,0,53,0,1
2024,mixed,Scott Swanay,Ramon Urias,6726,Bal,3B,7,res,previously_active,"3B,CI,2B,MI",15,5,5,4,1,4,0,4,2,0.474,0.6,2,0,2,3,93,0,0
2024,mixed,Scott Swanay,*Jeimer Candelario,4071,Cin,3B,5,dis,previously_active,"3B,1B,CI",407,87,107,44,17,47,4,110,27,0.271,0.398,32,0,32,0,54,0,0
2024,mixed,Scott Swanay,Miguel Vargas,6973,CWS,3B,35,rel,previously_active,,36,3,11,3,0,1,0,11,4,0.195,0.111,4,0,1,0,36,0,28
2024,mixed,Scott Swanay,*Anthony Rendon,3205,LAA,3B,5,dis,previously_active,"3B,CI",88,21,23,11,0,6,3,15,8,0.303,0.273,6,0,0,0,50,0,0
2024,mixed,Scott Swanay,*Stuart Fairchild,6341,Cin,OF,10,rel,previously_active,,13,1,5,2,1,1,0,7,1,0.2,0.308,8,0,0,0,0,0,84
2024,mixed,Scott Swanay,Jake Fraley,6173,Cin,OF,3,trd,previously_active,,43,12,15,9,1,3,5,8,6,0.367,0.395,8,0,0,0,0,0,100
2024,mixed,Scott Swanay,Will Benson,6051,Cin,OF,28,rel,previously_active,,11,2,5,2,1,1,0,6,3,0.357,0.455,6,0,0,0,0,0,118
2024,mixed,Scott Swanay,Dylan Carlson,6519,TB,OF,60,rel,previously_active,,19,3,9,2,0,0,0,6,1,0.238,0.158,3,0,0,0,0,0,86
2024,mixed,Scott Swanay,Austin Martin,7072,Min,OF,10,rel,previously_active,,10,2,5,1,0,1,0,2,0,0.2,0.3,5,0,0,14,0,0,74
2024,mixed,Scott Swanay,Josh Palacios,7292,Pit,OF,13,rel,previously_active,,31,6,9,2,0,2,0,6,0,0.219,0.194,0,0,0,0,0,0,20
2024,mixed,Scott Swanay,Jack Suwinski,7898,Pit,OF,9,rel,previously_active,,134,24,45,17,5,12,7,34,17,0.27,0.328,0,0,0,0,0,0,85
