year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2015,nl,Tristan H. Cockcroft,Anthony Rizzo,3156,FA,1B,31,act,"1B,CI,SW",active
2015,nl,Tristan H. Cockcroft,Jedd Gyorko,3700,Mil,2B,14,act,"SW,MI,2B",active
2015,nl,Tristan H. Cockcroft,Brandon Crawford,3051,FA,SS,5,act,"SS,SW,MI",active
2015,nl,Tristan H. Cockcroft,Matt Duffy,4893,Tex,3B,4,act,"UT,SW,MI,2B",active
2015,nl,Tristan H. Cockcroft,Jarrett Parker,3715,NYM,OF,1,act,OF,active
2015,nl,Tristan H. Cockcroft,Travis Jankowski,4479,NYM,OF,1,act,OF,active
2015,nl,Tristan H. Cockcroft,Jason Bourgeois,249,CWS,OF,2,act,"OF,SW",active
2015,nl,Tristan H. Cockcroft,Curtis Granderson,517,Mia,OF,19,act,"OF,SW",active
2015,nl,Tristan H. Cockcroft,Kyle Schwarber,4901,Phi,C,1,act,"OF,C,SW",active
2015,nl,Tristan H. Cockcroft,Francisco Cervelli,1004,FA,C,3,act,"C,SW",active
2015,nl,Tristan H. Cockcroft,Trea Turner,4555,Phi,UT,1,act,"SS,SW,INF",active
2015,nl,Tristan H. Cockcroft,Chase Utley,1132,LAD,SW,15,act,"2B,MI,SW",active
2015,nl,Tristan H. Cockcroft,Robbie Ray,3685,SF,P,0,act,P,active
2015,nl,Tristan H. Cockcroft,Anthony DeSclafani,4732,Ari,P,2,act,P,active
2015,nl,Tristan H. Cockcroft,Jeurys Familia,3269,FA,P,3,act,P,active
2015,nl,Tristan H. Cockcroft,Max Scherzer,19,Tor,P,30,act,P,active
2015,nl,Tristan H. Cockcroft,Trevor Rosenthal,3933,FA,P,16,act,P,active
2015,nl,Tristan H. Cockcroft,Jorge Lopez,5434,Was,P,13,act,P,active
2015,nl,Tristan H. Cockcroft,Charlie Morton,61,FA,P,27,act,P,active
2015,nl,Tristan H. Cockcroft,Matt Wisler,4486,Tor,P,1,act,P,active
2015,nl,Tristan H. Cockcroft,Johnny Cueto,354,LAA,P,21,act,P,active
2015,nl,Tristan H. Cockcroft,Alexi Amarista,3084,Phi,CI,7,act,"OF,SW,MI,3B,SS,2B,CI",active
2015,nl,Tristan H. Cockcroft,Scooter Gennett,3277,FA,MI,11,act,"2B,SW,MI",active
2015,nl,Tristan H. Cockcroft,Wil Myers,3153,FA,OF,2,res,"OF,SW",reserved
2015,nl,Tristan H. Cockcroft,Yasiel Puig,4153,FA,OF,29,dis,"OF,SW",reserved
2015,nl,Tristan H. Cockcroft,Juan Lagares,3868,FA,OF,9,res,"OF,SW",reserved
2015,nl,Tristan H. Cockcroft,Rafael Montero,4316,NYY,P,0,dis,P,reserved
2015,nl,Tristan H. Cockcroft,Jimmy Nelson,4556,FA,P,7,dis,P,reserved
2015,nl,Tristan H. Cockcroft,Joakim Soria,671,Tor,P,12,res,P,reserved
2015,nl,Tristan H. Cockcroft,Ryan Howard,1129,Col,CI,13,res,"1B,CI,SW",reserved
2015,nl,Mike Gianella,Paul Goldschmidt,3159,NYY,1B,37,act,"1B,SW,CI,INF",active
2015,nl,Mike Gianella,Yangervis Solarte,3899,FA,2B,3,act,"2B,MI,SW,CI,3B",active
2015,nl,Mike Gianella,Jhonny Peralta,404,FA,SS,15,act,"MI,SW,SS",active
2015,nl,Mike Gianella,David Wright,953,FA,3B,1,act,"3B,SW,CI",active
2015,nl,Mike Gianella,Carlos Gonzalez,1077,FA,OF,27,act,"OF,SW",active
2015,nl,Mike Gianella,Ben Revere,2085,FA,OF,18,act,"OF,SW",active
2015,nl,Mike Gianella,Michael A. Taylor,4060,FA,OF,4,act,"OF,SW",active
2015,nl,Mike Gianella,Stephen Piscotty,4095,FA,OF,1,act,OF,active
2015,nl,Mike Gianella,Jarrod Saltalamacchia,1516,Det,C,1,act,"C,SW",active
2015,nl,Mike Gianella,Wilin Rosario,2499,Min,C,12,act,"SW,C",active
