year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,g,w,l,sv,ip,bb,hr,so,era,whip
2020,mixed,Derek VanRiper,Deivi Garcia,6910,NYY,P,44,act,active,P,4,2,2,0,21.3,6,5,21,7.172,1.5
2020,mixed,Derek VanRiper,Cristian Javier,7089,Hou,P,257,act,active,P,9,5,2,0,44.0,15,8,40,3.477,0.9318
2020,mixed,Derek VanRiper,Kenta Maeda,4548,Min,P,7,act,active,P,11,6,1,0,66.7,10,9,80,2.7,0.75
2020,mixed,Derek VanRiper,Spencer Turnbull,5111,Det,P,0,act,active,P,11,4,4,0,56.7,29,2,51,3.971,1.3412
2020,mixed,Derek VanRiper,Tarik Skubal,7077,Det,P,77,act,active,P,4,1,1,0,19.7,5,5,20,3.203,0.8136
2020,mixed,Derek VanRiper,J.A. Happ,1109,NYY,P,44,act,active,P,5,1,1,0,29.3,5,4,31,3.068,0.9886
2020,mixed,Derek VanRiper,Josh Tomlin,3340,Atl,P,35,act,active,P,3,0,0,0,4.3,1,2,5,4.154,1.1538
2020,mixed,Derek VanRiper,Raisel Iglesias,4929,Cin,P,9,act,active,P,22,4,3,8,23.0,5,1,31,2.739,0.913
2020,mixed,Derek VanRiper,Zach Plesac,7027,Cle,P,59,act,active,P,7,3,2,0,49.3,6,7,51,2.372,0.8108
2020,mixed,Derek VanRiper,Kevin Ginkel,6849,Ari,P,110,rel,previously_active,,2,0,1,0,1.7,3,0,2,5.4,2.4
2020,mixed,Derek VanRiper,Triston McKenzie,5734,Cle,P,177,res,previously_active,P,5,1,1,0,23.3,8,5,26,4.243,1.1143
2020,mixed,Derek VanRiper,Jon Lester,160,ChC,P,59,rel,previously_active,,2,1,0,0,11.0,2,1,5,0.818,0.5455
2020,mixed,Derek VanRiper,*James Paxton,3577,NYY,P,13,rel,previously_active,,5,1,1,0,20.3,7,4,26,6.639,1.4754
2020,mixed,Derek VanRiper,Andrew Miller,548,StL,P,88,res,previously_active,P,4,0,1,1,3.0,1,0,3,6.0,1.6667
2020,mixed,Derek VanRiper,Jordan Lyles,2695,Tex,P,77,rel,previously_active,,2,0,2,0,8.0,1,2,4,15.75,2.375
2020,mixed,Derek VanRiper,*Greg Holland,3343,KC,P,69,rel,previously_active,,4,1,0,0,3.7,1,0,4,4.909,1.6364
2020,mixed,Derek VanRiper,Sean Newcomb,4958,Atl,P,1,rel,previously_active,,4,0,2,0,13.7,6,4,10,11.195,1.9024
2020,mixed,Derek VanRiper,Brandon Bielak,6780,Hou,P,27,rel,previously_active,,4,1,2,0,13.0,9,6,10,9.0,1.8462
2020,mixed,Derek VanRiper,Diego Castillo,6313,TB,P,0,rel,previously_active,,5,0,0,0,4.3,4,0,5,0.0,1.1538
2020,mixed,Derek VanRiper,Will Smith,3082,Atl,P,4,rel,previously_active,,4,1,0,0,4.3,0,3,4,6.231,0.6923
2020,mixed,Derek VanRiper,Jose Berrios,4464,Min,P,19,res,previously_active,P,11,5,3,0,58.0,24,6,61,3.724,1.3103
2020,mixed,Derek VanRiper,Jose Berrios,4464,Min,P,19,res,reserved,P,1,0,1,0,5.0,2,2,7,7.2,1.4
2020,mixed,Derek VanRiper,Triston McKenzie,5734,Cle,P,177,res,reserved,P,2,0,0,0,4.0,0,0,6,0.0,0.25
2020,mixed,Derek VanRiper,Andrew Miller,548,StL,P,88,res,reserved,P,9,1,0,2,7.3,3,0,10,1.227,0.5455
2020,mixed,Derek VanRiper,Tarik Skubal,7077,Det,P,77,act,previously_reserved,P,2,0,2,0,8.0,4,2,11,9.0,1.375
2020,mixed,Derek VanRiper,Cristian Javier,7089,Hou,P,257,act,previously_reserved,P,1,0,0,0,3.7,2,2,5,7.364,2.4545
2020,mixed,Derek VanRiper,Deivi Garcia,6910,NYY,P,44,act,previously_reserved,P,1,1,0,0,7.0,0,1,6,2.571,0.7143
2020,mixed,Derek VanRiper,Brandon Bielak,6780,Hou,P,27,rel,previously_reserved,,1,0,0,0,3.7,0,2,5,9.818,1.9091
2020,mixed,Derek VanRiper,Diego Castillo,6313,TB,P,0,rel,previously_reserved,,3,1,0,0,2.3,0,0,4,0.0,0.0
2020,mixed,Derek VanRiper,Will Smith,3082,Atl,P,4,rel,previously_reserved,,5,1,1,0,4.3,1,2,6,6.231,1.3846
2020,mixed,Derek VanRiper,Zach Plesac,7027,Cle,P,59,act,previously_reserved,P,1,1,0,0,6.0,0,1,6,1.5,0.6667
2020,mixed,Jeff Zimmerman,Keegan Akin,6550,Bal,P,6,act,active,P,2,0,1,0,7.0,1,2,10,7.714,2.0
2020,mixed,Jeff Zimmerman,Richard Rodriguez,5954,Pit,P,2,act,active,P,13,3,1,3,11.7,4,1,18,2.314,1.2
2020,mixed,Jeff Zimmerman,Edwin Diaz,4840,NYM,P,12,act,active,P,23,2,1,6,22.7,14,2,43,1.985,1.3235
2020,mixed,Jeff Zimmerman,Felix Pena,5612,LAA,P,5,act,active,P,3,0,0,0,2.3,0,0,2,0.0,0.8571
2020,mixed,Jeff Zimmerman,Dinelson Lamet,6035,SD,P,10,act,active,P,12,3,1,0,69.0,20,5,93,2.087,0.8551
2020,mixed,Jeff Zimmerman,Brett Anderson,2011,Mil,P,18,act,active,P,5,3,1,0,25.0,4,4,17,3.96,1.16
2020,mixed,Jeff Zimmerman,Dylan Bundy,3751,LAA,P,2,act,active,P,11,6,3,0,65.7,17,5,72,3.289,1.0355
2020,mixed,Jeff Zimmerman,Hector Neris,5009,Phi,P,0,act,active,P,3,0,0,0,4.0,1,0,7,4.5,1.0
2020,mixed,Jeff Zimmerman,Tony Watson,3418,SF,P,2,act,active,P,5,0,0,0,4.0,1,2,4,9.0,1.75
