year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,g,r,hr,rbi,sb,so,bb,avg,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2023,mixed,Bret Sayre,Josh Naylor,5389,Cle,1B,2,act,active,"1B,CI",431,115,47,14,89,9,67,31,0.354,0.409,0.478,27,0,91,0,0,0,1
2023,mixed,Bret Sayre,Kike Hernandez,4992,LAD,2B,35,act,active,"1B,OF,2B,3B,SS",351,103,42,9,44,3,81,25,0.272,0.333,0.336,0,0,10,36,12,74,36
2023,mixed,Bret Sayre,Fernando Tatis Jr.,5793,SD,SS,30,act,active,OF,570,140,91,25,78,29,139,53,0.324,0.174,0.453,3,0,0,1,0,0,139
2023,mixed,Bret Sayre,Jose Ramirez,4602,Cle,3B,44,act,active,"3B,CI",611,156,87,24,80,28,73,73,0.356,0.391,0.475,31,0,0,0,125,0,0
2023,mixed,Bret Sayre,Mark Canha,4430,Mil,OF,2,act,active,"OF,1B",381,120,49,10,60,8,70,44,0.357,0.187,0.409,33,0,18,0,4,0,88
2023,mixed,Bret Sayre,Aaron Hicks,2591,Bal,OF,21,act,active,OF,27,9,1,0,2,2,6,7,0.353,0.154,0.222,8,0,0,0,0,0,84
2023,mixed,Bret Sayre,Jason Heyward,1968,LAD,OF,8,act,active,"OF,1B",67,19,7,2,5,0,9,2,0.319,0.286,0.478,6,0,6,0,0,0,109
2023,mixed,Bret Sayre,Mike Yastrzemski,5314,SF,OF,1,act,active,OF,281,92,45,14,42,2,82,38,0.334,0.235,0.466,1,0,0,0,0,0,103
2023,mixed,Bret Sayre,Ronald Acuna,5737,Atl,OF,45,act,active,OF,643,159,149,41,106,73,84,80,0.416,0.476,0.596,2,0,0,0,0,0,156
2023,mixed,Bret Sayre,Yainer Diaz,8277,Hou,C,41,act,active,"C,1B",220,63,33,16,43,0,46,6,0.31,0.2,0.559,38,60,8,0,0,0,0
2023,mixed,Bret Sayre,Elias Diaz,5078,Col,C,1,act,active,C,486,141,48,14,72,1,118,34,0.316,0.267,0.409,8,126,0,0,0,0,0
2023,mixed,Bret Sayre,Brett Baty,7037,NYM,UT,0,act,active,"3B,CI",163,49,23,3,17,2,48,14,0.285,0.182,0.313,4,0,0,0,100,0,1
2023,mixed,Bret Sayre,Carlos Santana,2181,Mil,CI,1,act,active,"1B,CI",403,107,55,16,64,4,75,49,0.319,0.4,0.419,11,0,135,0,0,0,0
2023,mixed,Bret Sayre,J.P. Crawford,4534,Sea,MI,1,act,active,"SS,MI",526,143,91,19,64,2,123,91,0.38,0.414,0.443,0,0,0,0,0,144,0
2023,mixed,Bret Sayre,Kolten Wong,3771,LAD,2B,2,rel,previously_active,,51,16,6,0,3,0,14,5,0.19,0.0,0.098,3,0,0,76,0,0,0
2023,mixed,Bret Sayre,Jordan Westburg,7381,Bal,2B,67,res,previously_active,"3B,2B",196,63,25,3,22,4,51,15,0.312,0.0,0.408,1,0,0,50,29,0,0
2023,mixed,Bret Sayre,Travis Jankowski,4479,Tex,OF,58,rel,previously_active,,78,27,8,0,8,5,12,10,0.322,0.0,0.282,2,0,0,0,0,0,104
2023,mixed,Bret Sayre,Joey Gallo,4121,Min,OF,45,rel,previously_active,,17,10,2,0,0,0,12,4,0.238,0.0,0.059,1,0,51,0,0,0,64
2023,mixed,Bret Sayre,*Mike Trout,2844,LAA,OF,37,dis,previously_active,OF,304,81,54,18,44,2,103,45,0.369,0.0,0.493,2,0,0,0,0,0,79
2023,mixed,Bret Sayre,Harrison Bader,5366,Cin,OF,2,dis,previously_active,OF,280,85,39,7,35,18,55,14,0.276,0.0,0.357,1,0,0,0,0,0,95
2023,mixed,Bret Sayre,Mike Zunino,4012,FA,C,1,rel,previously_active,,124,42,11,3,11,0,61,15,0.271,0.0,0.306,0,42,0,0,0,0,0
2023,mixed,Bret Sayre,Tyler Soderstrom,7377,Oak,C,137,rel,previously_active,,10,3,0,0,0,0,1,2,0.417,0.0,0.3,18,15,10,0,0,0,0
2023,mixed,Bret Sayre,Shohei Ohtani-Hitter,6322,LAA,UT,32,dis,previously_active,UT,497,135,102,44,95,20,143,91,0.412,0.0,0.654,134,0,0,0,0,0,0
2023,mixed,Bret Sayre,*Nick Madrigal,6496,ChC,CI,47,rel,previously_active,,22,9,4,1,5,1,2,0,0.273,0.0,0.545,4,0,0,14,72,0,0
2023,mixed,Bret Sayre,Nolan Gorman,6498,StL,MI,0,dis,previously_active,"3B,2B,MI",400,116,59,27,76,7,142,52,0.33,0.0,0.485,27,0,0,75,18,0,0
2023,mixed,Bret Sayre,Jordan Westburg,7381,Bal,2B,67,res,reserved,"3B,2B",12,5,1,0,1,0,5,1,0.308,0.308,0.333,1,0,0,50,29,0,0
2023,mixed,Bret Sayre,Harrison Bader,5366,Cin,OF,2,dis,reserved,OF,39,13,5,0,5,2,4,3,0.262,0.0,0.282,1,0,0,0,0,0,95
2023,mixed,Bret Sayre,*Mike Trout,2844,LAA,OF,37,dis,reserved,OF,4,1,0,0,0,0,1,0,0.25,0.0,0.25,2,0,0,0,0,0,79
2023,mixed,Bret Sayre,Shohei Ohtani-Hitter,6322,LAA,UT,32,dis,reserved,UT,0,0,0,0,0,0,0,0,0.0,0.0,0.0,134,0,0,0,0,0,0
2023,mixed,Bret Sayre,Nolan Gorman,6498,StL,MI,0,dis,reserved,"3B,2B,MI",6,3,0,0,0,0,6,1,0.143,0.0,0.0,27,0,0,75,18,0,0
2023,mixed,Bret Sayre,Josh Naylor,5389,Cle,1B,2,act,previously_reserved,"1B,CI",21,6,5,3,8,1,1,2,0.348,0.0,0.714,27,0,91,0,0,0,1
2023,mixed,Bret Sayre,Kike Hernandez,4992,LAD,2B,35,act,previously_reserved,"1B,OF,2B,3B,SS",30,10,4,1,7,1,5,4,0.4,0.0,0.5,0,0,10,36,12,74,36
2023,mixed,Bret Sayre,Fernando Tatis Jr.,5793,SD,SS,30,act,previously_reserved,OF,5,1,0,0,0,0,2,0,0.0,0.0,0.0,3,0,0,1,0,0,139
2023,mixed,Bret Sayre,Mark Canha,4430,Mil,OF,2,act,previously_reserved,"OF,1B",54,19,2,1,2,3,9,5,0.339,0.0,0.333,33,0,18,0,4,0,88
2023,mixed,Bret Sayre,Travis Jankowski,4479,Tex,OF,58,rel,previously_reserved,,7,3,1,0,1,0,1,1,0.111,0.0,0.0,2,0,0,0,0,0,104
2023,mixed,Bret Sayre,Mike Yastrzemski,5314,SF,OF,1,act,previously_reserved,OF,49,14,9,1,1,0,17,7,0.304,0.0,0.327,1,0,0,0,0,0,103
2023,mixed,Bret Sayre,Joey Gallo,4121,Min,OF,45,rel,previously_reserved,,8,5,0,0,0,1,4,2,0.2,0.0,0.0,1,0,51,0,0,0,64
2023,mixed,Bret Sayre,Tyler Soderstrom,7377,Oak,C,137,rel,previously_reserved,,78,25,7,2,5,0,29,5,0.202,0.0,0.231,18,15,10,0,0,0,0
2023,mixed,Bret Sayre,Yainer Diaz,8277,Hou,C,41,act,previously_reserved,"C,1B",8,2,2,0,1,0,4,2,0.5,0.0,0.375,38,60,8,0,0,0,0
2023,mixed,Bret Sayre,Brett Baty,7037,NYM,UT,0,act,previously_reserved,"3B,CI",190,59,18,6,17,0,61,15,0.267,0.0,0.332,4,0,0,0,100,0,1
2023,mixed,Bret Sayre,Carlos Santana,2181,Mil,CI,1,act,previously_reserved,"1B,CI",147,39,23,7,22,2,29,16,0.317,0.0,0.456,11,0,135,0,0,0,0
