year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2016,nl,Todd Zola,Freddy Galvis,3005,SD,MI,1,act,active,"SS,SW,MI",584,0,158,61,20,67,17,136,25,0.274,0.399,0,0,0,0,0,156,0
2016,nl,Todd Zola,Joey Votto,345,Cin,1B,39,act,active,"1B,CI,SW",556,0,158,101,29,97,8,120,108,0.434,0.55,1,0,154,0,0,0,0
2016,nl,Todd Zola,Darin Ruf,4191,FA,CI,0,act,active,"1B,OF,SW,CI",4,0,4,1,1,1,0,1,0,0.25,1.0,0,0,14,0,0,0,13
2016,nl,Todd Zola,Jose Peraza,4468,Cin,2B,7,act,active,"2B,SW,SS,OF,MI",219,0,66,25,3,24,18,28,6,0.361,0.429,1,0,0,12,0,31,21
2016,nl,Todd Zola,Eugenio Suarez,4330,Cin,SS,12,act,active,"3B,MI,SW,SS",565,0,159,78,21,70,11,155,51,0.317,0.411,1,0,0,0,151,2,0
2016,nl,Todd Zola,Danny Espinosa,2765,Phi,3B,2,act,active,"2B,SW,SS,3B,MI,CI",516,0,157,66,24,72,9,174,54,0.306,0.378,0,0,0,0,0,157,0
2016,nl,Todd Zola,Chris Coghlan,599,ChC,OF,117,act,active,"3B,2B,OF,SW,1B,MI",69,0,34,11,0,8,1,17,17,0.375,0.333,2,0,6,20,18,0,46
2016,nl,Todd Zola,Ichiro Suzuki,1368,FA,OF,113,act,active,"OF,SW",265,0,119,40,1,19,8,38,25,0.363,0.392,3,0,0,0,0,0,78
2016,nl,Todd Zola,Ryan Raburn,521,FA,OF,1,act,active,"OF,SW,1B",223,0,113,30,9,30,0,80,28,0.309,0.404,6,0,5,0,0,0,49
2016,nl,Todd Zola,Curtis Granderson,517,Mil,OF,21,act,active,"OF,SW",545,0,150,88,30,59,4,130,74,0.335,0.464,1,0,0,0,0,0,140
2016,nl,Todd Zola,Cameron Rupp,4651,Sea,C,5,act,active,"C,SW",389,0,105,36,16,54,1,114,24,0.303,0.447,0,104,0,0,0,0,0
2016,nl,Todd Zola,Francisco Cervelli,1004,Pit,C,11,act,active,"C,SW",320,0,99,41,1,32,5,71,55,0.379,0.322,1,95,2,0,0,0,0
