year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2023,al,Larry Schechter,Jose Abreu,4038,FA,1B,20,act,"1B,CI,SW",active
2023,al,Larry Schechter,Jorge Polanco,4695,NYM,2B,19,act,"2B,SW,MI",active
2023,al,Larry Schechter,J.P. Crawford,4534,Sea,SS,11,act,"SS,SW,MI,INF",active
2023,al,Larry Schechter,Jace Peterson,4427,FA,3B,7,act,"OF,CI,SW,3B",active
2023,al,Larry Schechter,Myles Straw,6413,Tor,OF,6,act,"OF,SW",active
2023,al,Larry Schechter,Parker Meadows,6915,Det,OF,82,act,"OF,SW",active
2023,al,Larry Schechter,Drew Waters,6537,KC,OF,0,act,"OF,SW",active
2023,al,Larry Schechter,Kike Hernandez,4992,LAD,OF,8,act,"UT,SW,OF",active
2023,al,Larry Schechter,James McCann,3906,Ari,C,0,act,"C,SW",active
2023,al,Larry Schechter,Jonah Heim,5632,Atl,C,8,act,"C,SW",active
2023,al,Larry Schechter,Eduardo Escobar,3138,Tor,UT,16,act,"3B,CI,SW",active
2023,al,Larry Schechter,Mickey Moniak,5792,Col,SW,35,act,"OF,SW",active
2023,al,Larry Schechter,Cal Quantrill,5797,Tex,P,7,act,P,active
2023,al,Larry Schechter,Aaron Civale,7061,Oak,P,5,act,P,active
2023,al,Larry Schechter,Jon Gray,4445,FA,P,4,act,P,active
2023,al,Larry Schechter,Mike Clevinger,4528,Pit,P,17,act,P,active
2023,al,Larry Schechter,Lance Lynn,2919,FA,P,13,act,P,active
2023,al,Larry Schechter,Garrett Whitlock,7546,Bos,P,5,act,P,active
2023,al,Larry Schechter,Bailey Ober,7533,Min,P,138,act,P,active
2023,al,Larry Schechter,Dylan Cease,5708,Tor,P,24,act,P,active
2023,al,Larry Schechter,Carlos Estevez,5488,KC,P,5,act,P,active
2023,al,Larry Schechter,Eugenio Suarez,4330,Cin,CI,17,act,"3B,SW,INF,CI",active
2023,al,Larry Schechter,Whit Merrifield,4419,Atl,MI,16,act,"2B,SW,MI,OF",active
2023,al,Larry Schechter,Oscar Gonzalez,7841,SD,OF,6,res,"OF,SW",reserved
2023,al,Larry Schechter,Shohei Ohtani-Hitter,6322,LAD,UT,34,dis,SW,reserved
2023,al,Larry Schechter,Zach Jackson,6695,Oak,P,0,dis,P,reserved
2023,al,Larry Schechter,Cole Irvin,6378,LAD,P,5,res,P,reserved
2023,al,Larry Schechter,Jason Adam,3680,SD,P,7,dis,P,reserved
2023,al,Larry Schechter,Dany Jimenez,7145,FA,P,0,res,P,reserved
2023,al,Jeff Erickson,Andrew Vaughn,6905,Mil,1B,16,act,"1B,SW,OF,CI",active
2023,al,Jeff Erickson,D.J. LeMahieu,3275,NYY,2B,13,act,"2B,3B,SW,1B,MI,CI",active
2023,al,Jeff Erickson,Anthony Volpe,7050,NYY,SS,6,act,SS,active
2023,al,Jeff Erickson,Willi Castro,6289,Col,3B,73,act,"OF,2B,SW,3B,MI,INF,SS",active
2023,al,Jeff Erickson,Akil Baddoo,6487,Mil,OF,227,act,"OF,SW",active
2023,al,Jeff Erickson,Kevin Kiermaier,4671,LAD,OF,2,act,"OF,SW",active
2023,al,Jeff Erickson,Teoscar Hernandez,4844,LAD,OF,23,act,"OF,SW",active
2023,al,Jeff Erickson,Eloy Jimenez,4617,Tor,OF,20,act,"OF,SW",active
2023,al,Jeff Erickson,MJ Melendez,6478,NYM,C,21,act,"OF,SW,C",active
2023,al,Jeff Erickson,Christian Vazquez,4248,Hou,C,9,act,"C,SW",active
2023,al,Jeff Erickson,Jarred Kelenic,6602,CWS,UT,9,act,"OF,SW",active
2023,al,Jeff Erickson,Evan Carter,7676,Tex,SW,0,act,"OF,SW",active
2023,al,Jeff Erickson,Alec Marsh,7521,KC,P,0,act,P,active
2023,al,Jeff Erickson,Touki Toussaint,4904,LAA,P,23,act,P,active
2023,al,Jeff Erickson,Kenny Rosenberg,7557,FA,P,10,act,P,active
2023,al,Jeff Erickson,Grayson Rodriguez,6606,LAA,P,11,act,P,active
2023,al,Jeff Erickson,Bryan Shaw,3073,Sea,P,10,act,P,active
2023,al,Jeff Erickson,Justin Verlander,504,Det,P,768,act,P,active
2023,al,Jeff Erickson,Xzavion Curry,8127,Col,P,7,act,P,active
2023,al,Jeff Erickson,Martin Perez,2676,Atl,P,10,act,P,active
2023,al,Jeff Erickson,Dane Dunning,5973,Sea,P,17,act,P,active
2023,al,Jeff Erickson,Ryan O'Hearn,5940,Pit,CI,11,act,"1B,SW,OF,INF",active
2023,al,Jeff Erickson,Tim Anderson,4591,LAA,MI,23,act,"SS,SW,MI",active
2023,al,Jeff Erickson,Ramon Urias,6726,StL,3B,1,res,"3B,SW,2B,MI,INF,CI",reserved
2023,al,Jeff Erickson,Jordan Luplow,5227,Phi,OF,0,res,"OF,SW",reserved
2023,al,Jeff Erickson,C.J. Cron,3696,FA,UT,285,res,"1B,SW,CI",reserved
2023,al,Jeff Erickson,Osleivis Basabe,8328,SF,SW,1,res,SS,reserved
2023,al,Jeff Erickson,Jake Marisnick,3197,Atl,SW,1,dis,"OF,SW",reserved
2023,al,Jeff Erickson,Jack Flaherty,5103,Det,P,442,res,P,reserved
2023,al,Jeff Erickson,Freddy Tarnok,6962,Mia,P,1,dis,P,reserved
2023,al,Chris Blessing,Nate Lowe,6652,Cin,1B,22,act,"1B,SW,INF,CI",active
2023,al,Chris Blessing,Elvis Andrus,1543,FA,2B,11,act,"SW,MI,SS",active
2023,al,Chris Blessing,Jeremy Pena,7200,Hou,SS,16,act,"SS,SW,MI,INF",active
2023,al,Chris Blessing,Brandon Drury,4055,KC,3B,11,act,"2B,SW,3B,CI,MI,1B",active
2023,al,Chris Blessing,Will Brennan,8284,SF,OF,4,act,"OF,SW",active
2023,al,Chris Blessing,Dominic Canzone,8467,Sea,OF,59,act,"OF,SW",active
2023,al,Chris Blessing,Riley Greene,6953,Det,OF,16,act,"OF,SW",active
2023,al,Chris Blessing,Robbie Grossman,2699,KC,OF,17,act,"OF,SW",active
2023,al,Chris Blessing,Yainer Diaz,8277,Hou,C,0,act,"C,SW",active
2023,al,Chris Blessing,Shea Langeliers,6913,Oak,C,10,act,"C,SW",active
2023,al,Chris Blessing,Gavin Sheets,6582,SD,UT,3,act,"OF,SW,1B,INF",active
2023,al,Chris Blessing,Chas McCormick,7201,ChC,SW,4,act,"OF,SW",active
2023,al,Chris Blessing,George Kirby,7041,Sea,P,16,act,P,active
2023,al,Chris Blessing,Tyler Anderson,3678,FA,P,4,act,P,active
2023,al,Chris Blessing,Shane Bieber,6086,Tor,P,27,act,P,active
2023,al,Chris Blessing,Jesse Scholtens,6799,TB,P,23,act,P,active
