year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Lyle Overbay,1581,FA,1B,11,act,"1B,CI,SW",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Scott Sizemore,533,FA,2B,0,act,"3B,2B",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Elvis Andrus,1543,FA,SS,21,act,"UT,SS,SW,MI",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Adrian Beltre,1355,Tex,3B,21,act,"3B,SW,CI",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Vladimir Guerrero,747,FA,OF,17,act,OF,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Ben Revere,2085,FA,OF,0,act,"OF,SW",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,J.D. Drew,185,FA,OF,14,act,OF,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Vernon Wells,1590,FA,OF,15,act,"OF,SW",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Melvin Upton,1476,FA,OF,29,act,"OF,SW",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Lucas May,788,Mil,C,0,act,C,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,John Jaso,1461,FA,C,10,act,"UT,C,SW",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Felipe Lopez,1634,Mil,UT,0,act,"3B,SS,2B",active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Brian Matusz,2091,Ari,P,6,act,P,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Mitch Talbot,1459,Cle,P,0,act,P,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Colby Lewis,1813,FA,P,3,act,P,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Dallas Braden,1044,FA,P,3,act,P,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,Ricky Romero,2031,FA,P,6,act,P,active
2010,al,Jason Grey have 0 active players at INF but the Minimum is 1,C.J. Wilson,1513,FA,P,3,act,P,active
