year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2024,mixed,Todd Zola,Paul Goldschmidt,3159,NYY,1B,26,act,"1B,CI",active
2024,mixed,Todd Zola,Willi Castro,6289,Col,2B,7,act,"OF,CI,3B,MI,2B",active
2024,mixed,Todd Zola,Xavier Edwards,6668,Mia,SS,37,act,"2B,MI",active
2024,mixed,Todd Zola,Matt Vierling,7774,Det,3B,2,act,"OF,CI,3B",active
2024,mixed,Todd Zola,Taylor Ward,5398,Bal,OF,10,act,OF,active
2024,mixed,Todd Zola,Teoscar Hernandez,4844,LAD,OF,9,act,OF,active
2024,mixed,Todd Zola,Brandon Nimmo,3778,Tex,OF,12,act,OF,active
2024,mixed,Todd Zola,Seth Brown,7100,NYY,OF,37,act,"OF,CI,1B",active
2024,mixed,Todd Zola,Wilyer Abreu,8303,Bos,OF,73,act,OF,active
2024,mixed,Todd Zola,Keibert Ruiz,6179,Was,C,6,act,C,active
2024,mixed,Todd Zola,Bo Naylor,6848,Cle,C,9,act,C,active
2024,mixed,Todd Zola,Jordan Beck,8555,Col,UT,23,act,OF,active
2024,mixed,Todd Zola,Jake Burger,6156,Tex,CI,7,act,"1B,CI,3B",active
2024,mixed,Todd Zola,Dansby Swanson,5276,ChC,MI,12,act,"SS,MI",active
2024,mixed,Todd Zola,Kenley Jansen,2963,Det,P,8,act,P,active
2024,mixed,Todd Zola,Brant Hurter,8648,Det,P,23,act,P,active
2024,mixed,Todd Zola,Mitch Keller,5144,Pit,P,8,act,P,active
2024,mixed,Todd Zola,Valente Bellozo,9107,Col,P,13,act,P,active
2024,mixed,Todd Zola,Logan Webb,6725,SF,P,23,act,P,active
2024,mixed,Todd Zola,Joey Cantillo,7414,Cle,P,18,act,P,active
2024,mixed,Todd Zola,Spencer Arrighetti,8577,Hou,P,7,act,P,active
2024,mixed,Todd Zola,David Peterson,6196,NYM,P,47,act,P,active
2024,mixed,Todd Zola,Matthew Boyd,5373,ChC,P,57,act,P,active
2024,mixed,Todd Zola,Matt McLain,6615,Cin,2B,22,dis,"2B,MI,SS",reserved
2024,mixed,Todd Zola,Corey Seager,4154,Tex,SS,28,dis,"SS,MI",reserved
2024,mixed,Todd Zola,Evan Carter,7676,Tex,OF,19,dis,OF,reserved
2024,mixed,Todd Zola,LaMonte Wade,5773,CWS,OF,0,res,"1B,CI,OF",reserved
2024,mixed,Todd Zola,Jose Miranda,6559,SD,UT,47,res,"3B,CI",reserved
2024,mixed,Todd Zola,Kris Bryant,4434,Col,UT,3,dis,OF,reserved
2024,mixed,Todd Zola,Caden Dana,8908,LAA,P,27,res,P,reserved
2024,mixed,Todd Zola,Sonny Gray,3633,Bos,P,6,dis,P,reserved
2024,mixed,Todd Zola,Hunter Harvey,4796,ChC,P,1,dis,P,reserved
2024,mixed,Todd Zola,Robert Gasser,8155,Mil,P,113,dis,P,reserved
2024,mixed,Todd Zola,John Schreiber,7093,KC,P,13,res,P,reserved
2024,mixed,Todd Zola,Hector Neris,5009,FA,P,0,res,P,reserved
2024,mixed,Todd Zola,Drew Thorpe,8699,CWS,P,33,dis,P,reserved
2024,mixed,Todd Zola,Julian Aguiar,8799,Cin,P,13,res,P,reserved
2024,mixed,Bret Sayre,Peter Alonso,6132,Bal,1B,32,act,"1B,CI",active
2024,mixed,Bret Sayre,Brandon Lowe,6565,Pit,2B,4,act,"2B,MI",active
2024,mixed,Bret Sayre,Jose Caballero,6982,NYY,SS,2,act,"SS,MI,2B",active
2024,mixed,Bret Sayre,Justin Turner,2415,FA,3B,51,act,"1B,CI",active
2024,mixed,Bret Sayre,Joc Pederson,4090,Tex,OF,1,act,"UT,OF",active
2024,mixed,Bret Sayre,Fernando Tatis Jr.,5793,SD,OF,45,act,OF,active
2024,mixed,Bret Sayre,Mike Yastrzemski,5314,Atl,OF,2,act,OF,active
2024,mixed,Bret Sayre,Aaron Judge,4601,NYY,OF,40,act,OF,active
2024,mixed,Bret Sayre,Trevor Larnach,6611,Min,OF,68,act,OF,active
2024,mixed,Bret Sayre,Tyler Soderstrom,7377,Oak,C,45,act,"OF,C",active
2024,mixed,Bret Sayre,Cal Raleigh,6814,Sea,C,14,act,C,active
2024,mixed,Bret Sayre,Shohei Ohtani-Hitter,6322,LAD,UT,46,act,UT,active
2024,mixed,Bret Sayre,Spencer Torkelson,7073,Det,CI,103,act,"1B,CI",active
2024,mixed,Bret Sayre,Dylan Moore,6696,Phi,MI,66,act,"2B,MI,OF",active
2024,mixed,Bret Sayre,Gerrit Cole,2660,NYY,P,12,act,P,active
2024,mixed,Bret Sayre,Yoshinobu Yamamoto,8132,LAD,P,29,act,P,active
2024,mixed,Bret Sayre,Frankie Montas,4524,NYM,P,74,act,P,active
2024,mixed,Bret Sayre,Seth Lugo,5417,KC,P,2,act,P,active
2024,mixed,Bret Sayre,Andrew Heaney,4146,FA,P,1,act,P,active
2024,mixed,Bret Sayre,Colin Rea,5428,ChC,P,0,act,P,active
2024,mixed,Bret Sayre,Kyle Finnegan,6364,Det,P,2,act,P,active
2024,mixed,Bret Sayre,Charlie Morton,61,FA,P,2,act,P,active
2024,mixed,Bret Sayre,Ranger Suarez,6308,Bos,P,0,act,P,active
2024,mixed,Bret Sayre,Coby Mayo,7723,Bal,3B,104,res,"1B,3B,CI",reserved
2024,mixed,Bret Sayre,Yoan Moncada,5023,LAA,3B,1,res,"3B,CI",reserved
2024,mixed,Bret Sayre,Oswaldo Cabrera,7893,NYY,OF,78,res,"3B,OF,CI",reserved
2024,mixed,Bret Sayre,Randal Grichuk,2843,NYY,OF,16,res,OF,reserved
2024,mixed,Bret Sayre,Willson Contreras,5435,Bos,C,15,dis,"1B,C,CI",reserved
2024,mixed,Bret Sayre,Alex Kirilloff,5827,Min,CI,33,dis,"OF,CI,1B",reserved
2024,mixed,Bret Sayre,Jeff McNeil,6617,Oak,MI,1,dis,"2B,MI,OF",reserved
2024,mixed,Bret Sayre,Austin Gomber,5593,Tex,P,12,res,P,reserved
2024,mixed,Bret Sayre,Evan Phillips,6597,LAD,P,16,res,P,reserved
2024,mixed,Frank Stampfl,Bryce Harper,2628,Phi,1B,42,act,"1B,CI",active
2024,mixed,Frank Stampfl,Bryson Stott,6943,Phi,2B,9,act,"2B,MI",active
2024,mixed,Frank Stampfl,Trea Turner,4555,Phi,SS,34,act,"SS,MI",active
2024,mixed,Frank Stampfl,Eugenio Suarez,4330,Cin,3B,12,act,"3B,CI",active
2024,mixed,Frank Stampfl,Jackson Merrill,8147,SD,OF,0,act,OF,active
2024,mixed,Frank Stampfl,Josh Lowe,6072,LAA,OF,11,act,OF,active
2024,mixed,Frank Stampfl,Brandon Marsh,6077,Phi,OF,2,act,OF,active
2024,mixed,Frank Stampfl,Seiya Suzuki,6324,ChC,OF,15,act,OF,active
2024,mixed,Frank Stampfl,Jonny DeLuca,8312,TB,OF,26,act,OF,active
2024,mixed,Frank Stampfl,Jonah Heim,5632,Atl,C,9,act,C,active
2024,mixed,Frank Stampfl,Adrian Del Castillo,7689,Ari,C,34,act,C,active
2024,mixed,Frank Stampfl,Carlos Santana,2181,Ari,UT,2,act,"1B,CI",active
2024,mixed,Frank Stampfl,Junior Caminero,8518,TB,CI,1,act,"3B,CI",active
2024,mixed,Frank Stampfl,Brendan Rodgers,5254,Bos,MI,43,act,"2B,MI",active
2024,mixed,Frank Stampfl,Michael Wacha,4080,KC,P,57,act,P,active
2024,mixed,Frank Stampfl,Zac Gallen,6448,Ari,P,24,act,P,active
