year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Travis Ishikawa,1306,SF,1B,0,act,"1B,SW,CI",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Chris Valaika,2363,ChC,2B,10,act,"UT,2B",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Alcides Escobar,850,FA,SS,16,act,"SS,OF,MI,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,David Wright,953,FA,3B,34,act,"3B,SW,CI",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Jay Gibbons,132,Mil,OF,5,act,OF,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Seth Smith,465,FA,OF,7,act,"OF,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Carlos Gonzalez,1077,FA,OF,23,act,"OF,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Scott Podsednik,485,FA,OF,52,act,"OF,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Cameron Maybin,573,FA,OF,18,act,"OF,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Yadier Molina,1404,StL,C,11,act,"C,SW,1B",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Carlos Ruiz,1123,FA,C,8,act,"C,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Nate McLouth,1193,Was,UT,23,act,"OF,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Mike Adams,1684,LAD,P,4,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Jeremy Affeldt,311,SF,P,0,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Ubaldo Jimenez,438,Col,P,17,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Huston Street,1060,FA,P,9,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Aaron Heilman,927,Tex,P,0,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Cory Luebke,3127,CWS,P,10,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Sean Burnett,1200,NYM,P,4,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Heath Bell,1223,FA,P,18,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Rafael Betancourt,373,FA,P,2,act,P,active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Placido Polanco,513,Mia,CI,16,act,"3B,CI,2B,SW",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Brendan Ryan,1412,Det,MI,9,act,"SS,SW,MI",active
2010,nl,Tristan Cockcroft have 5 active players at OF but the Maximum is 4,Fernando Tatis,974,NYM,1B,2,dis,1B,reserved
