year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2018,nl,Steve Gardner,Eduardo Escobar,3138,Ari,MI,707,act,active,"3B,SS,MI,CI,SW",194,0,53,28,8,21,1,35,17,0.321,0.438,0,0,0,1,131,21,0
2018,nl,Steve Gardner,Freddie Freeman,2466,Atl,1B,35,act,active,"1B,CI,3B,SW",618,0,162,94,23,98,10,132,76,0.388,0.505,0,0,161,0,0,0,0
2018,nl,Steve Gardner,Colin Moran,4435,Pit,CI,6,act,active,"1B,3B,CI,SW",415,0,144,49,11,58,0,82,39,0.34,0.407,3,0,0,0,116,0,0
2018,nl,Steve Gardner,Scooter Gennett,3277,Cin,2B,10,act,active,"2B,MI,OF,SW",584,0,154,86,23,92,4,125,42,0.357,0.49,3,0,0,142,0,0,0
2018,nl,Steve Gardner,Paul DeJong,5714,StL,SS,18,act,active,"UT,SS,MI,2B,SW",436,0,115,68,19,68,1,123,36,0.313,0.433,0,0,0,0,0,114,0
2018,nl,Steve Gardner,Brian Anderson,5326,Mia,3B,7,act,active,"OF,3B,SW,CI",590,0,156,87,11,65,2,129,62,0.357,0.4,0,0,0,0,71,0,91
2018,nl,Steve Gardner,Hunter Renfroe,4558,SD,OF,3,act,active,"OF,SW",395,0,114,52,26,65,2,107,28,0.295,0.501,2,0,0,0,0,0,103
2018,nl,Steve Gardner,Enrique Hernandez,4992,LAD,OF,0,act,active,"1B,OF,SS,3B,MI,SW,2B",402,0,145,67,21,52,3,78,50,0.336,0.47,0,0,8,41,9,22,87
2018,nl,Steve Gardner,Christian Yelich,3314,Mil,OF,30,act,active,"OF,SW",574,0,147,118,36,110,22,135,68,0.402,0.598,0,0,0,0,0,0,145
2018,nl,Steve Gardner,Charlie Blackmon,2620,Col,OF,32,act,active,"OF,SW",626,0,156,119,29,70,12,134,59,0.358,0.502,1,0,0,0,0,0,151
2018,nl,Steve Gardner,Chris Iannetta,451,Col,C,8,act,active,"C,SW",299,0,110,36,11,36,0,87,50,0.345,0.385,1,99,0,0,0,0,0
2018,nl,Steve Gardner,Alex Avila,2369,Ari,C,0,act,active,"C,1B,SW,CI",17,0,6,1,1,1,0,7,2,0.263,0.353,0,61,3,0,0,0,0
