year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,g,r,hr,rbi,sb,so,bb,avg,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2021,nl,Fred Zinkie,Max Muncy,4851,LAD,1B,25,act,active,"3B,2B,1B,SW,CI,MI",497,144,95,36,94,2,120,83,0.368,0.429,0.527,1,0,122,39,7,0,0
2021,nl,Fred Zinkie,Francisco Lindor,3668,NYM,MI,33,act,active,"SS,SW,MI",452,126,73,20,63,10,96,58,0.322,0.333,0.412,0,0,0,0,0,125,0
2021,nl,Fred Zinkie,Frank Schwindel,6357,ChC,CI,150,act,active,1B,200,49,40,12,35,2,33,15,0.389,0.321,0.62,8,0,52,0,0,0,0
2021,nl,Fred Zinkie,Freddy Galvis,3005,FA,2B,150,act,active,"SS,3B,MI,SW,2B",107,32,17,5,14,0,19,9,0.292,0.25,0.393,0,0,1,2,19,82,0
2021,nl,Fred Zinkie,Brandon Crawford,3051,SF,SS,4,act,active,"SS,MI,SW",483,138,79,24,90,11,105,56,0.373,0.32,0.522,0,0,0,0,0,135,0
2021,nl,Fred Zinkie,Evan Longoria,1489,SF,3B,7,act,active,"3B,SW,CI",174,52,31,9,34,1,45,21,0.338,0.095,0.483,0,0,0,0,78,0,0
2021,nl,Fred Zinkie,Mike Yastrzemski,5314,SF,OF,20,act,active,"OF,SW",389,117,64,21,65,3,102,41,0.312,0.421,0.455,0,0,0,0,0,0,127
2021,nl,Fred Zinkie,Tommy Edman,6447,StL,OF,18,act,active,"2B,OF,MI,3B,CI,SW,SS",641,159,91,11,56,30,95,38,0.308,0.278,0.387,0,0,0,130,0,4,41
2021,nl,Fred Zinkie,Adam Duvall,4413,Atl,OF,5,act,active,"OF,SW",513,146,67,38,113,5,174,35,0.281,0.133,0.491,0,0,0,0,0,0,137
2021,nl,Fred Zinkie,Fernando Tatis Jr.,5793,SD,OF,38,act,active,"OF,SS,MI,SW",463,127,94,38,90,24,151,62,0.358,0.238,0.579,1,0,0,0,0,102,24
2021,nl,Fred Zinkie,Omar Narvaez,5605,Mil,C,3,act,active,"C,SW",388,122,54,11,49,0,83,40,0.342,0.125,0.405,1,111,0,1,0,0,0
2021,nl,Fred Zinkie,Keibert Ruiz,6179,Was,C,60,act,active,"C,SW",67,19,7,2,13,0,4,6,0.324,0.353,0.373,0,23,0,0,0,0,0
2021,nl,Fred Zinkie,David Bote,6286,ChC,UT,3,act,active,"3B,2B,SW,MI,CI",275,92,30,8,34,0,70,26,0.278,0.333,0.327,3,0,0,61,24,0,0
2021,nl,Fred Zinkie,Andrew Romine,2457,ChC,MI,25,rel,previously_active,,18,6,0,0,0,0,8,1,0.158,0.0,0.111,0,0,0,2,0,16,0
2021,nl,Fred Zinkie,Keston Hiura,6100,Mil,MI,20,trd,previously_active,,79,26,8,1,5,1,32,6,0.247,0.0,0.266,0,0,49,7,0,0,1
2021,nl,Fred Zinkie,Andy Burns,4863,LAD,CI,11,rel,previously_active,,7,7,2,0,0,0,1,2,0.5,0.0,0.429,0,0,2,3,2,0,0
2021,nl,Fred Zinkie,Garrett Cooper,6182,Mia,CI,3,rel,previously_active,,211,69,26,8,31,1,67,28,0.369,0.0,0.436,2,0,19,0,0,0,41
2021,nl,Fred Zinkie,Ozzie Albies,5099,Atl,2B,27,trd,previously_active,,349,90,55,15,63,13,70,30,0.322,0.0,0.496,0,0,0,156,0,0,0
2021,nl,Fred Zinkie,Jason Vosler,6402,SF,3B,0,rel,previously_active,,4,2,2,0,1,0,0,1,0.4,0.0,0.5,1,0,3,3,19,0,3
2021,nl,Fred Zinkie,Wilmer Difo,5044,FA,3B,10,res,previously_active,"SS,2B,SW,MI,OF,3B",8,5,2,0,1,0,2,2,0.4,0.0,0.25,0,0,0,28,18,4,12
2021,nl,Fred Zinkie,Austin Slater,6014,SF,OF,2,res,previously_active,"OF,SW",256,118,34,10,28,13,84,28,0.312,0.0,0.395,1,0,0,0,0,0,118
2021,nl,Fred Zinkie,Jake Marisnick,3197,SD,OF,0,rel,previously_active,,9,6,1,0,0,1,4,2,0.364,0.0,0.222,0,0,0,0,0,0,72
2021,nl,Fred Zinkie,Odubel Herrera,5084,Phi,OF,2,trd,previously_active,,5,2,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,120
2021,nl,Fred Zinkie,Hoy Jun Park,7643,Pit,OF,70,rel,previously_active,,56,17,3,1,5,0,16,4,0.25,0.0,0.304,0,0,0,16,9,8,10
2021,nl,Fred Zinkie,Zach McKinstry,7128,LAD,OF,112,rel,previously_active,,123,47,14,5,19,1,42,8,0.256,0.0,0.366,0,0,0,20,12,0,36
2021,nl,Fred Zinkie,Alex Avila,2369,FA,C,1,rel,previously_active,,66,24,4,0,6,0,30,17,0.345,0.0,0.288,0,27,0,1,0,0,0
2021,nl,Fred Zinkie,Riley Adams,7290,Was,C,22,res,previously_active,C,33,16,3,0,3,0,14,7,0.405,0.0,0.394,0,34,0,0,0,0,0
2021,nl,Fred Zinkie,Michael Perez,4511,Pit,C,0,rel,previously_active,,21,7,2,1,2,0,5,2,0.174,0.0,0.238,0,58,1,0,0,0,0
2021,nl,Fred Zinkie,Dom Nunez,5287,Col,C,5,rel,previously_active,,6,2,2,1,1,0,0,2,0.5,0.0,1.17,0,77,1,0,0,0,0
2021,nl,Fred Zinkie,Matt Joyce,2074,FA,SW,5,rel,previously_active,,1,2,0,0,0,0,0,0,1.0,0.0,2.0,0,0,0,0,0,0,17
2021,nl,Fred Zinkie,Andrew Knapp,5228,Cin,SW,0,rel,previously_active,,26,11,3,0,4,0,9,2,0.25,0.0,0.192,0,47,6,1,0,0,0
2021,nl,Fred Zinkie,Wilmer Difo,5044,FA,3B,10,res,reserved,"SS,2B,SW,MI,OF,3B",68,39,8,1,8,1,12,5,0.342,0.375,0.368,0,0,0,28,18,4,12
2021,nl,Fred Zinkie,Austin Slater,6014,SF,OF,2,res,reserved,"OF,SW",18,11,5,2,4,2,0,0,0.444,0.667,0.833,1,0,0,0,0,0,118
2021,nl,Fred Zinkie,Riley Adams,7290,Was,C,22,res,reserved,C,5,5,0,0,0,0,4,4,0.5,0.4,0.0,0,34,0,0,0,0,0
2021,nl,Fred Zinkie,Keston Hiura,6100,Mil,MI,20,trd,previously_reserved,,42,15,4,2,5,0,21,3,0.196,0.0,0.333,0,0,49,7,0,0,1
2021,nl,Fred Zinkie,Garrett Cooper,6182,Mia,CI,3,rel,previously_reserved,,4,2,4,1,2,0,1,2,0.833,0.0,2.0,2,0,19,0,0,0,41
2021,nl,Fred Zinkie,Evan Longoria,1489,SF,3B,7,act,previously_reserved,"3B,SW,CI",10,5,1,0,0,0,3,1,0.273,0.0,0.2,0,0,0,0,78,0,0
2021,nl,Fred Zinkie,Odubel Herrera,5084,Phi,OF,2,trd,previously_reserved,,14,5,0,0,0,0,3,1,0.133,0.0,0.071,0,0,0,0,0,0,120
2021,nl,Fred Zinkie,Jake Marisnick,3197,SD,OF,0,rel,previously_reserved,,4,2,1,0,1,0,3,0,0.25,0.0,0.25,0,0,0,0,0,0,72
2021,nl,Fred Zinkie,Fernando Tatis Jr.,5793,SD,OF,38,act,previously_reserved,"OF,SS,MI,SW",15,3,5,4,7,1,2,0,0.6,0.0,1.6,1,0,0,0,0,102,24
2021,nl,Fred Zinkie,Zach McKinstry,7128,LAD,OF,112,rel,previously_reserved,,6,3,0,0,0,0,3,0,0.0,0.0,0.0,0,0,0,20,12,0,36
2021,nl,Fred Zinkie,Alex Avila,2369,FA,C,1,rel,previously_reserved,,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,27,0,1,0,0,0
2021,nl,Fred Zinkie,Omar Narvaez,5605,Mil,C,3,act,previously_reserved,"C,SW",3,1,0,0,0,0,1,1,0.25,0.0,0.0,1,111,0,1,0,0,0
2021,nl,Fred Zinkie,Keibert Ruiz,6179,Was,C,60,act,previously_reserved,"C,SW",14,4,2,0,1,0,0,0,0.467,0.0,0.5,0,23,0,0,0,0,0
2021,nl,Fred Zinkie,David Bote,6286,ChC,UT,3,act,previously_reserved,"3B,2B,SW,MI,CI",16,5,2,0,1,0,3,1,0.235,0.0,0.375,3,0,0,61,24,0,0
2021,nl,Fred Zinkie,Matt Joyce,2074,FA,SW,5,rel,previously_reserved,,2,2,0,0,0,0,0,2,0.5,0.0,0.0,0,0,0,0,0,0,17
2021,nl,Lenny Melnick,Austin Riley,5688,Atl,CI,17,act,active,"3B,SW,CI,1B",590,160,91,33,107,0,168,52,0.367,0.318,0.531,0,0,10,0,156,0,1
2021,nl,Lenny Melnick,Josh Bell,3669,Was,1B,22,act,active,"1B,CI,OF,SW",478,138,71,27,86,0,94,62,0.353,0.542,0.49,5,0,119,0,0,0,10
2021,nl,Lenny Melnick,Garrett Hampson,6277,Col,MI,17,act,active,"OF,2B,SS,SW,MI",453,147,69,11,33,17,118,33,0.289,0.071,0.38,0,0,0,47,2,5,91
2021,nl,Lenny Melnick,Jonathan Villar,3345,FA,2B,10,act,active,"2B,SS,MI,3B,SW",454,142,63,18,42,14,132,46,0.322,0.304,0.416,0,0,0,9,97,26,0
2021,nl,Lenny Melnick,Javier Baez,3804,Det,SS,20,act,active,"SS,MI,2B,SW",502,138,80,31,87,18,184,28,0.319,0.3,0.494,0,0,0,35,0,100,0
2021,nl,Lenny Melnick,Manny Machado,3216,SD,3B,30,act,active,"3B,SW,CI",564,153,92,28,106,12,102,63,0.347,0.286,0.489,3,0,0,0,144,0,0
2021,nl,Lenny Melnick,Odubel Herrera,5084,Phi,OF,2,act,active,OF,431,117,59,13,51,6,73,28,0.319,0.261,0.432,0,0,0,0,0,0,120
2021,nl,Lenny Melnick,LaMonte Wade,5773,SF,OF,21,act,active,"1B,OF,SW",293,92,44,14,49,5,75,26,0.316,0.167,0.468,0,0,31,0,0,0,80
2021,nl,Lenny Melnick,Michael Conforto,4911,FA,OF,25,act,active,"OF,SW",406,126,52,14,55,1,104,59,0.344,0.455,0.384,1,0,0,0,0,0,118
2021,nl,Lenny Melnick,Magneuris Sierra,5233,LAA,OF,12,act,active,"OF,SW",65,39,6,0,1,5,16,5,0.243,0.231,0.215,0,0,0,0,0,0,77
2021,nl,Lenny Melnick,Tyler Stephenson,5388,Cin,C,4,act,active,"C,SW,1B",296,111,52,9,41,0,62,35,0.372,0.333,0.446,0,78,23,0,0,0,1
2021,nl,Lenny Melnick,Victor Caratini,4876,SD,C,11,act,active,"C,SW,1B",37,12,6,1,6,0,9,4,0.39,0.4,0.432,0,101,5,0,2,0,0
2021,nl,Lenny Melnick,Lewis Brinson,4446,FA,UT,7,act,active,"OF,SW",192,55,19,6,25,1,45,11,0.26,0.222,0.359,0,0,0,0,0,0,79
2021,nl,Lenny Melnick,Nicholas Castellanos,3217,FA,SW,24,act,active,"OF,SW",515,134,92,33,98,3,113,39,0.365,0.316,0.581,1,0,0,0,0,0,135
2021,nl,Lenny Melnick,Mike Yastrzemski,5314,SF,OF,20,trd,previously_active,,79,22,11,4,6,1,29,10,0.303,0.0,0.468,0,0,0,0,0,0,127
2021,nl,Lenny Melnick,Andrew Stevenson,5723,Was,OF,1,res,previously_active,"OF,SW",132,72,16,3,13,0,43,7,0.261,0.0,0.303,0,0,0,0,0,0,62
2021,nl,Lenny Melnick,Ender Inciarte,4264,NYY,OF,2,rel,previously_active,,61,45,8,2,7,1,19,5,0.239,0.0,0.311,0,0,0,0,0,0,40
2021,nl,Lenny Melnick,Stephen Vogt,3569,FA,C,1,dis,previously_active,"C,SW",210,78,24,7,25,0,56,26,0.283,0.0,0.333,0,63,2,0,0,0,0
2021,nl,Lenny Melnick,Dom Nunez,5287,Col,C,0,rel,previously_active,,84,31,11,1,11,0,39,15,0.25,0.0,0.238,0,77,1,0,0,0,0
2021,nl,Lenny Melnick,Josh VanMeter,5912,Ari,UT,0,rel,previously_active,,32,18,3,1,5,0,13,5,0.282,0.0,0.312,0,0,1,52,25,0,2
2021,nl,Lenny Melnick,Nick Maton,7179,Phi,SW,35,rel,previously_active,,69,29,11,2,8,2,24,5,0.267,0.0,0.348,0,0,0,21,0,20,0
2021,nl,Lenny Melnick,Matt Carpenter,3510,FA,SW,1,rel,previously_active,,89,54,8,3,13,0,36,15,0.287,0.0,0.292,2,0,14,34,6,0,0
2021,nl,Lenny Melnick,Andrew Stevenson,5723,Was,OF,1,res,reserved,"OF,SW",61,37,6,2,10,1,19,6,0.357,0.4,0.41,0,0,0,0,0,0,62
2021,nl,Lenny Melnick,Stephen Vogt,3569,FA,C,1,dis,reserved,"C,SW",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,63,2,0,0,0,0
2021,nl,Lenny Melnick,Josh Bell,3669,Was,1B,22,act,previously_reserved,"1B,CI,OF,SW",20,6,4,0,2,0,7,3,0.208,0.0,0.15,5,0,119,0,0,0,10
2021,nl,Lenny Melnick,Ender Inciarte,4264,NYY,OF,2,rel,previously_reserved,,18,7,3,0,3,0,3,2,0.4,0.0,0.333,0,0,0,0,0,0,40
2021,nl,Lenny Melnick,Magneuris Sierra,5233,LAA,OF,12,act,previously_reserved,"OF,SW",13,5,2,0,3,1,6,0,0.385,0.0,0.462,0,0,0,0,0,0,77
2021,nl,Lenny Melnick,LaMonte Wade,5773,SF,OF,21,act,previously_reserved,"1B,OF,SW",6,3,2,1,2,0,1,1,0.429,0.0,0.833,0,0,31,0,0,0,80
2021,nl,Lenny Melnick,Tyler Stephenson,5388,Cin,C,4,act,previously_reserved,"C,SW,1B",54,21,4,1,4,0,13,6,0.328,0.0,0.352,0,78,23,0,0,0,1
2021,nl,Lenny Melnick,Dom Nunez,5287,Col,C,0,rel,previously_reserved,,74,25,10,4,13,0,29,9,0.313,0.0,0.486,0,77,1,0,0,0,0
2021,nl,Lenny Melnick,Josh VanMeter,5912,Ari,UT,0,rel,previously_reserved,,37,19,7,0,2,0,10,6,0.279,0.0,0.216,0,0,1,52,25,0,2
2021,nl,Lenny Melnick,Matt Carpenter,3510,FA,SW,1,rel,previously_reserved,,71,40,7,0,8,2,25,11,0.388,0.0,0.366,2,0,14,34,6,0,0
2021,nl,Lenny Melnick,Nick Maton,7179,Phi,SW,35,rel,previously_reserved,,14,8,0,0,1,0,6,0,0.143,0.0,0.214,0,0,0,21,0,20,0
2021,nl,Lenny Melnick,Nicholas Castellanos,3217,FA,SW,24,act,previously_reserved,"OF,SW",16,4,3,1,2,0,8,2,0.278,0.0,0.437,1,0,0,0,0,0,135
2021,nl,Phil Hertz,Peter Alonso,6132,NYM,1B,27,act,active,"1B,CI,SW",561,153,81,37,94,3,127,60,0.344,0.414,0.519,3,0,149,0,0,0,0
2021,nl,Phil Hertz,Tommy La Stella,4099,SF,MI,12,act,active,"3B,2B,SW,CI,1B,MI",204,71,24,7,26,0,25,16,0.311,0.25,0.422,2,0,0,54,5,0,0
2021,nl,Phil Hertz,Ryan Zimmerman,1638,FA,CI,6,act,active,1B,166,76,13,7,23,0,49,10,0.264,0.417,0.41,3,0,54,0,0,0,0
2021,nl,Phil Hertz,Jeff McNeil,6617,NYM,2B,22,act,active,"2B,OF,SW,3B,MI,CI",386,121,48,7,35,3,58,29,0.317,0.333,0.358,2,0,0,80,2,0,28
2021,nl,Phil Hertz,Chris Taylor,4604,LAD,SS,18,act,active,"OF,SS,2B,SW,3B,MI",507,148,92,20,73,13,167,63,0.344,0.429,0.438,0,0,0,46,11,23,89
2021,nl,Phil Hertz,Justin Turner,2415,LAD,3B,17,act,active,"3B,SW,CI",533,151,87,27,87,3,98,61,0.361,0.45,0.471,4,0,0,0,143,0,0
2021,nl,Phil Hertz,David Peralta,4980,Ari,OF,11,act,active,"OF,SW",487,150,57,8,63,2,92,46,0.325,0.357,0.402,1,0,0,0,0,0,137
2021,nl,Phil Hertz,Lorenzo Cain,2002,Mil,OF,138,act,active,"OF,SW",116,37,18,5,19,6,21,11,0.323,0.25,0.457,0,0,0,0,0,0,70
2021,nl,Phil Hertz,Lane Thomas,6727,Was,OF,77,act,active,"OF,SW",163,39,29,7,25,3,45,22,0.328,0.276,0.454,0,0,0,2,0,0,63
2021,nl,Phil Hertz,Starling Marte,2908,NYM,OF,26,act,active,"OF,SW",467,120,89,12,55,47,99,43,0.381,0.286,0.456,0,0,0,0,0,0,119
2021,nl,Phil Hertz,Buster Posey,2187,SF,C,8,act,active,C,395,113,68,18,56,0,87,56,0.39,0.478,0.499,1,106,0,0,0,0,0
