year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2020,mixed,Derek VanRiper,Luke Voit,6139,NYY,1B,7,act,active,"1B,CI",213,59,56,41,22,52,0,54,17,0.338,0.61,8,0,48,0,0,0,0
2020,mixed,Derek VanRiper,Keston Hiura,6100,Mil,2B,23,act,active,"UT,2B,MI",217,46,59,30,13,32,3,85,16,0.297,0.41,10,0,0,49,0,0,0
2020,mixed,Derek VanRiper,Trea Turner,4555,Was,SS,41,act,active,"SS,MI",233,78,59,46,12,41,12,36,22,0.394,0.588,0,0,0,0,0,59,0
2020,mixed,Derek VanRiper,Brad Miller,4310,StL,3B,69,act,active,"UT,3B,CI,OF",116,25,38,17,5,15,0,39,18,0.331,0.414,32,0,0,1,15,2,0
2020,mixed,Derek VanRiper,A.J. Pollock,2837,LAD,OF,0,act,active,OF,118,31,33,20,11,23,2,25,8,0.305,0.585,11,0,0,0,0,0,42
2020,mixed,Derek VanRiper,Kyle Tucker,5384,Hou,OF,3,act,active,OF,117,34,34,12,6,25,5,20,14,0.366,0.538,10,0,0,0,0,0,47
2020,mixed,Derek VanRiper,Avisail Garcia,3485,Mil,OF,4,act,active,OF,136,29,40,14,2,11,0,40,15,0.31,0.301,3,0,0,0,0,0,49
2020,mixed,Derek VanRiper,Byron Buxton,4014,Min,OF,9,act,active,OF,106,28,30,18,13,24,2,28,2,0.279,0.66,0,0,0,0,0,0,39
2020,mixed,Derek VanRiper,Andrew McCutchen,1222,Phi,OF,5,act,active,OF,217,55,57,32,10,34,4,48,22,0.324,0.433,16,0,0,0,0,0,39
2020,mixed,Derek VanRiper,Daulton Varsho,6326,Ari,C,20,act,active,"OF,C",76,15,25,13,2,6,2,24,9,0.299,0.395,5,10,0,0,0,0,19
2020,mixed,Derek VanRiper,James McCann,3906,CWS,C,33,act,active,C,62,16,21,15,4,10,1,20,6,0.333,0.5,0,30,0,0,0,0,0
2020,mixed,Derek VanRiper,Nelson Cruz,1529,Min,UT,26,act,active,UT,185,56,53,33,16,33,0,58,25,0.397,0.595,52,0,0,0,0,0,0
2020,mixed,Derek VanRiper,Jedd Gyorko,3700,Mil,CI,30,act,active,"3B,1B,CI",25,4,8,3,1,1,0,10,2,0.25,0.32,1,0,30,0,11,0,0
2020,mixed,Derek VanRiper,Corey Seager,4154,LAD,MI,7,act,active,"SS,MI",194,62,48,35,13,35,1,34,16,0.371,0.593,9,0,0,0,0,43,0
2020,mixed,Derek VanRiper,*Nolan Arenado,3214,Col,3B,41,res,previously_active,"3B,CI",182,46,48,23,8,26,0,20,15,0.303,0.434,0,0,0,0,48,0,0
2020,mixed,Derek VanRiper,Kyle Seager,3774,Sea,3B,1,res,previously_active,"3B,CI",177,41,53,30,7,33,5,29,30,0.355,0.407,6,0,0,0,53,0,0
2020,mixed,Derek VanRiper,Ketel Marte,4847,Ari,OF,19,dis,previously_active,"2B,MI,OF",162,47,40,17,2,14,1,19,5,0.324,0.407,1,0,0,41,0,2,3
2020,mixed,Derek VanRiper,Ender Inciarte,4264,Atl,OF,0,rel,previously_active,,54,10,20,8,0,4,3,7,6,0.267,0.222,0,0,0,0,0,0,46
2020,mixed,Derek VanRiper,Chance Sisco,5118,Bal,C,22,rel,previously_active,,26,4,9,1,0,0,0,9,5,0.312,0.231,9,26,0,0,0,0,0
2020,mixed,Derek VanRiper,Tyler Heineman,4756,SF,C,11,rel,previously_active,,28,3,9,1,0,1,0,5,2,0.194,0.143,0,15,0,0,0,0,0
2020,mixed,Derek VanRiper,Mike Zunino,4012,TB,C,1,rel,previously_active,,23,2,9,2,1,1,0,8,3,0.222,0.217,0,28,0,0,0,0,0
2020,mixed,Derek VanRiper,*Nolan Arenado,3214,Col,3B,41,res,reserved,"3B,CI",0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,48,0,0
2020,mixed,Derek VanRiper,Kyle Seager,3774,Sea,3B,1,res,reserved,"3B,CI",26,8,7,5,2,7,0,4,2,0.357,0.615,6,0,0,0,53,0,0
