year,league,team,player_name,player_id,mlb_team,position,salary,status,roster_section,eligibility,ab,h,g,r,hr,rbi,sb,so,bb,obp,slg,gp_dh,gp_c,gp_1b,gp_2b,gp_3b,gp_ss,gp_of
2025,nl,Tristan Cockcroft,Luis Arraez,6138,SF,1B,15,act,active,"1B,2B,SW,INF",620,0,154,66,8,61,11,21,34,0.327,0.392,29,0,117,14,0,0,0
2025,nl,Tristan Cockcroft,Weston Wilson,8395,Bal,2B,0,act,active,"OF,SW,2B,1B",9,0,3,1,0,0,1,2,1,0.2,0.111,2,0,9,11,1,0,27
2025,nl,Tristan Cockcroft,Geraldo Perdomo,6842,Ari,SS,9,act,active,"SS,INF,SW",597,0,161,98,20,100,27,83,94,0.389,0.462,0,0,0,0,0,161,0
2025,nl,Tristan Cockcroft,Paul DeJong,5714,NYY,3B,2,act,active,"3B,SS,INF,SW,2B",180,0,53,15,5,18,4,68,9,0.264,0.361,3,0,1,13,33,10,0
2025,nl,Tristan Cockcroft,Pete Crow-Armstrong,7370,ChC,OF,17,act,active,"OF,SW",591,0,157,91,31,95,35,155,29,0.287,0.481,1,0,0,0,0,0,156
2025,nl,Tristan Cockcroft,Corbin Carroll,7007,Ari,OF,38,act,active,"OF,SW",555,0,141,107,31,84,32,148,67,0.348,0.55,3,0,0,0,0,0,139
2025,nl,Tristan Cockcroft,Juan Soto,6043,NYM,OF,43,act,active,"OF,SW",577,0,160,120,43,105,38,137,127,0.396,0.525,3,0,0,0,0,0,157
2025,nl,Tristan Cockcroft,Heliot Ramos,6195,SF,OF,12,act,active,"OF,SW",620,0,157,85,21,69,6,158,52,0.328,0.4,3,0,0,0,0,0,154
2025,nl,Tristan Cockcroft,Ivan Herrera,7261,StL,C,10,act,active,"C,SW",385,0,106,54,19,66,6,84,42,0.372,0.465,89,14,0,0,0,0,4
2025,nl,Tristan Cockcroft,Drake Baldwin,8442,Atl,C,5,act,active,C,405,0,124,56,19,80,0,68,38,0.341,0.469,12,97,0,0,0,0,0
2025,nl,Tristan Cockcroft,Jared Triolo,8163,Pit,UT,16,act,active,"SS,3B,2B,1B,INF,SW",182,0,49,25,4,13,8,46,19,0.351,0.434,1,0,24,11,32,47,0
2025,nl,Tristan Cockcroft,Andres Chaparro,8498,Was,INF,0,act,active,"1B,SW",35,0,19,4,1,4,0,10,2,0.27,0.314,3,0,30,0,0,0,0
2025,nl,Tristan Cockcroft,Heriberto Hernandez,7315,Mia,SW,5,act,active,OF,221,0,74,35,8,38,1,67,28,0.34,0.425,33,0,0,0,0,0,49
2025,nl,Tristan Cockcroft,Blaine Crim,7818,Col,SW,0,act,active,1B,42,0,12,8,4,7,0,16,5,0.327,0.571,3,0,17,0,0,0,0
2025,nl,Tristan Cockcroft,Rhys Hoskins,5321,Cle,1B,14,res,previously_active,"1B,INF,SW",269,0,82,30,12,42,2,85,38,0.34,0.428,2,0,82,0,0,0,0
2025,nl,Tristan Cockcroft,Jose Iglesias,2913,FA,2B,0,rel,previously_active,,276,0,102,24,1,30,5,50,21,0.291,0.264,13,0,0,40,24,32,1
2025,nl,Tristan Cockcroft,Rece Hinds,7484,Cin,OF,18,rel,previously_active,,12,0,4,2,0,0,0,5,0,0.0,0.0,0,0,0,0,0,0,14
2025,nl,Tristan Cockcroft,Daniel Johnson,6511,Mia,OF,12,rel,previously_active,,1,0,3,2,1,1,0,0,2,1.0,4.0,0,0,0,0,0,0,24
2025,nl,Tristan Cockcroft,Rafael Marchan,7453,Phi,C,0,rel,previously_active,,4,0,2,0,0,0,0,0,0,0.0,0.0,0,42,0,0,0,0,0
2025,nl,Tristan Cockcroft,Luis Torrens,5151,NYM,C,10,rel,previously_active,,62,0,21,3,1,3,0,17,4,0.242,0.258,1,86,1,0,0,0,0
2025,nl,Tristan Cockcroft,Hayden Senger,8141,NYM,C,0,rel,previously_active,,5,0,2,0,0,0,0,3,0,0.0,0.0,0,31,0,0,0,0,0
2025,nl,Tristan Cockcroft,Nick Martini,4542,Oak,UT,10,rel,previously_active,,36,0,15,3,1,2,0,8,1,0.216,0.333,18,0,0,0,0,0,17
2025,nl,Tristan Cockcroft,Tirso Ornelas,6529,SD,UT,3,rel,previously_active,,13,0,6,0,0,1,0,2,2,0.2,0.077,1,0,0,0,0,0,6
2025,nl,Tristan Cockcroft,Thomas Saggese,8708,StL,INF,58,rel,previously_active,,62,0,20,3,0,6,0,18,3,0.2,0.242,1,0,0,35,18,33,0
2025,nl,Tristan Cockcroft,Jake Bauers,5683,Mil,INF,8,rel,previously_active,,40,0,16,5,2,8,3,14,6,0.391,0.525,6,0,40,0,0,0,25
2025,nl,Tristan Cockcroft,Kyle Farmer,4111,Atl,INF,0,res,previously_active,"2B,3B,INF,SS,SW,1B",25,0,12,4,2,5,0,6,2,0.37,0.56,24,0,17,33,10,12,0
2025,nl,Tristan Cockcroft,Justin Turner,2415,FA,INF,1,rel,previously_active,,86,0,35,6,1,9,1,18,9,0.283,0.256,19,0,39,0,14,0,0
2025,nl,Tristan Cockcroft,Jarred Kelenic,6602,CWS,SW,3,rel,previously_active,,60,0,23,7,2,2,0,23,5,0.231,0.3,1,0,0,0,0,0,23
2025,nl,Tristan Cockcroft,Anthony Seigler,6605,Bos,SW,12,rel,previously_active,,22,0,14,0,0,1,1,5,4,0.333,0.227,1,1,1,0,25,0,0
2025,nl,Tristan Cockcroft,Will Benson,6051,Cin,SW,65,rel,previously_active,,172,0,58,24,9,31,2,52,12,0.279,0.43,1,0,0,0,0,0,82
2025,nl,Tristan Cockcroft,Jake Fraley,6173,TB,SW,0,dis,previously_active,"OF,SW",14,0,5,0,0,0,0,5,1,0.2,0.143,2,0,0,0,0,0,68
2025,nl,Tristan Cockcroft,Johan Rojas,7709,Phi,SW,1,rel,previously_active,,145,0,66,23,1,18,12,38,13,0.292,0.303,1,0,0,0,0,0,65
2025,nl,Tristan Cockcroft,Adael Amador,7457,Col,SW,21,rel,previously_active,,15,0,5,2,0,3,0,1,1,0.375,0.467,0,0,0,41,0,0,0
2025,nl,Tristan Cockcroft,Rhys Hoskins,5321,Cle,1B,14,res,reserved,"1B,INF,SW",10,0,8,0,0,1,0,6,0,0.1,0.1,2,0,82,0,0,0,0
2025,nl,Tristan Cockcroft,Kyle Farmer,4111,Atl,INF,0,res,reserved,"2B,3B,INF,SS,SW,1B",17,0,7,1,1,3,0,6,1,0.263,0.412,24,0,17,33,10,12,0
2025,nl,Tristan Cockcroft,Jake Fraley,6173,TB,SW,0,dis,reserved,"OF,SW",0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,68
2025,nl,Tristan Cockcroft,Jose Iglesias,2913,FA,2B,0,rel,previously_reserved,,15,0,6,2,0,2,0,4,2,0.353,0.333,13,0,0,40,24,32,1
2025,nl,Tristan Cockcroft,Paul DeJong,5714,NYY,3B,2,act,previously_reserved,"3B,SS,INF,SW,2B",13,0,4,3,1,5,0,2,2,0.333,0.538,3,0,1,13,33,10,0
2025,nl,Tristan Cockcroft,Corbin Carroll,7007,Ari,OF,38,act,previously_reserved,"OF,SW",9,0,2,0,0,0,0,5,0,0.0,0.0,3,0,0,0,0,0,139
2025,nl,Tristan Cockcroft,Daniel Johnson,6511,Mia,OF,12,rel,previously_reserved,,6,0,5,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,24
2025,nl,Tristan Cockcroft,Ivan Herrera,7261,StL,C,10,act,previously_reserved,"C,SW",3,0,1,0,0,0,2,0,1,0.5,0.333,89,14,0,0,0,0,4
2025,nl,Tristan Cockcroft,Luis Torrens,5151,NYM,C,10,rel,previously_reserved,,8,0,4,0,0,0,0,3,1,0.333,0.25,1,86,1,0,0,0,0
2025,nl,Tristan Cockcroft,Tirso Ornelas,6529,SD,UT,3,rel,previously_reserved,,1,0,1,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,6
2025,nl,Tristan Cockcroft,Jake Bauers,5683,Mil,INF,8,rel,previously_reserved,,8,0,5,0,0,1,0,3,1,0.1,0.0,6,0,40,0,0,0,25
