year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2023,mixed,Bret Sayre,1078,13.0,310,13.0,1065,14.0,220,15.0,0.3436,15.0,,,88,12.0,60,9.0,4.023,9.0,1.228,10.0,1225,6.0,116.0
2023,mixed,Justin Mason,1099,14.0,272,7.5,1049,13.0,191,13.0,0.3365,14.0,,,92,14.0,78,13.5,4.012,10.0,1.2667,6.0,1326,9.0,114.0
2023,mixed,Kev Mahserejian,1048,10.0,314,14.0,1001,8.0,116,3.0,0.3313,8.0,,,101,15.0,6,1.0,4.011,11.0,1.2118,13.0,1519,15.0,98.0
2023,mixed,Scott Chu,958,4.0,275,9.0,984,7.0,159,8.0,0.3301,7.0,,,82,9.5,66,10.0,3.718,14.0,1.1758,15.0,1416,13.0,96.5
2023,mixed,Jeff Zimmerman,1029,7.0,271,6.0,939,5.0,171,11.0,0.324,5.0,,,89,13.0,58,8.0,3.811,13.0,1.2145,12.0,1470,14.0,94.0
2023,mixed,Zach Steinhorn,1031,8.0,272,7.5,947,6.0,204,14.0,0.3206,4.0,,,87,11.0,67,11.0,4.192,4.0,1.2232,11.0,1400,11.0,87.5
2023,mixed,Scott Swanay,1045,9.0,289,11.0,1017,12.0,140,5.0,0.334,11.0,,,80,6.0,35,3.0,4.167,6.0,1.2514,8.0,1393,10.0,81.0
2023,mixed,Brent Hershey,1118,15.0,282,10.0,1015,10.5,164,10.0,0.3346,12.0,,,71,2.5,56,7.0,4.354,2.0,1.2792,4.0,1234,7.0,80.0
2023,mixed,Doug Anderson,919,3.0,225,1.0,883,1.0,180,12.0,0.3126,1.0,,,81,7.5,78,13.5,3.501,15.0,1.1955,14.0,1264,8.0,76.0
2023,mixed,Garion Thorne,1068,12.0,309,12.0,1015,10.5,163,9.0,0.3317,9.0,,,74,5.0,39,4.0,4.184,5.0,1.2793,3.0,1148,2.0,71.5
2023,mixed,Scott Pianowski,979,5.0,267,5.0,1012,9.0,121,4.0,0.3157,2.0,,,73,4.0,96,15.0,3.98,12.0,1.2479,9.0,1147,1.0,66.0
2023,mixed,Nick Pollack,1058,11.0,329,15.0,1091,15.0,111,2.0,0.3259,6.0,,,71,2.5,33,2.0,4.369,1.0,1.2805,2.0,1184,3.0,59.5
2023,mixed,CJ Kaltenbach,1007,6.0,266,4.0,922,4.0,154,7.0,0.3358,13.0,,,68,1.0,69,12.0,4.336,3.0,1.3169,1.0,1192,4.0,55.0
2023,mixed,Scott Engel,898,1.0,245,2.0,908,3.0,147,6.0,0.3198,3.0,,,82,9.5,45,5.5,4.067,7.0,1.2765,5.0,1406,12.0,54.0
2023,mixed,Alex Chamberlain,913,2.0,263,3.0,903,2.0,99,1.0,0.3334,10.0,,,81,7.5,45,5.5,4.037,8.0,1.2569,7.0,1207,5.0,51.0
