year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2015,al,Chris Liss,850,8.0,238,12.0,818,10.0,97,7.0,0.3264,9.0,,,77,4.0,71,12.0,3.73,10.0,1.201,11.0,1163,8.0,91.0
2015,al,Mike Podhorzer,863,10.0,217,10.0,798,8.0,97,7.0,0.3353,12.0,,,80,6.0,46,5.0,3.93,6.0,1.236,9.0,1187,10.0,83.0
2015,al,Rick Wolf/Glenn Colton,877,12.0,216,9.0,845,12.0,82,5.0,0.3328,11.0,,,78,5.0,54,9.0,4.32,2.0,1.305,4.0,1238,11.0,80.0
2015,al,Jeff Erickson,827,6.0,199,5.0,804,9.0,81,4.0,0.3218,7.0,,,85,10.0,47,7.0,3.81,9.0,1.215,10.0,1245,12.0,79.0
2015,al,Jason Collette,829,7.0,226,11.0,757,5.0,80,3.0,0.3178,5.0,,,84,8.5,64,11.0,3.95,5.0,1.24,8.0,1101,7.0,70.5
2015,al,Ron Shandler,777,4.0,201,6.0,714,2.0,101,9.0,0.3301,10.0,,,87,11.5,19,1.0,3.64,12.0,1.182,12.0,1030,3.0,70.5
2015,al,Andy Behrens,854,9.0,208,7.0,793,7.0,112,11.0,0.3227,8.0,,,81,7.0,47,7.0,4.4,1.0,1.353,1.0,1007,2.0,60.0
2015,al,Larry Schechter,809,5.0,211,8.0,843,11.0,104,10.0,0.3141,2.0,,,67,1.0,45,3.5,4.18,4.0,1.27,6.0,1044,4.5,55.0
2015,al,Rob Leibowitz,865,11.0,180,2.0,746,3.0,116,12.0,0.3146,3.0,,,73,2.0,45,3.5,3.69,11.0,1.301,5.0,968,1.0,53.5
2015,al,Seth Trachtman,720,3.0,150,1.0,665,1.0,97,7.0,0.3172,4.0,,,87,11.5,47,7.0,3.89,7.0,1.306,3.0,1177,9.0,53.5
2015,al,Steve Moyer,692,1.0,195,3.0,775,6.0,55,1.0,0.3188,6.0,,,84,8.5,57,10.0,4.28,3.0,1.347,2.0,1044,4.5,45.0
2015,al,Lawr Michaels,715,2.0,197,4.0,747,4.0,56,2.0,0.3041,1.0,,,76,3.0,39,2.0,3.88,8.0,1.263,7.0,1082,6.0,39.0
