year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2013,mixed,Fred Zinkie,1001,13.0,235,9.0,927,10.0,190,15.0,0.3291,5.0,,,97,14.0,98,14.0,3.054,15.0,1.1332,15.0,1323,10.0,120.0
2013,mixed,David Gonos,960,9.0,217,5.0,995,15.0,170,14.0,0.342,14.0,,,93,12.0,76,8.5,3.412,14.0,1.1605,13.0,1399,15.0,119.5
2013,mixed,Scott Swanay,980,12.0,258,14.0,957,13.0,167,13.0,0.3388,13.0,,,85,6.0,50,2.0,3.813,4.0,1.2585,7.0,1327,11.0,95.0
2013,mixed,Eric Mack,918,6.0,263,15.0,933,11.5,118,5.0,0.3213,2.0,,,79,3.5,93,13.0,3.685,10.0,1.1918,12.0,1298,9.0,87.0
2013,mixed,Seth Trachtman,1059,15.0,242,11.0,978,14.0,130,9.0,0.3502,15.0,,,89,7.5,61,5.0,3.947,1.0,1.2705,5.0,1155,3.0,85.5
2013,mixed,Tim Heaney,973,11.0,230,8.0,887,7.0,124,7.0,0.3335,9.0,,,92,11.0,64,7.0,3.644,11.0,1.2463,8.0,1135,2.0,81.0
2013,mixed,Patrick Davitt,1012,14.0,250,13.0,926,9.0,120,6.0,0.3332,8.0,,,55,1.0,47,1.0,3.469,13.0,1.1374,14.0,899,1.0,80.0
2013,mixed,Nando DiFino,890,3.0,246,12.0,933,11.5,131,10.0,0.3033,1.0,,,89,7.5,62,6.0,3.915,2.0,1.2355,9.0,1385,14.0,76.0
2013,mixed,Al Melchior,894,4.0,226,7.0,886,6.0,126,8.0,0.3381,12.0,,,94,13.0,76,8.5,3.8,5.0,1.2839,3.0,1284,8.0,74.5
2013,mixed,Nicholas Minnix,945,8.0,210,2.0,878,5.0,112,3.5,0.3358,10.0,,,101,15.0,60,4.0,3.701,9.0,1.2918,1.0,1367,13.0,70.5
2013,mixed,Zach Steinhorn,910,5.0,218,6.0,873,4.0,146,11.0,0.3306,6.0,,,90,9.5,87,12.0,3.725,7.0,1.2794,4.0,1205,5.0,69.5
2013,mixed,Paul Singman,864,1.0,238,10.0,839,2.0,148,12.0,0.3223,3.0,,,83,5.0,82,11.0,3.557,12.0,1.2587,6.0,1207,6.0,68.0
2013,mixed,Derek Van Riper,921,7.0,213,4.0,832,1.0,71,1.0,0.3361,11.0,,,90,9.5,53,3.0,3.765,6.0,1.2336,10.0,1364,12.0,64.5
2013,mixed,Cory Schwartz,961,10.0,212,3.0,908,8.0,100,2.0,0.3325,7.0,,,79,3.5,106,15.0,3.845,3.0,1.2868,2.0,1202,4.0,57.5
2013,mixed,Ray Flowers,887,2.0,207,1.0,841,3.0,112,3.5,0.3273,4.0,,,76,2.0,80,10.0,3.714,8.0,1.2253,11.0,1257,7.0,51.5
