year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2018,nl,Steve Gardner,928,12.0,240,9.0,839,10.0,74,2.0,0.3487,12.0,,,82,10.0,49,6.0,3.3,12.0,1.161,12.0,1319,11.0,96.0
2018,nl,Tristan H. Cockcroft,896,10.0,245,10.0,860,11.0,107,10.0,0.3341,8.0,,,81,9.0,52,7.0,3.87,8.0,1.213,10.0,1366,12.0,95.0
2018,nl,Grey Albright,886,9.0,250,11.0,838,9.0,86,3.0,0.3358,9.0,,,83,11.0,57,8.0,3.87,7.0,1.233,7.0,1222,6.0,80.0
2018,nl,Phil Hertz,899,11.0,251,12.0,891,12.0,92,4.0,0.3446,11.0,,,55,1.5,76,12.0,4.06,3.0,1.322,3.0,1017,2.0,71.5
2018,nl,Scott Wilderman,700,2.0,161,2.0,656,2.0,115,12.0,0.3172,2.0,,,86,12.0,73,10.5,3.55,11.0,1.204,11.0,1063,4.0,68.5
2018,nl,Derek Carty,777,5.0,191,3.0,760,5.0,98,7.0,0.3286,6.0,,,66,5.0,5,2.0,3.59,10.0,1.215,9.0,1242,10.0,62.0
2018,nl,Mike Gianella,761,3.0,197,5.0,674,3.0,96,5.0,0.3275,5.0,,,75,6.0,73,10.5,3.84,9.0,1.218,8.0,1227,7.0,61.5
2018,nl,Craig Mish,816,7.0,222,8.0,789,7.0,67,1.0,0.3253,3.0,,,76,7.0,11,3.0,3.89,6.0,1.238,6.0,1239,9.0,57.0
2018,nl,Brian Walton,860,8.0,205,7.0,766,6.0,106,8.5,0.3334,7.0,,,62,4.0,39,4.0,4.1,2.0,1.305,4.0,1150,5.0,55.5
2018,nl,Andy Behrens,800,6.0,199,6.0,809,8.0,106,8.5,0.337,10.0,,,55,1.5,42,5.0,3.96,4.0,1.255,5.0,1006,1.0,55.0
2018,nl,Todd Zola,766,4.0,192,4.0,730,4.0,110,11.0,0.3275,4.0,,,58,3.0,68,9.0,3.92,5.0,1.327,2.0,1021,3.0,49.0
2018,nl,Lenny Melnick,633,1.0,160,1.0,627,1.0,97,6.0,0.3011,1.0,,,78,8.0,0,1.0,4.12,1.0,1.344,1.0,1228,8.0,29.0
