year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2021,al,Rick Wolf/Glenn Colton,988,12.0,249,9.5,858,10.0,137,12.0,0.3376,11.0,,,81,10.0,67,12.0,3.83,10.0,1.25,7.0,1244,10.0,103.5
2021,al,Chris Liss,900,9.0,265,11.0,937,12.0,105,11.0,0.3201,7.0,,,67,4.0,54,8.0,3.52,11.0,1.184,11.0,1199,7.0,91.0
2021,al,Ryan Bloomfield,835,6.0,210,2.0,810,6.0,85,8.0,0.3128,4.0,,,78,8.0,55,9.0,3.96,9.0,1.18,12.0,1239,8.0,72.0
2021,al,Rob Leibowitz,921,11.0,316,12.0,897,11.0,97,9.0,0.3208,8.0,,,63,3.0,8,1.0,4.33,4.0,1.238,8.0,915,3.0,70.0
2021,al,Patrick Davitt,832,5.0,249,9.5,841,8.5,81,6.0,0.3214,9.0,,,51,2.0,64,11.0,4.17,7.0,1.218,9.0,794,2.0,69.0
2021,al,Howard Bender,848,7.0,221,4.0,746,3.0,75,4.0,0.328,10.0,,,79,9.0,35,5.0,4.0,8.0,1.261,5.0,1242,9.0,64.0
2021,al,Jason Collette,761,2.0,215,3.0,740,2.0,78,5.0,0.3011,1.0,,,77,7.0,62,10.0,3.46,12.0,1.197,10.0,1352,12.0,64.0
2021,al,Jeff Erickson,825,4.0,230,6.0,841,8.5,60,1.0,0.3115,2.0,,,88,11.0,50,7.0,4.47,3.0,1.284,3.0,1303,11.0,56.5
2021,al,Larry Schechter,816,3.0,231,7.0,776,4.0,83,7.0,0.3123,3.0,,,89,12.0,33,4.0,4.31,5.0,1.253,6.0,1109,5.0,56.0
2021,al,Doug Dennis,902,10.0,237,8.0,803,5.0,63,3.0,0.3391,12.0,,,42,1.0,41,6.0,4.2,6.0,1.306,2.0,721,1.0,54.0
2021,al,Mike Podhorzer,875,8.0,226,5.0,836,7.0,100,10.0,0.3133,5.0,,,73,6.0,32,3.0,4.57,1.0,1.325,1.0,1069,4.0,50.0
2021,al,Mike Gianella,760,1.0,206,1.0,735,1.0,61,2.0,0.3157,6.0,,,69,5.0,19,2.0,4.49,2.0,1.274,4.0,1169,6.0,30.0
