year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2016,al,Seth Trachtman,880,10.0,244,10.0,831,10.0,101,10.0,0.3217,5.0,,,83,11.0,71,9.0,4.02,8.0,1.304,5.0,1195,8.0,86.0
2016,al,Patrick Davitt,843,5.0,241,8.0,790,6.0,107,11.0,0.3241,9.0,,,98,12.0,10,1.0,3.72,11.0,1.205,12.0,1143,6.0,81.0
2016,al,Chris Liss,830,4.0,210,3.5,806,8.0,88,6.0,0.3223,6.0,,,76,5.0,57,7.0,3.68,12.0,1.21,11.0,1329,12.0,74.5
2016,al,Rick Wolf/Glenn Colton,848,6.0,231,7.0,801,7.0,126,12.0,0.3379,11.0,,,80,7.5,46,5.0,4.43,2.0,1.388,1.0,1273,11.0,69.5
2016,al,Lawr Michaels,849,7.0,179,1.0,744,3.0,86,5.0,0.3212,4.0,,,82,9.5,72,10.0,4.01,9.0,1.232,10.0,1203,9.0,67.5
2016,al,Ron Shandler,872,9.0,298,12.0,943,11.0,73,3.0,0.319,3.0,,,73,3.0,77,11.5,4.34,5.0,1.349,3.0,1148,7.0,67.5
2016,al,Rob Leibowitz,890,11.0,279,11.0,1022,12.0,65,2.0,0.3271,10.0,,,66,2.0,44,4.0,4.21,6.0,1.286,7.0,1035,2.0,67.0
2016,al,Larry Schechter,860,8.0,210,3.5,785,5.0,92,8.0,0.324,8.0,,,80,7.5,25,3.0,4.04,7.0,1.277,8.0,1136,4.5,62.5
2016,al,Steve Moyer,945,12.0,243,9.0,824,9.0,90,7.0,0.3451,12.0,,,65,1.0,50,6.0,4.57,1.0,1.375,2.0,875,1.0,60.0
2016,al,Mike Podhorzer,775,3.0,222,6.0,755,4.0,95,9.0,0.3238,7.0,,,82,9.5,15,2.0,4.39,4.0,1.327,4.0,1206,10.0,58.5
2016,al,Jason Collette,734,1.0,212,5.0,707,1.0,61,1.0,0.3054,1.0,,,78,6.0,77,11.5,3.91,10.0,1.259,9.0,1136,4.5,50.0
2016,al,Jeff Erickson,744,2.0,204,2.0,713,2.0,75,4.0,0.3106,2.0,,,75,4.0,58,8.0,4.41,3.0,1.301,6.0,1057,3.0,36.0
