year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2017,nl,Grey Albright,976,12.0,312,12.0,968,12.0,139,11.0,0.3396,9.0,,,86,11.0,67,9.5,3.8,11.0,1.22,12.0,1223,10.0,109.5
2017,nl,Tristan H. Cockcroft,956,11.0,231,4.0,824,7.0,102,7.5,0.3549,12.0,,,74,8.0,38,5.0,3.65,12.0,1.246,11.0,1110,5.0,82.5
2017,nl,Brian Walton,934,10.0,237,8.0,865,9.5,161,12.0,0.3263,3.0,,,80,9.0,10,2.0,4.02,8.0,1.307,8.0,1240,12.0,81.5
2017,nl,Scott Wilderman,845,6.0,237,8.0,879,11.0,106,10.0,0.3416,10.0,,,70,5.0,58,7.0,4.17,5.0,1.272,10.0,1057,4.0,76.0
2017,nl,Phil Hertz,882,9.0,237,8.0,807,6.0,104,9.0,0.3384,7.0,,,71,6.0,63,8.0,4.1,7.0,1.357,4.0,1155,7.0,71.0
2017,nl,Derek Carty,852,7.0,233,5.5,779,4.5,97,6.0,0.3365,6.0,,,88,12.0,2,1.0,3.83,10.0,1.274,9.0,1214,9.0,70.0
2017,nl,Lenny Melnick,836,5.0,245,10.0,850,8.0,102,7.5,0.3291,4.0,,,84,10.0,20,4.0,4.45,4.0,1.37,2.0,1228,11.0,65.5
2017,nl,Mike Gianella,859,8.0,249,11.0,865,9.5,72,3.0,0.334,5.0,,,63,2.0,18,3.0,4.0,9.0,1.355,5.0,943,1.0,56.5
2017,nl,Andy Behrens,772,4.0,233,5.5,779,4.5,83,4.0,0.3259,2.0,,,65,4.0,89,12.0,4.46,3.0,1.315,7.0,1168,8.0,54.0
2017,nl,Steve Gardner,767,3.0,168,1.5,710,3.0,65,2.0,0.3393,8.0,,,73,7.0,67,9.5,4.14,6.0,1.34,6.0,1125,6.0,52.0
2017,nl,Todd Zola,760,2.0,201,3.0,670,2.0,87,5.0,0.3232,1.0,,,58,1.0,68,11.0,4.58,1.0,1.361,3.0,949,2.0,31.0
2017,nl,Craig Mish,681,1.0,168,1.5,664,1.0,49,1.0,0.3474,11.0,,,64,3.0,42,6.0,4.5,2.0,1.375,1.0,1007,3.0,30.5
