year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2010,al,Jason Grey,963,12.0,228,11.0,880,11.0,132,9.5,,,0.2686,10.0,82,9.5,60,12.0,3.99,7.0,1.301,7.0,1028,9.0,98.0
2010,al,Joe Sheehan,745,5.0,158,3.0,721,5.0,131,8.0,,,0.2682,9.0,88,11.5,52,10.0,3.2,12.0,1.17,12.0,1068,11.0,86.5
2010,al,Jeff Erickson,868,10.0,184,10.0,781,9.0,127,7.0,,,0.2611,7.0,76,5.0,53,11.0,3.91,8.0,1.333,6.0,1020,8.0,81.0
2010,al,Rob Leibowitz,906,11.0,258,12.0,882,12.0,95,2.0,,,0.2607,5.0,79,7.5,40,3.5,4.09,6.0,1.289,8.0,1012,7.0,74.0
2010,al,Dean Peterson,848,9.0,172,8.0,752,8.0,120,6.0,,,0.2713,12.0,73,4.0,45,7.0,4.67,1.0,1.398,1.0,1070,12.0,68.0
2010,al,Steve Moyer,807,8.0,115,1.0,678,2.0,135,11.0,,,0.2696,11.0,68,2.0,51,9.0,3.91,9.0,1.254,11.0,933,3.0,67.0
2010,al,Mike Siano,769,6.0,162,4.0,720,4.0,101,3.0,,,0.2575,3.0,82,9.5,43,6.0,3.85,10.0,1.256,9.0,1041,10.0,64.5
2010,al,Jason Collette,689,2.0,175,9.0,716,3.0,76,1.0,,,0.2653,8.0,88,11.5,36,2.0,3.77,11.0,1.254,10.0,1000,5.0,62.5
2010,al,Rick/Glenn,805,7.0,171,7.0,830,10.0,140,12.0,,,0.2554,2.0,79,7.5,48,8.0,4.51,2.0,1.371,2.0,985,4.0,61.5
2010,al,Ron Shandler,725,4.0,170,6.0,734,6.5,132,9.5,,,0.2609,6.0,57,1.0,41,5.0,4.25,4.0,1.37,3.0,835,2.0,47.0
2010,al,Matthew Berry,671,1.0,144,2.0,644,1.0,119,5.0,,,0.2575,4.0,78,6.0,18,1.0,4.23,5.0,1.336,5.0,1009,6.0,36.0
2010,al,Lawr Michaels,708,3.0,168,5.0,734,6.5,114,4.0,,,0.2503,1.0,72,3.0,40,3.5,4.32,3.0,1.358,4.0,759,1.0,34.0
