year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2017,al,Mike Podhorzer,1020,12.0,308,12.0,926,12.0,122,12.0,0.3457,12.0,,,66,2.0,67,12.0,3.81,12.0,1.216,12.0,1192,11.0,109.0
2017,al,Seth Trachtman,901,9.0,283,11.0,901,10.0,92,6.0,0.3208,4.0,,,79,7.0,57,8.0,4.23,9.0,1.316,7.0,1358,12.0,83.0
2017,al,Jason Collette,926,10.0,249,6.0,829,4.0,107,9.0,0.3384,11.0,,,84,10.5,62,10.0,4.08,10.0,1.354,2.0,1153,9.0,81.5
2017,al,Steve Moyer,936,11.0,275,10.0,905,11.0,85,3.0,0.3277,7.0,,,76,5.0,37,5.0,4.36,6.0,1.31,8.0,1048,2.0,68.0
2017,al,Rob Leibowitz,838,4.0,255,8.0,833,5.0,95,7.5,0.3182,3.0,,,82,9.0,55,7.0,3.91,11.0,1.231,11.0,1025,1.0,66.5
2017,al,Jeff Erickson,898,8.0,250,7.0,839,7.0,89,5.0,0.3364,10.0,,,77,6.0,62,10.0,4.38,4.0,1.343,4.0,1106,5.0,66.0
2017,al,Patrick Davitt,853,6.0,266,9.0,843,8.0,95,7.5,0.3285,8.0,,,73,4.0,22,3.5,4.34,7.0,1.331,5.0,1150,6.5,64.5
2017,al,Larry Schechter,865,7.0,220,2.0,850,9.0,113,11.0,0.3142,1.0,,,59,1.0,50,6.0,4.29,8.0,1.237,10.0,1151,8.0,63.0
2017,al,Rick Wolf/Glenn Colton,842,5.0,222,3.5,815,3.0,88,4.0,0.3225,5.0,,,86,12.0,16,2.0,4.36,5.0,1.327,6.0,1150,6.5,52.0
2017,al,Chris Liss,820,3.0,222,3.5,834,6.0,75,1.5,0.3318,9.0,,,84,10.5,15,1.0,4.4,3.0,1.367,1.0,1186,10.0,48.5
2017,al,Nando DiFino,793,1.0,218,1.0,721,1.0,108,10.0,0.3242,6.0,,,80,8.0,22,3.5,4.44,2.0,1.262,9.0,1068,3.0,44.5
2017,al,Lawr Michaels,801,2.0,231,5.0,797,2.0,75,1.5,0.3164,2.0,,,68,3.0,62,10.0,4.55,1.0,1.349,3.0,1101,4.0,33.5
