year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2024,nl,Ian Kahn,864,10.0,243,11.0,884,11.0,161,8.0,0.3317,12.0,,,93,12.0,54,9.0,3.88,6.0,1.21,8.0,1328,12.0,99.0
2024,nl,Rick Graham,860,8.5,202,5.0,823,8.0,121,1.5,0.3221,9.0,,,80,10.5,62,11.0,3.53,10.0,1.176,11.0,1272,9.0,83.5
2024,nl,Phil Hertz,919,12.0,289,12.0,977,12.0,124,3.0,0.3098,3.0,,,54,2.0,73,12.0,3.4,12.0,1.179,10.0,697,2.0,80.0
2024,nl,Peter Kreutzer,860,8.5,179,3.0,859,10.0,184,12.0,0.3178,7.0,,,72,6.0,56,10.0,4.02,5.0,1.243,6.0,1076,5.0,72.5
2024,nl,Derek Carty,852,7.0,217,8.0,822,7.0,138,4.0,0.3209,8.0,,,77,8.5,7,1.0,3.68,9.0,1.236,7.0,1316,11.0,70.5
2024,nl,Wilderman/Prior,815,5.0,193,4.0,761,4.5,142,6.0,0.3283,11.0,,,75,7.0,48,8.0,3.77,8.0,1.203,9.0,1041,4.0,66.5
2024,nl,Brian Walton,843,6.0,234,10.0,857,9.0,141,5.0,0.311,4.0,,,80,10.5,47,6.5,4.19,3.0,1.266,4.0,1194,8.0,66.0
2024,nl,Steve Gardner,812,4.0,208,7.0,729,3.0,158,7.0,0.3249,10.0,,,65,3.5,42,5.0,3.83,7.0,1.266,5.0,1088,7.0,58.5
2024,nl,Grey Albright,871,11.0,233,9.0,785,6.0,162,9.5,0.3125,5.0,,,44,1.0,47,6.5,4.15,4.0,1.299,2.0,584,1.0,55.0
2024,nl,Erik Halterman,741,2.0,177,2.0,665,2.0,180,11.0,0.3089,2.0,,,77,8.5,38,4.0,4.33,1.0,1.272,3.0,1295,10.0,45.5
2024,nl,Scott Pianowski,811,3.0,203,6.0,761,4.5,162,9.5,0.3145,6.0,,,65,3.5,17,2.0,4.24,2.0,1.366,1.0,1086,6.0,43.5
2024,nl,Brendan Tuma,669,1.0,172,1.0,659,1.0,121,1.5,0.3015,1.0,,,68,5.0,30,3.0,3.49,11.0,1.171,12.0,1037,3.0,39.5
