year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2016,mixed,Zach Steinhorn,1055,10.0,325,14.0,1030,13.0,148,13.0,0.3318,6.0,,,96,12.5,87,13.0,3.112,15.0,1.1379,15.0,1434,15.0,126.5
2016,mixed,Fred Zinkie,1135,15.0,330,15.0,1081,15.0,144,12.0,0.3413,14.0,,,110,15.0,17,1.0,3.876,7.0,1.2241,13.0,1399,14.0,121.0
2016,mixed,Cory Schwartz,1075,14.0,285,9.5,980,8.0,128,8.0,0.3347,10.0,,,97,14.0,100,15.0,3.773,11.0,1.2,14.0,1309,11.0,114.5
2016,mixed,Joe Pisapia,1062,11.5,291,11.0,1040,14.0,81,3.0,0.3373,13.0,,,86,7.0,69,7.0,3.751,13.0,1.2285,12.0,1347,12.0,103.5
2016,mixed,Bret Sayre,1066,13.0,303,12.5,1009,10.5,143,11.0,0.3482,15.0,,,90,10.0,86,12.0,3.939,5.0,1.2973,4.0,1267,6.0,99.0
2016,mixed,Scott Pianowski,1049,9.0,245,2.0,978,7.0,133,9.0,0.335,12.0,,,92,11.0,77,10.0,3.751,12.0,1.2411,9.0,1131,1.0,82.0
2016,mixed,Ray Flowers,1022,8.0,285,9.5,990,9.0,122,7.0,0.3261,3.0,,,77,4.0,73,8.0,3.805,10.0,1.2397,11.0,1248,4.0,73.5
2016,mixed,Scott Swanay,911,2.0,258,4.0,841,2.0,93,6.0,0.3324,7.0,,,89,9.0,88,14.0,3.909,6.0,1.2404,10.0,1305,10.0,70.0
2016,mixed,Tim Heaney,1062,11.5,270,6.0,1009,10.5,165,14.0,0.3348,11.0,,,76,3.0,27,2.0,4.62,1.0,1.3786,2.0,1276,7.0,68.0
2016,mixed,Al Melchior,940,6.0,271,7.0,950,5.0,79,2.0,0.3293,4.0,,,96,12.5,58,4.0,3.977,4.0,1.2427,8.0,1357,13.0,65.5
2016,mixed,Scott Engel,937,5.0,231,1.0,832,1.0,166,15.0,0.3312,5.0,,,75,2.0,67,6.0,3.806,9.0,1.245,7.0,1304,9.0,60.0
2016,mixed,Gene McCaffrey,923,4.0,272,8.0,974,6.0,90,5.0,0.3338,8.0,,,88,8.0,74,9.0,4.211,3.0,1.3484,3.0,1263,5.0,59.0
2016,mixed,Nando DiFino,915,3.0,260,5.0,919,4.0,141,10.0,0.319,1.0,,,72,1.0,83,11.0,3.823,8.0,1.2652,5.0,1297,8.0,56.0
2016,mixed,David Gonos,1020,7.0,303,12.5,1027,12.0,70,1.0,0.3339,9.0,,,81,5.0,52,3.0,4.427,2.0,1.4051,1.0,1241,3.0,55.5
2016,mixed,Derek Van Riper,910,1.0,257,3.0,909,3.0,82,4.0,0.326,2.0,,,84,6.0,66,5.0,3.749,14.0,1.2479,6.0,1204,2.0,46.0
