year,league,team,R,R_pts,HR,HR_pts,RBI,RBI_pts,SB,SB_pts,OBP,OBP_pts,AVG,AVG_pts,W,W_pts,SV,SV_pts,ERA,ERA_pts,WHIP,WHIP_pts,SO,SO_pts,total_pts
2015,mixed,Fred Zinkie,1033,14.0,249,11.0,934,11.0,132,9.0,0.3317,13.0,,,107,15.0,21,2.0,3.508,12.0,1.2052,11.0,1428,15.0,113.0
2015,mixed,Scott Swanay,968,10.0,232,5.0,883,5.0,150,15.0,0.3315,12.0,,,92,8.0,95,12.0,3.451,13.0,1.1595,14.0,1319,12.0,106.0
2015,mixed,Tim Heaney,961,8.5,231,4.0,919,10.0,142,14.0,0.3255,4.0,,,96,12.0,98,13.0,3.173,15.0,1.1977,12.0,1308,10.0,102.5
2015,mixed,Zach Steinhorn,951,7.0,259,13.0,998,15.0,141,13.0,0.3276,7.0,,,92,8.0,78,7.0,3.726,7.0,1.2433,8.0,1313,11.0,96.0
2015,mixed,Cory Schwartz,1053,15.0,261,14.0,978,14.0,140,12.0,0.3366,15.0,,,69,3.5,108,15.0,4.081,2.0,1.292,3.0,1062,1.0,94.5
2015,mixed,Scott Pianowski,980,11.0,212,3.0,876,4.0,105,3.0,0.3308,10.0,,,93,10.0,94,11.0,3.241,14.0,1.1546,15.0,1306,9.0,90.0
2015,mixed,Ray Flowers,1032,13.0,252,12.0,974,13.0,108,4.0,0.3364,14.0,,,68,2.0,93,10.0,3.619,11.0,1.2446,7.0,1151,3.0,89.0
2015,mixed,Patrick Davitt,961,8.5,281,15.0,966,12.0,120,6.5,0.3311,11.0,,,99,13.0,23,3.0,3.888,6.0,1.272,4.0,1270,6.5,85.5
2015,mixed,Scott Engel,896,5.0,236,7.0,905,7.0,138,11.0,0.317,1.0,,,92,8.0,57,5.0,3.672,9.0,1.2212,10.0,1350,13.0,76.0
2015,mixed,Al Melchior,841,1.0,202,2.0,782,1.0,120,6.5,0.3222,2.0,,,94,11.0,74,6.0,3.668,10.0,1.1827,13.0,1403,14.0,66.5
2015,mixed,David Gonos,858,3.0,235,6.0,858,3.0,99,2.0,0.3274,6.0,,,81,5.5,105,14.0,3.694,8.0,1.2245,9.0,1277,8.0,64.5
2015,mixed,Joe Pisapia,993,12.0,245,10.0,918,9.0,136,10.0,0.3247,3.0,,,81,5.5,32,4.0,3.969,5.0,1.294,2.0,1167,4.0,64.5
2015,mixed,Derek Van Riper,876,4.0,242,8.0,884,6.0,94,1.0,0.3307,9.0,,,102,14.0,15,1.0,4.005,4.0,1.2583,6.0,1270,6.5,59.5
2015,mixed,Nando DiFino,848,2.0,243,9.0,911,8.0,111,5.0,0.3262,5.0,,,66,1.0,91,9.0,4.129,1.0,1.2706,5.0,1138,2.0,47.0
2015,mixed,Paul Singman,923,6.0,188,1.0,812,2.0,131,8.0,0.3282,8.0,,,69,3.5,89,8.0,4.011,3.0,1.2976,1.0,1221,5.0,45.5
