,SCHECHTER,,ERICKSON,,SHANDLER,,WOLF/COLTON,,COLLETTE,,MICHAELS,,BEHRENS,,LEIBOWITZ,,SIANO,,MOYER,,BERRY,,SHEEHAN,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,3,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,4,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1
C,Arencibia,12,Wieters,19,Doumit,15,V Martinez,20,J Montero,18,Jaso,7,Napoli,18,Pierzynski,15,S Perez,19,D Ross,5,Iannetta,6,C Santana,22
C,Avila,11,Mauer,21,Zunino,3,Cervelli,1,Corporan,1,Kottaras,1,Flowers,8,J Castro,7,Au Romine,1,Shoppach,1,Norris,3,Saltalamacchia,11
1B,C Pena,4,Morneau,19,Dunn,14,Loney,7,Pujols,35,Moreland,13,Wallace,5,Konerko,24,Morales,19,Encarnacion,29,Trumbo,21,Fielder,35
3B,Callaspo,8,Seager,21,Beltre,30,Plouffe,15,Donaldson,10,Youkilis,13,Longoria,28,Middlebrooks,19,Lawrie,22,Dominguez,7,Mi Cabrera,43,Machado,14
CI,Teixeira,6,Lind,9,Reynolds,13,A Rodriguez,2,Carter,12,S Sizemore,4,Moustakas,18,Berkman,11,Olt,3,Butler,29,Chisenhall,8,Hosmer,25
2B,Beckham,9,Greene,7,Kinsler,28,Cano,35,Keppinger,11,Kendrick,17,Pedroia,29,Infante,12,Kipnis,28,Altuve,20,Zobrist,25,J Carroll,1
SS,Hardy,11,Profar,7,A Escobar,19,Andrus,22,Nakajima,8,Aybar,19,A Cabrera,20,J Reyes,31,S Rodriguez,1,Al Ramirez,17,Jeter,14,Y Escobar,10
MI,M Izturis,6,R Roberts,1,E Nunez,8,B Roberts,5,J Weeks,4,Lowrie,7,Ackley,14,Bogaerts,2,K Johnson,10,Peralta,13,Aviles,5,Dozier,1
OF,Trout,40,A Jones,29,A Jackson,25,D Jennings,25,Hamilton,25,C Young,10,Gardner,19,Rios,23,Ellsbury,29,Markakis,16,J Bautista,32,Gordon,26
OF,de Aza,18,Crisp,19,Cespedes,29,C Davis,20,Maxwell,13,Morse,17,Parmelee,11,David Murphy,13,M Saunders,13,V Wells,3,F Martinez,6,W Myers,6
OF,T Hunter,16,Francoeur,9,Gomes,7,Victorino,24,Bourn,25,Stubbs,12,Reimold,4,L Martin,9,L Cain,17,Me Cabrera,22,Wise,3,Bourjos,12
OF,Granderson,20,Moss,12,Mastroianni,3,Viciedo,13,Gutierrez,6,Willingham,23,McLouth,3,Hicks,6,Swisher,21,Dirks,9,Bonifacio,14,Brantley,10
UT,I Suzuki,16,Smoak,7,S Smith,3,JD Martinez,3,Joyce,12,Rasmus,13,Getz,2,Reddick,13,Giavotella,2,D Ortiz,12,R Davis,6,Dyson,2
SW,S Drew,4,A Casilla,2,E Thames,1,Hafner,1,Boesch,1,Gentry,1,L Scott,1,N Cruz,16,Ciriaco,2,Mustelier,1,Q Berry,1,Sogard,1
P,G Holland,18,Rodney,19,Sale,21,Scherzer,21,Perkins,16,Verlander,31,M Rivera,19,A Reed,14,Hanrahan,15,Wilhelmsen,17,Darvish,24,Price,28
P,Weaver,24,Nathan,19,Frieri,9,Lester,20,Balfour,14,C Perez,14,J Veras,8,J Shields,18,Morrow,19,Sabathia,20,Jim Johnson,16,Norris,6
P,W Chen,6,CJ Wilson,13,Cook,6,Niemann,3,Moore,19,Janssen,9,B Anderson,14,Harrison,11,Parker,14,Hellickson,12,Dickey,20,F Hernandez,24
P,J Vargas,2,Fister,15,Milone,10,Nova,4,Josh Johnson,12,Peavy,14,Kuroda,15,Thornton,2,D Holland,11,Madson,5,B Colon,2,Doolittle,4
P,Dempster,9,Pettitte,5,Tazawa,2,Benoit,3,Iwakuma,8,Cobb,12,A Sanchez,14,Buchholz,8,Straily,7,Ogando,12,E Santana,4,Santos,8
P,P Hughes,4,B Myers,3,W Davis,5,McGee,3,E Ramirez,4,D Phelps,5,Kazmir,1,C Lewis,2,Worley,3,K Herrera,4,Bedard,2,Alburquerque,7
P,Griffin,5,Uehara,1,Bundy,3,D Robertson,4,Harrell,2,Buehrle,6,Hammel,7,Bauer,2,T Hanson,1,Doubront,3,Strop,3,Porcello,5
P,Pestano,8,Smyly,2,Floyd,4,Guthrie,3,McAllister,3,Tillman,5,U Jimenez,1,Blanton,1,Coke,2,Quintana,1,Lohse,1,T Collins,1
P,Masterson,3,Romero,1,Arrieta,2,Rondon,6,Delabar,1,Crow,4,Humber,1,Lackey,1,Hultzen,1,M Gonzalez,2,Bailey,1,Soria,1
R,Betemit,,Saunders,,C Carrasco,,J Rivera,,R Hernandez,,Ibanez,,Bay,,S Diamond,,Av Garcia,,J Bradley Jr.,,Carp,,Gose,
R,Nava,,Matusz,,Peacock,,Dotel,,E Rogers,,JA Happ,,W Wright,,Gillaspie,,Burton,,Aceves,,D Johnson,,Archer,
R,Joel Peralta,,Axelrod,,Paulino,,Richards,,Franklin,,Hochevar,,Jo Molina,,Pineda,,Pryor,,R de la Rosa,,Tepisch,,E Carrera,
R,O'Day,,B Ryan,,Cosart,,Deduno,,Gausman,,Blackley,,Castellanos,,C Allen,,Soto,,H Santiago,,Beavan,,Na Jones,
,,,,,,,,,,,,,,,,,,,,,,,,
,Hitting,181,,182,,198,,193,,181,,157,,180,,201,,187,,184,,187,,176
,Pitching,79,,78,,62,,67,,79,,100,,80,,59,,73,,76,,73,,84
