P,C. McHugh,7,H. Rondon,10,G. Perkins,12,F. Liriano,5,Uehara,13,Teheran,16,G. Cole,16,Gregerson,10,Latos,8,Smyly,8,Doolittle,11,Ryu,6,A. Wood,13,Storen,16,Jo. Quintana,14,P
P,M. Shoemaker,5,Ad. Reed,7,Archer,10,Odorizzi,5,Z. Britton,13,Benoit,10,Y. Ventura,8,D. Duffy,3,J. Mejia,6,J. Paxton,3,Lackey,5,He. Alvarez,4,Fister,9,Boxberger,4,G. Richards,14,P
P,M. Cain,2,Hutchison,4,I. Kennedy,8,An. Miller,2,Wacha,11,Tillman,2,N. Feliz,13,Kazmir,5,M. Pineda,9,Cashner,9,Sabathia,1,Jer. Weaver,5,K. Giles,6,Bud Norris,2,J. McGee,8,P
P,K. Lohse,1,Wade Davis,2,Der. Holland,2,A.J. Burnett,1,Tr. Bauer,2,Sh. Greene,2,K. Hendricks,1,Da. Salazar,3,Fr. Rodriguez,12,F. Rodney,12,Y. Petit,1,Br. McCarthy,6,Gausman,3,Aa. Sanchez,1,Cecil,3,P
P,Wily Peralta,2,J. Hammel,3,S. Romo,1,Buchholz,1,Pomeranz,1,J. Hahn,2,J. Niese,1,Ji. Nelson,2,Verlander,8,Jo. Fernandez,6,C. Martinez,1,La. Hawkins,1,Sh. Miller,2,T.J. House,2,M. Moore,1,P
P,Garza,1,R.A. Dickey,1,Collmenter,1,Br. Morrow,1,Keuchel,1,Er. Santana,1,R. Iglesias,1,J. Soria,2,Sa. Casilla,4,Eovaldi,4,Mi. Gonzalez,1,Porcello,1,Parnell,1,H. Bailey,2,Masterson,1,P
R,Stubbs,,W.Y. Chen,,Leake,,E.Young Jr.,,D. Peralta,,Plouffe,,M. Taylor,,Elias,,A. Guerrero,,J.A. Happ,,Loup,,Minor,,J. Hamilton,,J. Singleton,,C.J. Cron,,R
R,Qualls,,Peavy,,Lindor,,Schoop,,Marisnick,,Loney,,Jay,,Corbin,,Graveman,,Cingrani,,Syndergaard,,E. Mujica,,Simmons,,Roark,,Refsnyder,,R
R,E. Marshall,,Haren,,Col. Rasmus,,Lyles,,J. Peterson,,T. Hudson,,Worley,,Quackenbush,,C.J. Wilson,,B. Anderson,,Jung-Ho Kang,,Victorino,,Gallardo,,Joe Smith,,Ottavino,,R
R,Walden,,Freese,,Ackley,,E. Cabrera,,Matzek,,Schafer,,Viciedo,,Rodon,,R. Soriano,,C. Anderson,,Miley,,Jo. Johnson,,Da. Norris,,G. Jones,,Pagan,,R
R,J. Cosart,,D. Brown,,Moustakas,,J. Lamb,,May,,Gregorius,,Gee,,Rua,,Gallo,,Kiermaier,,Fields,,B. Crawford,,Buxton,,Janssen,,S. Smith,,
R,Peraza,,Medlen,,Colon,,J. Chavez,,Travis,,Morrison,,Volquez,,Ruf,,M.A Gonzalez,,R. De La Rosa,,Dyson,,M. Upton Jr.,,Moreland,,Hicks,,J. Garcia,,
 ,VANRIPER,,ZINKIE,,STEINHORN,    ,HEANEY,,MELCHIOR,,PIANOWSKI,,ENGEL,,SWANAY,,DiFINO,,SINGMAN,,DAVITT,,SCHWARTZ,,FLOWERS,,GONOS,,PISAPIA,,
,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,
