28,ZOLA,,CARTY, ,WILDERMAN,    ,HERTZ,,WALTON,,GIANELLA,,BEHRENS,,GARDNER,,MELNICK,,MISH,,COCKCROFT,,ALBRIGHT,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1
C,Manny Pina,2,Yadier Molina,11,Buster Posey,23,Kurt Suzuki,1,Willson Contreras,16,Yasmani Grandal,19,Matt Wieters,9,Cameron Rupp,10,Tucker Barnhart,2,J.T. Realmuto,14,Miguel Montero,2,Devin Mesoraco,3
C,Chris Herrmann,3,Francisco Cervelli,8,Austin Barnes,2,A.J. Ellis,1,Tyler Flowers,5,Travis d'Arnaud,5,Nick Hundley,1,Tom Murphy,4,CHRIS Iannetta,2,Tony Wolters,3,Jett Bandy,1,Austin Hedges,5
1B,Adrian Gonzalez,19,Anthony Rizzo,32,Josh Bell,14,Freddie Freeman,39,Tommy Joseph,19,Daniel Murphy,25,Matt Adams,4,Brandon Belt,26,Wil Myers,31,Joey Votto,40,Justin Bour,13,Paul Goldschmidt,40
3B,Jhonny Peralta,7,Martin Prado,7,Howie Kendrick,14,David Freese,6,Jose Reyes,14,Conor Gillaspie,1,Nolan Arenado,36,Anthony Rendon,24,Jake Lamb,22,Justin Turner,23,Jedd Gyorko,10,Maikel Franco,22
CI,Lucas Duda,12,Eric Thames,21,Daniel Descalso,1,Ryan Zimmerman,8,Eduardo Nunez,17,Mark Reynolds,6,Travis Shaw,9,Adonis Garcia,8,Aaron Hill,1,John Jaso,3,Eugenio Suarez,15,Adam Lind,5
2B,Brandon Phillips,12,Logan Forsythe,15,Josh Harrison,13,Wilmer Flores,7,Dee Gordon,26,Asdrubal Cabrera,14,Ryan Schimpf,9,Kolten Wong,11,Miguel Rojas,1,Brandon Drury,16,Matt Carpenter,27,Trea Turner,30
SS,Ketel Marte,6,Greg Garcia,3,Jonathan Villar,29,Brandon Crawford,15,Adeiny Hechavarria,2,Dansby Swanson,16,Jose Peraza,20,Trevor Story,26,Javier Baez,20,Aledmys Diaz,19,Orlando Arcia,9,Zack Cozart,5
MI,Yangervis Solarte,11,Joe Panik,9,Jace Peterson,1,Jordy Mercer,5,Chris Owings,9,Neil Walker,16,Corey Seager,29,Dilson Herrera,1,Addison Russell,22,Derek Dietrich,4,DJ LeMahieu,22,Freddy Galvis,7
OF,Charlie Blackmon,31,Ian Desmond,19,Matt Kemp,21,Billy Hamilton,26,Christian Yelich,28,Starling Marte,30,Kyle Schwarber,24,Carlos Gonzalez,25,Andrew McCutchen,27,Gregory Polanco,27,Bryce Harper,39,Giancarlo Stanton,28
OF,A.j. Pollock,27,Curtis Granderson,17,Domingo Santana,18,Yoenis Cespedes,27,Randal Grichuk,17,Ryan Braun,26,Dexter Fowler,20,David Dahl,14,Odubel Herrera,22,Gerardo Parra,7,Adam Eaton,21,Keon Broxton,19
OF,Ben Zobrist,17,Yasiel Puig,15,Jayson Werth,10,Joc Pederson,22,David Peralta,16,Manuel Margot,11,Hernan Perez,10,Ender Inciarte,18,Stephen Piscotty,20,Travis Jankowski,13,Jay Bruce,15,Yasmany Tomas,14
OF,Scott Schebler,7,Denard Span,10,Marcell Ozuna,18,Kris Bryant,37,Michael Saunders,7,Hunter Renfroe,9,Alex Dickerson,4,Nick Markakis,10,Adam Duvall,17,Lewis Brinson,3,Jon Jay,3,Michael Conforto,10
UT,Erick Aybar,2,Andrew Susac,1,Hunter Pence,15,Albert Almora,6,Andrew Toles,6,Jason Heyward,13,Chase Utley,1,Jarrett Parker,6,Michael A. Taylor,2,Jabari Blash,3,Cesar Hernandez,14,Alen Hansen,1
SW,Gorkys Hernandez,1,Ozzie Albies,2,Mac Williamson,1,Cory Spangenberg,1,Cody Bellinger,3,Jung ho Kang,1,Blake Treinen,2,Roman Quinn,3,Aaron Altherr,2,Jose Martinez,2,Adam Ottavino,3,Jhoulys Chacin,1
P,Madison Bumgarner,29,Clayton Kershaw,45,Noah Syndergaard,26,Jameson Taillon,14,Jake Arrieta,22,Johnny Cueto,23,Stephen Strasburg,22,Jon Lester,23,Carlos Martinez,26,Gerrit Cole,22,Max Scherzer,29,Robbie Ray,13
P,Zach Davies,9,Rich Hill,16,Zack Greinke,12,Kenta Maeda,17,Jon Gray,13,Kyle Hendricks,18,Bartolo Colon,2,Matt Harvey,10,Julio Teheran,20,Jacob deGrom,23,Ivan Nova,9,John Lackey,13
P,Jerad Eickhoff,12,Alex Wood,5,Tyler Glasnow,7,Steven Matz,8,Junior Guerra,6,David Phelps,2,Vince Velasquez,12,Adam Wainwright,5,Tanner Roark,14,Julio Urias,11,Mike Leake,4,Aaron Nola,10
P,Jeremy Hellickson,9,Joe Ross,10,Brad Hand,1,Gio Gonzalez,8,Lance Lynn,5,Hector Rondon,1,Matt Moore,12,Taijuan Walker,9,Zack Wheeler,1,Robert Gsellman,11,Mike Foltynewicz,11,Jeff Samardzija,11
P,Brandon Finnegan,4,Jaime Garcia,6,Wei-Yin Chen,5,Hyun-Jin Ryu,2,Tyler Anderson,2,Joaquin Benoit,1,Adam Conley,2,Dan Straily,4,Koji Uehara,1,Brett Anderson,3,Shelby Miller,2,Seth Lugo,2
P,Michael Lorenzen,1,Grant Dayton,1,Edinson Volquez,3,Arodys Vizcaino,2,Michael Wacha,5,Mauricio Cabrera,1,Jimmy Nelson,1,Carl Edwards Jr.,1,Patrick Corbin,4,Brad Ziegler,2,Hector Neris,3,Felipe Rivero,1
P,Brandon Maurer,9,Scott Kazmir,1,R.A. Dickey,2,Trevor Rosenthal,1,Clay Buchholz,1,Juan Nicasio,1,Hunter Strickland,1,Kyle Barraclough,3,Luis Perdomo,1,Drew Storen,2,Anthony DeSclafani,3,Cody Reed,2
P,Raisel Iglesias,9,Luke Weaver,1,Shawn Kelley,7,Corey Knebel,2,Chad Kuhl,1,Jeurys Familia,11,Fernando Rodney,8,Greg Holland,6,Tom Koehler,1,Carter Capps,4,Daniel Hudson,2,Neftali Feliz,9
P,Seung-Hwan Oh,21,Jeanmar Gomez,5,Wade Davis,17,Addison Reed,5,Mark Melancon,20,Tony Watson,10,Kenley Jansen,22,A.J. Ramos,13,Tony Cingrani,1,Koda Glover,5,Mike Montgomery,3,Jim Johnson,9
R,Amir Garrett,,Brett Cecil,,Sammy Solis,,Wily Peralta,,Amed Rosario,,Brandon McCarthy,,Josh Hader,,Jesus Aguilar,,Ty Blach,,Trayce Thompson,,JP Crawford,,Scooter Gennett,
R,Jae-Gyun Hwang,,Kirk Nieuwenhuis,,Dominic Smith,,Edubray Ramos,,Nick WIlliams,,Ryan Buchter,,Jesse Winker,,Tyler Chatwood,,Adam Frazier,,Desmond Jennings,,Austin Meadows,,Drew Hutchison,
R,Ichiro Suzuki,,Pedro Strop,,Arismendy Alcantara,,Angel Pagan,,Sergio Romo,,Scott Feldman,,Tommy La Stella,,David Wright,,Wilmer Difo,,Erick Fedde,,Archie Bradley,,Sal Romano,
R,Jacob Barnes,,Andres Blanco,,Chase Anderson,,Derek Law,,Homer Bailey,,Trevor Cahill,,Brett Lawrie,,Franklin Gutierrez,,Jose Osuna,,Yefri Perez,,Raimel Tapia,,Tommy Pham,
 ,ZOLA,,CARTY,,WILDERMAN,    ,HERTZ,,WALTON,,,,BEHRENS,,GARDNER,,MELNICK,,MISH,,COCKCROFT,,ALBRIGHT,
,,157,,170,,180,,201,,185,,192,,178,,186,,191,,177,,194,,190
,,103,,90,,80,,59,,75,,68,,82,,74,,69,,83,,66,,70
