,HEANEY,,VANRIPER, ,STEINHORN,    ,ENGEL,,SAYRE,PIANOWSKI,PIANOWSKI,,SWANAY,,MCCAFFREY,,FLOWERS,,ZIMMERMAN,,RATHBURN,,SHANDLER,,MELCHIOR,,KARABELL,,HERSHEY,
,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,0,Left to Spend,6,Left to Spend,0,Left to Spend,0,Left to Spend,0
,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0,Players Needed,0
,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,1,Max Bid,7,Max Bid,1,Max Bid,1,Max Bid,1
C,W. Ramos,15,R. Chirinos,5,W. Castillo,8,W. Astudillo,3,M. Zunino,3,J. Realmuto,25,B. Posey,16,O. Narvaez,3,A. Hedges,3,W. Contreras,15,I. Kiner-Falefa,2,D. Jansen,8,G. Sanchez,26,T. Barnhart,2,Y. Grandal,22
C,J. Hicks,1,C. Kelly,1,M. Garver,1,C. Iannetta,2,F. Mejia,2,Y. Molina,6,T. Flowers,2,J. Lucroy,1,J. Alfaro,3,A. Barnes,2,N. Hundley,1,C. Sisco,1,F. Cervelli,3,Y. Gomes,2,K. Suzuki,1
1B,J. Abreu,16,T. White,1,C. Santana,20,M. Muncy,12,J. Bell,7,J. Votto,32,A. Rizzo,32,J. Smoak,6,F. Freeman,36,J. Profar,8,N. Goodrum,2,P. Goldschmidt,43,M. Olson,21,E. Encarnacion,17,R. Hoskins,34
3B,T. Shaw,19,A. Rendon,29,M. Moustakas,11,N. Arenado,39,R. McMahon,2,K. Bryant,35,J. Turner,18,J. Donaldson,20,M. Machado,31,V. Guerrero,22,J. Candelario,1,J. Lamb,7,M. Chapman,14,M. Franco,1,E. Suarez,20
CI,J. Bauers,5,R. Devers,13,J. Bour,3,B. Anderson,1,L. Voit,7,M. Carpenter,27,M. Cabrera,11,J. Baez,30,E. Hosmer,6,M. Andujar,14,B. Belt,1,J. Bruce,3,J. Aguilar,16,T. Mancini,2,R. Braun,8
2B,G. Torres,20,O. Albies,13,R. Cano,19,J. Wendle,1,Y. Moncada,16,S. Gennett,10,M. Gonzalez,5,D. Murphy,19,J. Altuve,34,N. Senzel,12,J. Schoop,2,W. Merrifield,28,R. Odor,13,C. Hernandez,7,J. Villar,19
