P,J. Familia,3,S. Casilla,7,J. Benoit,17,L. Hawkins,3,J. Johnson,1,C. Janssen,2,R. Soriano,2,S. Romo,3,J. Walden,1,J. Mejia,8,F. Rodriguez,9,C. Martinez,8
P,T. Rosenthal,16,D. Storen,15,K. Quackenbush,4,A. Reed,10,D. Phelps,1,K.Jansen,15,J. Motte,1,H. Rondon,15,S. Cishek,16,C. Kimbrel,21,M. Melancon,18,A. Chapman,25
R,R. Montero,,C. Anderson,,"H. Olivera
",,A. Russell,,R. De La Rosa,,C. Seager,,T. Ishikawa,,J. Peralta,,A. Webster,,D. Herrera,,C. Heisey,,R. Grichuk,
R,M. Foltynewicz,,T. Cingrani,,K. Neiwenhuis,,T. Matzek,,Z. Almonte,,S. Kelley,,J.T. Realmuto,,T. Medica,,D. Uggla,,J. Williams,,A. Lambo,,D. Deitrich,
R,D. Hudson,,L. Schafer,,N. Vincent,,M. Reynolds,,P. Corbin,,B. Beachy,,N. Ahmed,,B. Barnes,,K. Negron,,V. Nuno,,C. Ross,,E. Perez,
R,R. Ray,,M. Maldonado,,M. Bolsinger,,N. Ramirez,,W. Smith,,J. Grilli,,J. Maxwell,,D. Descalso,,R. Delgado,,E. Campbell,,T. Kelly,,K. Parker,
,,,,,,,,,,,,,,,,,,,,,,,,
,,170,,184,,195,,171,,181,,178,,198,,170,,180,,202,,165,,157
,,89,,76,,65,,89,,79,,82,,62,,90,,80,,58,,92,,103
,,,,,,,,,,,,,,,,,,,,,,,,
,2151,,,,,,,,,,,,,,,,,,,,,,,
,965,,,,,,,,,,,,,,,,,,,,,,,
,0.6894230769,,,,,,,,,,,,,,,,,,,,,,,
