P,David Price,16,Dakota Hudson,4,Pablo Lopez,6,Kyle Hendricks,14,Freddy Peralta,2,Andres Munoz,1,Clayton Kershaw,24,Tony Gonsolin,1,Merrill Kelly,1,Corey Knebel,1,Michael Lorenzen,2,Zach Davies,1
P,Alex Reyes,1,Dustin May,4,Tyler Mahle,2,Miles Mikolas,6,Drew Pomeranz,3,Hector Neris,14,Seth Lugo,3,Raisel Iglesias,13,Brandon Kintzler,5,Aaron Nola,23,Mark Melancon,8,Zac Gallen,15
P,Anibal Sanchez,3,Will Smith,9,Steven Matz,6,Rick Porcello,3,Caleb Smith,6,Robbie Ray,14,German Marquez,9,Jon Lester,2,Carlos Martinez,13,Joe Ross,1,Wade Miley,3,Will Harris,1
P,Ross Stripling,4,Julio Urias,13,Garrett Richards,7,Max Scherzer,31,Stephen Strasburg,23,Brent Suter,1,Jeff Samardzija,2,Sean Newcomb,2,Brandon Woodruff,21,Mike Soroka,19,Joe Musgrove,13,Emilio Pagan,2
P,Noah Syndergaard,22,Tony Watson,5,Marcus Stroman,11,Alex Wood,6,Austin Voth,2,Luke Weaver,9,Blake Treinen,2,Touki Toussaint,1,Kirby Yates,18,Zack Wheeler,19,Chris Paddack,22,Jose Quintana,5
R,Michael Wacha,,Jordan hicks,,Ryne Stanek,,Vincent Velasquez,,Ryan Helsley,,Craig Stammen,,Adam Wainwright,,Brett Anderson,,Cal Quantrill,,Amir Garrett,,albert almora,,Jake Marisnick,
R,Yimi Garcia,,Jose Urena,,Monte Harrison,,Brad Miller,,Lane Thomas,,Mike Leake,,Jordan Yamamoto,,Hernan Perez,,Ryon Healy,,Matt Beaty,,trevor williams,,Drew Smyly,
R,Kevin Cron,,Jaylin Davis,,Kyle Wright,,Andrew Miller,,Elieser Hernandez,,Phillip Ervin,,Christian Pache,,Logan Webb,,Brock Holt,,Nick Pivetta,,Steven Duggar,,Hunter Pence,
R,Eduardo Nunez,,Austin Slater,,Tyler Rogers,,Eric Lauer,,John Gant,,Josh Naylor,,Jed Lowrie,,Jon Duplantier,,Daniel Poncedeleon,,Billy Hamilton,,Guillermo Heredia,,Rowan Wick,
,Phil Hertz,,Brian Walton,,Grey Albright,,Derek Carty,,Tristan Cockcroft,,Scott Wilderman,,Steve Gardner,,Peter Kreutzer,,Todd Zola,,Lenny Melnick,,Justin Mason,,Fred Zinkie,
,,,,,,,,,,,,,,,,,,,,,,,,
,,190,,179,,187,,177,,166,,174,,176,,192,,167,,193,,175,,177
,,70,,81,,73,,83,,94,,86,,84,,68,,93,,67,,85,,83
,,73.08%,,68.85%,,71.92%,,68.08%,,63.85%,,66.92%,,67.69%,,73.85%,,64.23%,,74.23%,,67.31%,,68.08%
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2153,,,,,,,,,,,,,,,,,,,,,,
,,967,,,,,,,,,,,,,,,,,,,,,,
,,69.01%,,,,,,,,,,,,,,,,,,,,,,
