,P,M. Moore,14,Carpenter,5,Axford,16,Romero,15,Wainwright,19,Strassburg,17,Walden,11,Valverde,12,Hanrahan,13,Fister,4,Bumgarner,17,Garza,14,Santos,13,E.Jackson,6,Papelbon,18
,P,Beckett,9,Feliz,5,Hanson,13,Street,13,Mariano Rivera,17,H.Bell,14,Masterson,4,Hellickson,11,Zimmerman,9,Capps,7,Beachy,13,Luebke,13,Billingsley,3,League,10,Nova,1
,P,Motte,12,Daniel Hudson,13,J.Garcia,6,Cahill,8,Storen,12,Pinieda,10,W. Rodriquez,7,Nathan,10,Guerra,6,Ervin Santana,4,Sale,7,Oswalt,1,Jansen,6,Kuroda,4,Venters,2
,P,Anibal Sanchez,7,Cueto,8,Niemann,2,Bedard,6,Tim Hudson,3,Brian Wilson,13,Josh Johnson,12,Lilly,7,Scherzer,8,Betencourt,11,Marmol,10,Bard,1,Clippard,3,Liriano,3,Pomeranz,1
,P,Balfour,5,G. Holland,5,Buchholz,3,C.Perez,7,Minor,3,Bailey,12,Sanchez,1,Leake,1,McCarthy,7,Farnsworth,9,Myers,5,Wada,1,Danks,3,Pestano,2,Volquez,1
,P,Worley,4,Thornton,8,Peavy,1,Chapman,1,Stauffer,2,Hughes,2,Lewis,2,Chacin,1,Johan Santana,3,Dempster,8,F. Fransisco,6,Melancon,1,Nolasco,3,Niese,3,Vogelsong,1
,P,Floyd,3,Hochevar,4,Reed,1,F.Rodriquez,1,Buehrle,2,Zambrano,4,Cordero,3,Baker,6,Broxton,1,Nicasio,1,Lynn,1,F. Paulino,1,Romo,4,Norris,2,Brothers,1
,R,Mike Carp,,Matt Harrison,,Adam Laroche,,C.Figgins,,Ian Stewart,,Alexi Ogando,,J. Jurrjens,,Brian Matusz,,Homer Bailey,,Chris Capuano,,Eric Thames,,J. Benoit,,J. Mcdonald,,Rafael Furcal,,Ryan Ludwick,
,R,Mike Adams,,Nyjer Morgan,,Henderson Alvarez,,Brandon Wood,,Johnny Giovatella,,Juan Pierre,,Jake Mcgee,,Jerry Sands,,Bartolo Colon,,Alfredo Aceves,,An. Cashner,,Shelby Miller,,Aubrey Huff,,Joel Peralta,,Ty Wigginton,
,R,Seth Smith,,Jordan Schafer,,Jorge Delarosa,,Grady Sizemore,,Julio Teheran,,Dom Brown,,Brad Peacock,,Chris Parmalee,,Philip Humber,,Hector Noesi,,C. Pennington,,T. Pasternicky,,D. Robertson,,Brett Anderson,,Randy Wolf,
,R,Tom Milone,,Jeff Samardzija,,Alexi Casilla,,Kevin Gregg,,Josh Collmenter,,Rick Porcello,,Luke Gregorson,,Ryan Kalish,,Garrret Jones,,David DeJesus,,John Jay,,F. De los Santos,,Danny Valencia,,Danny Duffy,,Trevor Bauer,
,,checked,,checked,,,,,,checked,,,,,,checked,,checked,,checked,,,,,,,,needs reserves,,checked,
,,"Act: Balfour, Carp Res: Smith",,,,,,,,,,,,,,act Coco Crisp,,wk1: colon replace broxton,,wk1: Noesi active,,,,,,act: Suzuki,,,,Res venable act ludwick,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
